Year,ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
1901,AC,.,39.718477,-123.652786,-9999,12,19.2,6.5,12.8,1977,166,11.2,115.8,43,2650,2326,149,310,100,323,222,26,-15.1,38.9,-9999,1012,476,61
1901,BO,.,37.38199,-121.736746,-9999,14,20.4,8.8,11.6,708,57,34,359.5,25,3312,1766,310,348,44,356,312,4,-8.7,38.9,-9999,1014,634,68
1901,BB,.,38.318682,-123.071828,-9999,11.8,14,9,4.9,878,52,24.9,268.5,23,2453,2296,28,339,62,337,275,5,-11.5,33.6,-9999,876,497,67
1901,HA,.,36.379264,-121.562935,-9999,13.8,21.1,8.3,12.8,647,43,36.7,493.2,25,3226,1847,291,320,98,328,230,4,-11.5,39.6,-9999,1229,834,55
1902,AC,.,39.718477,-123.652786,-9999,11.7,18.9,6.1,12.7,3274,177,6.6,106.8,52,2561,2466,163,312,88,322,234,30,-15.1,38.9,-9999,978,520,64
1902,BO,.,37.38199,-121.736746,-9999,13.6,20.6,7,13.7,686,35,34.4,584.6,33,3190,1951,337,344,42,351,309,3,-8.7,38.9,-9999,1008,671,69
1902,BB,.,38.318682,-123.071828,-9999,11.5,14.3,7.4,7,1303,53,16.5,270.9,30,2374,2405,38,337,47,335,288,5,-11.5,33.6,-9999,847,435,70
1902,HA,.,36.379264,-121.562935,-9999,13.2,20.7,7.8,12.9,680,22,34.2,919.4,34,3055,2044,293,313,105,327,223,4,-11.5,39.6,-9999,1219,885,56
1903,AC,.,39.718477,-123.652786,-9999,11.9,18.9,6.5,12.5,2129,48,10.3,397.4,54,2634,2392,157,304,106,318,212,43,-15.1,38.9,-9999,1013,684,61
1903,BO,.,37.38199,-121.736746,-9999,13.8,20.1,7.9,12.2,681,7,34.9,2688.4,36,3248,1887,332,339,55,346,291,6,-8.7,38.9,-9999,1037,777,67
1903,BB,.,38.318682,-123.071828,-9999,11.5,13.9,8.1,5.9,877,7,24.5,2042.9,31,2376,2416,34,333,67,331,264,7,-11.5,33.6,-9999,885,605,67
1903,HA,.,36.379264,-121.562935,-9999,13.4,20.3,8.6,11.7,685,10,34.2,2133.1,36,3137,1975,299,305,113,321,207,8,-11.5,39.6,-9999,1243,937,54
1904,AC,.,39.718477,-123.652786,-9999,12.4,19.3,7,12.3,3239,130,6.9,147.9,45,2796,2237,200,320,76,332,256,40,-15.1,38.9,-9999,1030,556,63
1904,BO,.,37.38199,-121.736746,-9999,14.3,20.4,8,12.4,744,85,32.7,239.9,27,3415,1730,368,347,39,355,316,3,-8.7,38.9,-9999,1034,597,68
1904,BB,.,38.318682,-123.071828,-9999,11.9,13.4,8.2,5.1,1321,84,16.6,158.4,27,2501,2284,41,340,46,344,298,5,-11.5,33.6,-9999,869,419,69
1904,HA,.,36.379264,-121.562935,-9999,14.3,20.5,8.2,12.3,613,49,39.6,414.9,25,3386,1733,344,322,93,339,246,2,-11.5,39.6,-9999,1263,870,55
1905,AC,.,39.718477,-123.652786,-9999,12.4,19.4,6.3,13,1973,180,11.3,107.4,36,2732,2239,172,312,99,316,217,20,-15.1,38.9,-9999,1048,572,59
1905,BO,.,37.38199,-121.736746,-9999,14.1,21.4,7.4,14,655,100,36.8,214.9,25,3328,1786,332,348,36,345,309,3,-8.7,38.9,-9999,1029,641,67
1905,BB,.,38.318682,-123.071828,-9999,11.8,14.2,7.9,6.3,949,86,23,166,24,2444,2303,30,337,53,327,274,5,-11.5,33.6,-9999,868,467,67
1905,HA,.,36.379264,-121.562935,-9999,14,22,7.3,14.7,787,80,30.5,275.5,24,3289,1823,326,323,97,323,226,3,-11.5,39.6,-9999,1249,823,55
1906,AC,.,39.718477,-123.652786,-9999,12.5,19.7,7.4,12.3,2370,222,9.5,88.8,34,2767,2224,195,328,71,325,254,23,-15.1,38.9,-9999,1003,512,63
1906,BO,.,37.38199,-121.736746,-9999,14.5,22.8,9.1,13.7,1031,101,23.7,224.8,23,3463,1726,412,355,24,352,329,3,-8.7,38.9,-9999,1041,665,69
1906,BB,.,38.318682,-123.071828,-9999,12.1,14.8,9.2,5.6,1267,120,17.5,123.5,21,2537,2211,34,347,35,334,299,6,-11.5,33.6,-9999,852,466,70
1906,HA,.,36.379264,-121.562935,-9999,14.1,23,9.1,13.9,1006,66,24,346.4,23,3347,1797,374,330,82,330,247,4,-11.5,39.6,-9999,1267,891,55
1907,AC,.,39.718477,-123.652786,-9999,12.2,18.6,5.3,13.3,2427,116,9.2,160.5,42,2703,2262,135,316,86,319,233,28,-15.1,38.9,-9999,1031,554,60
1907,BO,.,37.38199,-121.736746,-9999,14.1,20.4,7.9,12.5,975,40,24.8,513.2,24,3326,1743,293,355,19,356,336,6,-8.7,38.9,-9999,963,677,71
1907,BB,.,38.318682,-123.071828,-9999,11.8,13.6,7.5,6.2,1245,40,17.5,339,24,2443,2314,24,345,39,336,297,7,-11.5,33.6,-9999,831,496,70
1907,HA,.,36.379264,-121.562935,-9999,14.1,20.9,9,11.9,1019,23,23.7,897.5,21,3306,1734,277,337,71,336,265,5,-11.5,39.6,-9999,1199,856,58
1908,AC,.,39.718477,-123.652786,-9999,11.9,20.3,5.6,14.6,1737,167,12.6,121.5,46,2597,2435,194,291,128,306,178,23,-15.1,38.9,-9999,1072,585,57
1908,BO,.,37.38199,-121.736746,-9999,13.6,21.6,6.7,14.9,546,43,43.2,501.8,32,3172,1949,309,343,52,344,293,3,-8.7,38.9,-9999,1033,733,67
1908,BB,.,38.318682,-123.071828,-9999,11.4,14.7,6.9,7.7,852,52,25.1,282.2,29,2325,2443,30,327,75,321,246,5,-11.5,33.6,-9999,916,549,65
1908,HA,.,36.379264,-121.562935,-9999,13.2,21.2,7.1,14.2,579,27,40.1,775.3,30,3038,2029,268,308,119,319,200,3,-11.5,39.6,-9999,1231,911,54
1909,AC,.,39.718477,-123.652786,-9999,11.9,18.7,5.1,13.6,3009,84,7.3,223.3,52,2611,2410,152,310,116,321,205,43,-15.1,38.9,-9999,1033,679,62
1909,BO,.,37.38199,-121.736746,-9999,13.5,19.9,7.8,12.1,1056,33,22.3,605.7,30,3142,1915,270,350,44,353,309,6,-8.7,38.9,-9999,980,726,71
1909,BB,.,38.318682,-123.071828,-9999,11.3,13.3,7.4,6,1587,44,13.4,301.5,29,2275,2483,27,337,74,334,260,8,-11.5,33.6,-9999,868,549,69
1909,HA,.,36.379264,-121.562935,-9999,13.3,20.4,7.6,12.8,1109,13,21,1550.5,33,3071,2000,268,318,108,327,219,7,-11.5,39.6,-9999,1196,918,57
1910,AC,.,39.718477,-123.652786,-9999,12.6,19.5,4.7,14.7,1554,54,14.5,358.7,48,2878,2171,197,316,79,322,243,42,-15.1,38.9,-9999,1062,720,60
1910,BO,.,37.38199,-121.736746,-9999,14,20.5,6.9,13.7,658,23,36.4,903.3,29,3298,1762,275,349,28,351,322,7,-8.7,38.9,-9999,1019,693,68
1910,BB,.,38.318682,-123.071828,-9999,11.5,13.3,6.3,7,763,17,28.2,767.8,30,2376,2403,20,334,53,325,273,11,-11.5,33.6,-9999,894,557,66
1910,HA,.,36.379264,-121.562935,-9999,13.7,20.7,7.3,13.4,523,14,45.3,1479.4,29,3214,1830,256,318,83,326,243,6,-11.5,39.6,-9999,1240,913,54
1911,AC,.,39.718477,-123.652786,-9999,11.7,19.9,6.2,13.7,2196,182,9.9,109.3,53,2573,2454,166,300,110,306,196,39,-15.1,38.9,-9999,1018,525,60
1911,BO,.,37.38199,-121.736746,-9999,13.1,20.5,7.7,12.8,994,33,23.3,629.5,32,3012,2009,224,340,50,341,292,6,-8.7,38.9,-9999,964,641,69
1911,BB,.,38.318682,-123.071828,-9999,11,13.5,8.3,5.2,1095,34,19.2,390.9,30,2171,2584,19,325,71,317,246,9,-11.5,33.6,-9999,848,460,67
1911,HA,.,36.379264,-121.562935,-9999,13,21.3,6.9,14.4,1088,20,21.2,1069.1,33,2988,2064,245,306,118,315,198,6,-11.5,39.6,-9999,1195,894,55
1912,AC,.,39.718477,-123.652786,-9999,11.6,17.9,7.2,10.8,2482,312,8.7,57.4,41,2486,2440,111,310,89,315,225,27,-15.1,38.9,-9999,957,378,63
1912,BO,.,37.38199,-121.736746,-9999,13.6,20.1,7.8,12.4,705,96,33.5,210.7,30,3168,1920,302,341,48,340,291,5,-8.7,38.9,-9999,1009,596,67
1912,BB,.,38.318682,-123.071828,-9999,11.3,13.8,8.5,5.3,997,139,21.4,99.1,26,2279,2471,27,333,57,326,269,5,-11.5,33.6,-9999,829,320,69
