Site: Blue Oak 2021-22,,,,,,,,,,
Block (1-3),Transect (1-14),Sequence (1-396),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds planting 2021,Number seeds per block
1,1,1,1,1,6,BO_201,BO_130,100,50,16.66666667
1,1,2,1,2,4,BO_192,BO_166,139,69,23
1,1,3,1,3,5,BO_5,BO_19,99,49,16.33333333
1,1,4,1,4,5,BO_70,BO_66,100,50,16.66666667
1,1,5,1,5,2,BO_038,BO_137,200,100,33.33333333
1,1,6,1,6,4,BO_170,BO_45,132,66,22
1,1,7,1,7,6,BO_1,BO_48,100,50,16.66666667
1,1,8,1,8,6,BO_69,BO_43,101,50,16.66666667
1,1,9,1,9,4,BO_33,BO_99,121,60,20
1,1,10,1,10,5,BO_65,BO_115,100,50,16.66666667
1,1,11,1,11,1,BO_106,BO_104,144,72,24
1,1,12,1,12,6,BO_40,BO_29,100,50,16.66666667
1,1,13,1,13,2,BO_096,BO_12,130,65,21.66666667
1,1,14,1,14,6,BO_13,BO_114,101,50,16.66666667
1,1,15,1,15,3,BO_163,BO_34,59,29,9.666666667
1,1,16,1,16,4,BO_74,BO_47,115,57,19
1,1,17,1,17,5,BO_188,BO_8,100,50,16.66666667
1,1,18,1,18,1,BO_106,BO_191,169,84,28
1,1,19,1,19,4,BO_73,BO_117,163,81,27
1,1,20,1,20,2,BO_130,BO_120,118,59,19.66666667
1,1,21,1,21,4,BO_192,BO_21,149,74,24.66666667
1,1,22,2,1,1,BO_101,BO_24,125,62,20.66666667
1,1,23,2,2,5,BO_143,BO_4,100,50,16.66666667
1,1,24,2,3,1,BO_128,BO_60,123,61,20.33333333
1,1,25,2,4,5,BO_5,BO_176,95,47,15.66666667
1,1,26,2,5,6,BO_149,BO_185,29,14,4.666666667
1,1,27,2,6,2,BO_096,BO_178,254,127,42.33333333
1,1,28,2,7,5,BO_194,BO_98,100,50,16.66666667
1,1,29,2,8,2,BO_177,BO_139,153,76,25.33333333
1,1,30,2,9,1,BO_101,BO_182,192,96,32
1,1,31,2,10,5,BO_168,BO_175,100,50,16.66666667
1,1,32,2,11,4,BO_74,BO_118,183,91,30.33333333
