Site: Hastings Ranch 2021-22,,,,,,,,,,,
Block (1-3),Transect (1-9),Section (A/B),Sequence (1-411),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds plantable 2021,Number seeds per block
1,1,A,1,1,1,3,HR_8,HR_58,133,66,22
1,1,A,2,1,2,3,HR_196,HR_183,143,71,23.66666667
1,1,A,3,1,3,1,HR_085,HR_176,105,52,17.33333333
1,1,A,4,1,4,5,HR_6,HR_146,100,50,16.66666667
1,1,A,5,1,5,3,HR_108,HR_177,139,69,23
1,1,A,6,1,6,7,HR_74,HR_115,36,18,6
1,1,A,7,1,7,4,HR_180,HR_36,109,54,18
1,1,A,8,1,8,1,HR_160,HR_33,111,55,18.33333333
1,1,A,9,1,9,5,HR_70,HR_61,100,50,16.66666667
1,1,A,10,1,10,2,HR_133,HR_158,180,90,30
1,1,A,11,1,11,3,HR_108,HR_175,100,50,16.66666667
1,1,A,12,1,12,3,HR_164,HR_5,225,112,37.33333333
1,1,A,13,1,13,1,HR_171,HR_57,118,59,19.66666667
1,1,A,14,1,14,3,HR_196,HR_170,156,78,26
1,1,A,15,1,15,1,HR_148,HR_114,138,69,23
1,1,A,16,1,16,6,HR_69,HR_108,100,50,16.66666667
1,1,A,17,1,17,6,HR_175,HR_196,100,50,16.66666667
1,1,A,18,1,18,6,HR_131,HR_46,100,50,16.66666667
1,1,A,19,1,19,4,HR_95,HR_20,116,58,19.33333333
1,1,A,20,1,20,3,HR_108,HR_16,102,51,17
1,1,A,21,1,21,2,HR_200,HR_10,140,70,23.33333333
1,1,A,22,2,1,3,HR_164,HR_41,174,87,29
1,1,A,23,2,2,6,HR_168,HR_148,100,50,16.66666667
1,1,B,24,2,3,6,HR_121,HR_105,100,50,16.66666667
1,1,B,25,2,4,5,HR_62,HR_134,100,50,16.66666667
1,1,B,26,2,5,4,HR_135,HR_83,163,81,27
1,1,B,27,2,6,3,HR_156,HR_25,118,59,19.66666667
1,1,B,28,2,7,7,HR_5,HR_40,100,50,16.66666667
1,1,B,29,2,8,5,HR_149,HR_7,100,50,16.66666667
1,1,B,30,2,9,6,HR_131,HR_113,100,50,16.66666667
1,1,B,31,2,10,7,HR_157,HR_95,100,50,16.66666667
1,1,B,32,2,11,6,HR_131,HR_49,100,50,16.66666667
1,1,B,33,2,12,5,HR_62,HR_136,87,43,14.33333333
1,1,B,34,2,13,5,HR_110,HR_32,100,50,16.66666667
1,1,B,35,2,14,7,HR_57,HR_110,100,50,16.66666667
1,1,B,36,2,15,6,HR_59,HR_11,100,50,16.66666667
