Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FD_01,FD_02,FD_03,FD_04,FD_05,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
1,1,1L,G1,AC_089,AC_057,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,F plant is plant #2 in the field
1,1,1L,G1,AC_089,AC_057,2,TRUE,2022-10-17,2022-10-21,,,2023-05-12,2023-05-26,,2023-05-12,207,203,2023-05-26,14,,2023-05-12,,1,,2023-06-08,
1,1,1L,G1,AC_089,AC_057,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
1,1,1L,G1,AC_089,AC_057,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
1,1,1L,G1,AC_089,AC_057,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
1,1,1R,G2,AC_107,AC_130,1,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,2023-05-12,,,,,,
1,1,1R,G2,AC_107,AC_130,2,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2023-06-08,
1,1,1R,G2,AC_107,AC_130,3,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,,,,,,
1,1,1R,G2,AC_107,AC_130,4,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,,,,,,
1,1,1R,G2,AC_107,AC_130,5,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,,,,,,
2,1,2L,G2,AC_071,AC_215,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
2,1,2L,G2,AC_071,AC_215,2,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,,,,,,
2,1,2L,G2,AC_071,AC_215,3,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,,,,,,
2,1,2L,G2,AC_071,AC_215,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,,
2,1,2L,G2,AC_071,AC_215,5,TRUE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,2023-06-08,
2,1,2R,G2,AC_102,AC_191,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
