Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1L,G1,AC_089,AC_057,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-26,14,,2023-05-12,,1,,7.72,-,4,0,3,3,4,0.75,3,1,1,1
1,1,1R,G2,AC_107,AC_130,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,20.93,X,4,0,7,14,4,1.75,7,1,1,1
2,1,2L,G2,AC_071,AC_215,5,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,12.06,X,1,0,0,0,1,0,0,1,1,0
2,1,2R,G2,AC_102,AC_191,5,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,,X,0,0,0,0,0,0,0,1,0,0
3,1,3L,G2,AC_091,AC_189,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-05-12,,,,7.84,X,4,0,6,11,4,1.5,6,1,1,1
3,1,3R,G1,AC_089,AC_032,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,59.42,-,8,1,20,35,9,2.5,22.5,1,1,1
4,1,4L,G1,AC_198,AC_072,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-05-12,,,,9.11,-,9,2,1,9,11,0.1111111111,1.222222222,1,1,1
4,1,4R,G2,AC_089,AC_032,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-05-12,,,,4.4,X,1,2,0,3,3,0,0,1,1,0
5,1,5L,G1,AC_091,AC_204,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,30.95,-,6,2,19,36,8,3.166666667,25.33333333,1,1,1
5,1,5R,G1,AC_054,AC_119,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-05-12,,2,,38.66,-,7,3,9,25,10,1.285714286,12.85714286,1,1,1
6,1,6L,G2,AC_159,AC_094,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,0,,,X,8,7,12,37,15,1.5,22.5,1,1,1
6,1,6R,G1,AC_045,AC_123,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,60.99,-,13,1,33,56,14,2.538461538,35.53846154,1,1,1
7,1,7L,G1,AC_124,AC_030,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,,-,6,1,11,15,7,1.833333333,12.83333333,1,1,1
7,1,7R,G2,AC_045,AC_151,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,2,,50.18,X,10,2,25,28,12,2.5,30,1,1,1
8,1,8L,G2,AC_007,AC_147,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,,X,9,2,21,42,11,2.333333333,25.66666667,1,1,1
8,1,8R,G1,AC_007,AC_147,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-05-12,,,,,-,8,2,18,49,10,2.25,22.5,1,1,1
9,1,9L,G1,AC_064,AC_086,3,TRUE,2022-10-17,2022-10-21,2023-05-26,221,217,2023-05-26,0,,,,0,,10.31,-,4,1,5,9,5,1.25,6.25,1,1,1
9,1,9R,G1,AC_068,AC_089,3,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,8.44,-,4,0,5,7,4,1.25,5,1,1,1
10,1,10L,G2,AC_052,AC_212,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,,,1,,16.29,X,9,1,6,8,10,0.6666666667,6.666666667,1,1,1
11,1,11L,G1,AC_195,AC_179,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,1,,9.12,-,6,0,13,17,6,2.166666667,13,1,1,1
11,1,11R,G2,AC_159,AC_192,1,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,,,,4.26,X,3,1,9,10,4,3,12,1,1,1
12,1,12L,G2,AC_177,AC_107,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,7.37,X,3,1,3,4,4,1,4,1,1,1
12,1,12R,G2,AC_008,AC_188,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,1,,33.68,X,11,0,27,48,11,2.454545455,27,1,1,1
13,1,13L,G1,AC_008,AC_068,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,1,,19.84,-,7,1,14,31,8,2,16,1,1,1
13,1,13R,G2,AC_068,AC_195,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,60.42,X,14,1,59,66,15,4.214285714,63.21428571,1,1,1
14,1,14R,G1,AC_216,AC_034,1,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,,,,5.29,-,2,0,1,3,2,0.5,1,1,1,1
15,1,15L,G2,AC_159,AC_094,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,24.18,X,5,0,15,16,5,3,15,1,1,1
15,1,15R,G2,AC_177,AC_107,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,,,56.29,X,17,3,83,111,20,4.882352941,97.64705882,1,1,1
16,1,16L,G2,AC_165,AC_199,3,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,8.85,X,4,0,11,14,4,2.75,11,1,1,1
17,1,17R,G2,AC_198,AC_066,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,,,,2.48,X,5,0,12,15,5,2.4,12,1,1,1
18,1,18L,G1,AC_007,AC_081,3,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,5.22,-,2,0,5,5,2,2.5,5,1,1,1
18,1,18R,G1,AC_186,AC_153,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,5.77,-,3,0,7,7,3,2.333333333,7,1,1,1
19,1,19L,G2,AC_054,AC_155,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,,,,,X,0,0,0,0,0,0,0,1,0,0
19,1,19R,G1,AC_054,AC_119,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,5.07,-,2,0,3,3,2,1.5,3,1,1,1
20,1,20L,G2,AC_161,AC_213,3,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,,X,1,0,1,1,1,1,1,1,1,1
20,1,20R,G1,AC_102,AC_178,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2.77,-,4,0,17,18,4,4.25,17,1,1,1
21,1,21L,G1,AC_008,AC_188,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,,-,3,0,10,10,3,3.333333333,10,1,1,1
21,1,21R,G2,AC_186,AC_011,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,3.91,X,2,0,2,2,2,1,2,1,1,1
22,1,22L,G1,AC_052,AC_133,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,,,,,-,0,0,0,0,0,0,0,1,0,0
