Sequence,Location,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,FD_08,FD_09,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes,latitude,longitude
1,1,1L,G1,BB_144,BB_207,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
1,1,1L,G1,BB_144,BB_207,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
1,1,1L,G1,BB_144,BB_207,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
1,1,1L,G1,BB_144,BB_207,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
1,1,1L,G1,BB_144,BB_207,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
1,1,1R,G2,BB_168,BB_046,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
1,1,1R,G2,BB_168,BB_046,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
1,1,1R,G2,BB_168,BB_046,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
1,1,1R,G2,BB_168,BB_046,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
1,1,1R,G2,BB_168,BB_046,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
2,1,2L,G1,BB_091,BB_098,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
2,1,2L,G1,BB_091,BB_098,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
2,1,2L,G1,BB_091,BB_098,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
2,1,2L,G1,BB_091,BB_098,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
2,1,2L,G1,BB_091,BB_098,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31522,-123.06908
