Sequence,Location,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_06,FD_07,FD_08,FD_09,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,latitude,longitude,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
3,1,3R,G1,BB_091,BB_139,3,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-06-07,84,2023-04-26,2023-05-10,2023-05-24,2023-06-07,,2023-03-15,6,2,1,1129,38.31522,-123.06908,-,9,4,13,21,13,1.444444444,18.77777778,1,1,1
4,2,4R,G1,BB_169,BB_181,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,2023-05-24,2023-03-15,,0,,83.4,38.31514,-123.06908,-,4,0,16,16,4,4,16,1,1,1
5,2,5L,G2,BB_213,BB_132,3,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-04-27,,,,,2023-02-15,,0,,73.86,38.31514,-123.06908,X,0,1,0,0,1,0,0,1,1,0
5,2,5R,G1,BB_173,BB_044,2,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,0,,16.84,38.31514,-123.06908,-,1,0,0,0,1,0,0,1,1,0
6,2,6L,G1,BB_142,BB_150,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,0,,,38.31514,-123.06908,-,2,0,3,5,2,1.5,3,1,1,1
6,2,6R,G2,BB_174,BB_002,3,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-27,57,2023-04-27,,,,,2023-03-15,,0,,80.17,38.31514,-123.06908,X,1,0,0,2,1,0,0,1,1,0
7,3,7R,G2,BB_066,BB_052,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-04-26,,,,,2023-03-15,,,,,38.31512,-123.06909,X,2,0,0,5,2,0,0,1,1,0
8,3,8L,G1,BB_023,BB_206,3,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-26,56,2023-04-26,,,,,2023-03-01,,,,33.31,38.31512,-123.06909,-,1,0,4,6,1,4,4,1,1,1
8,3,8R,G1,BB_174,BB_068,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-04-26,,,,,2023-03-15,,,,67.46,38.31512,-123.06909,-,5,0,11,23,5,2.2,11,1,1,1
9,3,9L,G2,BB_213,BB_147,5,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-11,13,,,,,,,,,,35.92,38.31512,-123.06909,X,2,0,0,5,2,0,0,1,1,0
9,3,9R,G1,BB_026,BB_053,5,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-11,41,,,,,,2023-03-01,,,,75.96,38.31512,-123.06909,-,3,0,4,15,3,1.333333333,4,1,1,1
10,4,10L,G2,BB_108,BB_069,5,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-11,41,,,,,,2023-03-01,,,,30.34,38.31509,-123.06911,X,3,0,6,14,3,2,6,1,1,1
10,4,10R,G1,BB_142,BB_086,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,,,33.4,38.31509,-123.06911,-,3,0,15,16,3,5,15,1,1,1
11,4,11R,G1,BB_011,BB_215,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,2023-06-07,2023-03-29,,,,65.31,38.31509,-123.06911,-,4,0,20,20,4,5,20,1,1,1
12,4,12L,G1,BB_125,BB_051,5,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-03-29,28,,,,,,2023-03-01,,,,30.19,38.31509,-123.06911,-,2,1,1,6,3,0.5,1.5,1,1,1
12,4,12R,G2,BB_177,BB_134,1,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-11,41,,,,,,2023-03-15,,,,30.83,38.31509,-123.06911,X,1,3,0,5,4,0,0,1,1,0
13,5,13L,G1,BB_215,BB_148,3,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-04-26,2023-05-10,,,,2023-03-01,1,,,65.51,38.31506,-123.06911,-,13,4,91,97,17,7,119,1,1,1
13,5,13R,G1,BB_215,BB_004,4,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-04-26,2023-05-10,,,,2023-03-01,2,,,,38.31506,-123.06911,-,10,1,28,32,11,2.8,30.8,1,1,1
14,5,14L,G2,BB_051,BB_143,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-04-26,,,,,2023-03-15,,,,39.69,38.31506,-123.06911,X,1,4,4,4,5,4,20,1,1,1
14,5,14R,G2,BB_194,BB_159,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-11,27,,,,,,2023-03-15,,,,51.75,38.31506,-123.06911,X,4,2,10,12,6,2.5,15,1,1,1
15,5,15L,G1,BB_176,BB_017,1,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-26,70,2023-04-26,,,,,2023-02-15,,,,143.62,38.31506,-123.06911,-,3,0,11,16,3,3.666666667,11,1,1,1
15,5,15R,G1,BB_196,BB_088,3,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-10,84,2023-04-26,2023-05-10,,,,2023-02-15,3,,,395.27,38.31506,-123.06911,-,20,12,54,71,32,2.7,86.4,1,1,1
