Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
1,1,1L,G1,BO_106,BO_104,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
1,1,1L,G1,BO_106,BO_104,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
1,1,1L,G1,BO_106,BO_104,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
1,1,1L,G1,BO_106,BO_104,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
1,1,1L,G1,BO_106,BO_104,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
1,1,1R,G2,BO_029,BO_061,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
1,1,1R,G2,BO_029,BO_061,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
1,1,1R,G2,BO_029,BO_061,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
1,1,1R,G2,BO_029,BO_061,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
1,1,1R,G2,BO_029,BO_061,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
2,1,2L,G2,BO_162,BO_089,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
2,1,2L,G2,BO_162,BO_089,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
2,1,2L,G2,BO_162,BO_089,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
2,1,2L,G2,BO_162,BO_089,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
