Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
14,1,14L,G1,BO_039,BO_087,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,22.55,-,2,9,0,0,11,0,0,1,1,0
15,1,15R,G1,BO_153,BO_177,2,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,1,,,-,0,0,0,0,0,0,0,1,0,0
17,1,17L,G1,BO_201,BO_189,4,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,,,,-,1,0,4,4,1,4,4,1,1,1
18,1,18R,G1,BO_189,BO_142,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,,-,2,1,0,0,3,0,0,1,1,0
19,1,19R,G1,BO_170,BO_055,4,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-15,29,2023-06-15,,,,,29.05,-,2,1,0,0,3,0,0,1,1,0
20,1,20R,G2,BO_033,BO_124,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,,X,0,1,0,0,1,0,0,1,1,0
21,1,21L,G2,BO_173,BO_091,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,,X,0,0,0,0,0,0,0,1,0,0
22,1,22R,G1,BO_029,BO_190,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,33.18,-,2,0,2,2,2,1,2,1,1,1
24,1,24L,G1,BO_033,BO_099,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-06-15,2023-05-05,,,,6.78,-,1,2,0,3,3,0,0,1,1,0
25,1,25L,G1,BO_170,BO_055,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,4.56,-,5,0,5,7,5,1,5,1,1,1
26,1,26R,G1,BO_194,BO_037,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,,-,0,1,0,0,1,0,0,1,1,0
27,1,27R,G1,BO_177,BO_139,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,,-,2,0,1,2,2,0.5,1,1,1,1
28,1,28L,G1,BO_163,BO_144,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,,-,0,1,0,0,1,0,0,1,1,0
28,1,28R,G2,BO_033,BO_124,5,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,,,,,,X,1,0,0,0,1,0,0,1,1,0
30,1,30L,G1,BO_162,BO_089,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,6,,,55.84,-,8,10,25,36,18,3.125,56.25,1,1,1
33,1,33L,G1,BO_001,BO_151,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,33.43,-,5,6,8,13,11,1.6,17.6,1,1,1
35,1,35L,G1,BO_128,BO_060,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,,-,0,0,0,0,0,0,0,1,0,0
37,1,37L,G1,BO_194,BO_125,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,1,1,,20.6,-,0,3,0,0,3,0,0,1,1,0
39,1,39R,G1,BO_088,BO_140,5,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,,,,,,-,1,0,5,5,1,5,5,1,1,1
41,2,1L,G1,BO_168,BO_175,1,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-15,29,,2023-05-17,,,2,53.9,-,2,1,2,3,3,1,3,1,1,1
47,2,7L,G2,BO_109,BO_095,5,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,,,,X,3,0,1,4,3,0.3333333333,1,1,1,1
48,2,8L,G2,BO_058,BO_094,2,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-01,15,,2023-05-17,,,,,X,2,1,1,3,3,0.5,1.5,1,1,1
48,2,8R,G1,BO_040,BO_067,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,,-,0,0,0,0,0,0,0,1,0,0
