Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
1,1,1L,G2,HR_175,HR_027,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
1,1,1L,G2,HR_175,HR_027,2,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,2023-04-20,2023-05-04,,2023-05-05,,,,,,
1,1,1L,G2,HR_175,HR_027,3,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
1,1,1L,G2,HR_175,HR_027,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,1-Jun,
1,1,1L,G2,HR_175,HR_027,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
1,1,1R,G1,HR_200,HR_010,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,2023-04-20,2023-05-04,,,,,,,14-Jun,
1,1,1R,G1,HR_200,HR_010,2,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,2023-04-20,2023-05-04,,,,,,,,
1,1,1R,G1,HR_200,HR_010,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,,
1,1,1R,G1,HR_200,HR_010,4,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,2023-05-05,,,,,,
1,1,1R,G1,HR_200,HR_010,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
2,1,2L,G1,HR_189,HR_051,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,2023-04-20,2023-05-04,,2023-05-05,,,,,,
2,1,2L,G1,HR_189,HR_051,2,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,2023-04-20,2023-05-04,,,,,,,,
2,1,2L,G1,HR_189,HR_051,3,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,,,,,,
2,1,2L,G1,HR_189,HR_051,4,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,2023-04-20,2023-05-04,,,,,,,,
2,1,2L,G1,HR_189,HR_051,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,1-Jun,
