Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
1,1,1L,G2,HR_175,HR_027,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,13.27,X,5,0,12,13,5,2.4,12,1,1,1,1
1,1,1R,G1,HR_200,HR_010,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,,-,0,0,0,0,0,,0,1,0,0,0
2,1,2L,G1,HR_189,HR_051,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,58.64,-,9,2,19,31,11,2.111111111,23.22222222,1,1,1,1
2,1,2R,G2,HR_141,HR_044,2,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,9.65,X,2,0,3,5,2,1.5,3,0,1,1,1
3,1,3L,G2,HR_095,HR_178,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,25.51,X,6,0,24,36,6,4,24,1,1,1,1
3,1,3R,G2,HR_069,HR_108,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,10.76,X,3,0,3,4,3,1,3,1,1,1,1
4,1,4L,G1,HR_180,HR_036,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,,,,,-,9,3,16,19,12,1.777777778,21.33333333,1,1,1,1
4,1,4R,G2,HR_155,HR_121,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,6.19,X,2,0,11,13,2,5.5,11,1,1,1,1
5,1,5L,G1,HR_006,HR_162,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,,-,2,0,5,6,2,2.5,5,1,1,1,1
5,1,5R,G1,HR_062,HR_134,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,,,,17.82,-,6,0,9,13,6,1.5,9,1,1,1,1
6,1,6L,G2,HR_164,HR_041,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,4.33,X,0,0,0,0,0,,0,1,0,0,0
6,1,6R,G2,HR_095,HR_124,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,34.95,X,11,0,21,28,11,1.909090909,21,1,1,1,1
7,1,7L,G1,HR_006,HR_162,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,,-,0,0,0,0,0,,0,1,0,0,0
7,1,7R,G1,HR_180,HR_179,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,,,,6.13,-,1,1,2,2,2,2,4,1,1,1,1
8,1,8L,G1,HR_175,HR_196,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,6.5,-,1,0,2,3,1,2,2,1,1,1,1
8,1,8R,G1,HR_164,HR_005,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,7.9,-,2,1,1,4,3,0.5,1.5,1,1,1,1
9,1,9L,G1,HR_157,HR_095,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,11.57,-,3,0,0,8,3,0,0,1,1,1,0
9,1,9R,G2,HR_175,HR_196,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,,X,0,1,0,0,1,,,1,1,0,0
10,1,10L,G1,HR_064,HR_019,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,18.09,-,0,7,0,0,7,,,1,1,0,0
10,1,10R,G2,HR_115,HR_111,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-20,,,,11.13,X,2,5,3,5,7,1.5,10.5,1,1,1,1
11,1,11L,G1,HR_155,HR_047,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,,-,0,0,0,0,0,,0,1,0,0,0
