Transect,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
1,AC_057,G1,2,1L,,
1,AC_130,G2,2,1R,,
1,AC_215,G2,5,2L,,
1,AC_191,G2,5,2R,,
1,AC_189,G2,5,3L,,
1,AC_032,G1,2,3R,,
1,AC_072,G1,4,4L,,
1,AC_032,G2,2,4R,,
1,AC_204,G1,5,5L,,
1,AC_119,G1,3,5R,,
1,AC_094,G2,3,6L,,
1,AC_123,G1,2,6R,,
1,AC_030,G1,1,7L,,
1,AC_151,G2,1,7R,,
1,AC_147,G2,1,8L,,
1,AC_147,G1,2,8R,,
1,AC_086,G1,3,9L,,
1,AC_089,G1,3,9R,,
1,AC_212,G2,4,10L,,
1,AC_179,G1,3,11L,,
1,AC_192,G2,1,11R,,
1,AC_107,G2,2,12L,,
1,AC_188,G2,2,12R,,
1,AC_068,G1,3,13L,,
1,AC_195,G2,5,13R,,
1,AC_034,G1,1,14R,,
1,AC_094,G2,2,15L,,
1,AC_107,G2,4,15R,,
1,AC_199,G2,3,16L,,
1,AC_066,G2,2,17R,,
1,AC_081,G1,3,18L,,
1,AC_153,G1,1,18R,,
1,AC_155,G2,1,19L,,
1,AC_119,G1,3,19R,,
1,AC_213,G2,3,20L,,
1,AC_178,G1,3,20R,,
1,AC_188,G1,4,21L,,
1,AC_011,G2,4,21R,,
1,AC_133,G1,1,22L,,
1,AC_062,G2,1,22R,,
1,AC_130,G2,5,23L,,
1,AC_005,G2,3,23R,,
1,AC_218,G1,3,24L,,
1,AC_178,G1,5,24R,,
1,AC_107,G1,5,25L,,
1,AC_154,G1,3,25R,,
1,AC_086,G1,2,26L,,
1,AC_118,G2,5,26R,,
1,AC_015,G2,2,27L,,
1,AC_201,G2,1,27R,,
1,AC_189,G1,2,28L,,
1,AC_123,G1,5,29L,,
1,AC_208,G1,4,29R,,
1,AC_119,G1,5,30L,,
1,AC_040,G2,5,31L,,
1,AC_113,G2,4,32R,,
1,AC_083,G2,5,33L,,
1,AC_148,G1,3,33R,,
1,AC_181,G2,2,34R,,
1,AC_136,G2,5,35L,,
1,AC_113,G1,3,35R,,
1,AC_115,G2,4,36L,,
2,AC_005,G2,4,1L,,
2,AC_054,G1,3,1R,,
2,AC_206,G2,5,2L,,
2,AC_011,G2,5,2R,,
2,AC_111,G2,5,3L,,
2,AC_203,G1,5,3R,,
2,AC_119,G2,4,4L,,
2,AC_082,G2,1,4R,,
2,AC_118,G2,3,5L,,
2,AC_216,G1,3,5R,,
2,AC_131,G1,1,6L,,
2,AC_086,G2,3,6R,,
2,AC_205,G1,1,7L,,
2,AC_062,G2,4,7R,,
2,AC_205,G1,5,8L,,
2,AC_118,G1,4,8R,,
2,AC_144,G1,1,9L,,
2,AC_088,G1,5,9R,,
2,AC_030,G1,2,10L,,
2,AC_040,G2,4,10R,,
2,AC_051,G1,5,11L,,
2,AC_090,G1,2,11R,,
2,AC_038,G2,3,12L,,
2,AC_193,G2,5,12R,,
2,AC_168,G2,1,13L,,
2,AC_089,G1,1,13R,,
2,AC_190,G2,4,14L,,
2,AC_016,G2,5,14R,,
2,AC_010,G2,3,15L,,
2,AC_054,G1,1,15R,,
2,AC_144,G2,2,16R,,
2,AC_075,G2,5,17L,,
2,AC_120,G1,2,17R,,
2,AC_066,G2,2,18L,,
2,AC_075,G1,4,18R,,
2,AC_056,G1,3,19L,,
2,AC_217,G2,4,19R,,
2,AC_086,G1,5,20L,,
2,AC_072,G1,4,20R,,
2,AC_181,G1,1,21L,,
2,AC_131,G2,5,21R,,
2,AC_032,G1,3,22L,,
2,AC_109,G1,2,22R,,
2,AC_055,G1,3,23L,,
2,AC_154,G1,1,23R,,
2,AC_128,G2,5,24L,,
2,AC_154,G1,4,25L,,
2,AC_122,G1,1,25R,,
2,AC_133,G1,3,26L,,
2,AC_197,G1,4,26R,,
2,AC_058,G2,4,27L,,
2,AC_014,G1,5,27R,,
2,AC_054,G2,5,28L,,
2,AC_133,G2,2,28R,,
2,AC_107,G1,2,29L,,
2,AC_046,G2,3,29R,,
2,AC_088,G1,3,30L,,
2,AC_114,G2,2,30R,,
2,AC_200,G2,2,31L,,
2,AC_203,G2,5,31R,,
2,AC_074,G2,4,32L,,
2,AC_046,G1,3,32R,,
2,AC_187,G1,4,33L,,
2,AC_182,G1,2,33R,,
2,AC_095,G2,5,34L,,
2,AC_092,G2,2,34R,,
2,AC_205,G2,4,35L,,
2,AC_158,G1,2,36L,,
2,AC_048,G2,4,36R,,
3,AC_052,G1,3,1L,,
3,AC_113,G2,2,1R,,
3,AC_215,G1,1,2L,,
3,AC_038,G1,3,2R,,
3,AC_089,G2,3,3L,,
3,AC_190,G1,2,3R,,
3,AC_197,G2,2,4L,,
3,AC_057,G1,1,4R,,
3,AC_197,G2,1,5L,,
3,AC_082,G1,4,6L,,
3,AC_096,G2,2,6R,,
3,AC_099,G1,5,7L,,
3,AC_154,G2,3,7R,,
3,AC_010,G1,1,8L,,
3,AC_181,G2,3,8R,,
3,AC_005,G1,1,9L,,
3,AC_187,G1,1,9R,,
3,AC_094,G1,3,10L,,
3,AC_190,G2,4,10R,,
3,AC_148,G2,2,11L,,
3,AC_096,G1,1,11R,,
3,AC_068,G2,5,12L,,
3,AC_057,G1,4,12R,,
3,AC_064,G2,5,13L,,
3,AC_100,G2,3,13R,,
3,AC_075,G2,3,14L,,
3,AC_185,G2,2,14R,,
3,AC_088,G2,1,15R,,
3,AC_114,G2,3,16L,,
3,AC_144,G1,5,16R,,
3,AC_122,G1,2,17L,,
3,AC_159,G1,3,17R,,
3,AC_068,G2,5,18L,,
3,AC_064,G1,4,18R,,
3,AC_215,G1,2,19L,,
3,AC_099,G2,5,19R,,
3,AC_016,G1,5,20L,,
3,AC_038,G1,4,20R,,
3,AC_215,G1,2,21L,,
3,AC_199,G1,5,21R,,
3,AC_206,G2,1,22L,,
3,AC_190,G1,1,22R,,
3,AC_038,G2,4,23L,,
3,AC_199,G1,1,23R,,
3,AC_032,G1,5,24L,,
3,AC_211,G1,5,24R,,
3,AC_181,G1,5,25L,,
3,AC_186,G1,4,25R,,
3,AC_046,G1,4,26L,,
3,AC_016,G1,4,26R,,
3,AC_136,G1,2,27L,,
3,AC_179,G2,5,27R,,
3,AC_081,G2,2,28L,,
3,AC_191,G1,2,29L,,
3,AC_213,G2,2,29R,,
3,AC_144,G2,5,30L,,
3,AC_154,G2,3,30R,,
3,AC_015,G2,2,31L,,
3,AC_171,G2,3,31R,,
3,AC_051,G1,5,32L,,
3,AC_197,G1,4,32R,,
3,AC_058,G2,5,33L,,
3,AC_111,G1,4,33R,,
3,AC_190,G1,5,34R,,
3,AC_034,G2,3,35L,,
3,AC_074,G2,4,35R,,
4,AC_111,G2,3,1L,,
4,AC_187,G2,4,1R,,
4,AC_046,G2,3,2L,,
4,AC_096,G1,3,2R,,
4,AC_055,G2,5,3L,,
4,AC_011,G1,2,3R,,
4,AC_104,G1,5,4L,,
4,AC_107,G2,1,4R,,
4,AC_178,G2,4,5L,,
4,AC_201,G1,2,5R,,
4,AC_179,G1,4,6L,,
4,AC_109,G2,1,6R,,
4,AC_014,G2,4,7L,,
4,AC_136,G1,2,7R,,
4,AC_168,G1,2,8L,,
4,AC_057,G2,2,8R,,
4,AC_147,G1,1,9L,,
4,AC_186,G1,2,9R,,
