Location,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
1,BB_139,G1,3,3R,,
2,BB_181,G1,5,4R,,
2,BB_132,G2,3,5L,,
2,BB_044,G1,2,5R,,
2,BB_150,G1,5,6L,,
2,BB_002,G2,3,6R,,
3,BB_052,G2,4,7R,,
3,BB_206,G1,3,8L,,
3,BB_068,G1,4,8R,,
3,BB_147,G2,5,9L,,
3,BB_053,G1,5,9R,,
4,BB_069,G2,5,10L,,
4,BB_086,G1,1,10R,,
4,BB_215,G1,5,11R,,
4,BB_051,G1,5,12L,,
4,BB_134,G2,1,12R,,
5,BB_148,G1,3,13L,,
5,BB_004,G1,4,13R,,
5,BB_143,G2,1,14L,,
5,BB_159,G2,5,14R,,
5,BB_017,G1,1,15L,,
5,BB_088,G1,3,15R,,
6,BB_013,G1,4,16L,,
6,BB_179,G1,1,16R,,
6,BB_166,G1,2,17L,,
6,BB_076,G1,1,18L,,
6,BB_205A,G2,4,18R,,
7,BB_025,G1,1,19L,,
7,BB_086,G1,2,20L,,
7,BB_092,G1,4,20R,,
8,BB_152,G1,5,22R,,
8,BB_020,G1,4,23L,,
8,BB_116,G2,1,23R,,
8,BB_019,G2,2,24L,,
8,BB_195,G1,2,24R,,
9,BB_190,G1,3,25L,,
9,BB_029,G1,4,25R,,
9,BB_010,G1,1,26L,,
9,BB_181,G1,1,26R,,
9,BB_132,G2,2,27L,,
9,BB_020,G1,1,27R,,
10,BB_149,G2,2,28L,,
10,BB_029,G2,1,28R,,
10,BB_029,G1,5,29L,,
10,BB_135,G1,1,29R,,
10,BB_039,G2,4,30L,,
10,BB_094,G1,4,30R,,
11,BB_159,G1,3,31L,,
11,BB_063,G1,3,31R,,
11,BB_192,G1,5,32L,,
11,BB_004,G1,5,32R,,
11,BB_088,G1,2,33L,,
11,BB_045,G1,1,33R,,
12,BB_058,G2,2,34L,,
12,BB_172,G1,5,34R,,
12,BB_103,G1,3,35L,,
12,BB_183,G1,4,35R,,
