Transect,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
1,BO_087,G1,4,14L,,
1,BO_177,G1,2,15R,,
1,BO_189,G1,4,17L,,
1,BO_142,G1,3,18R,,
1,BO_055,G1,4,19R,,
1,BO_124,G2,2,20R,,
1,BO_091,G2,1,21L,,
1,BO_190,G1,5,22R,,
1,BO_099,G1,1,24L,,
1,BO_055,G1,5,25L,,
1,BO_037,G1,2,26R,,
1,BO_139,G1,4,27R,,
1,BO_144,G1,1,28L,,
1,BO_124,G2,5,28R,,
1,BO_089,G1,1,30L,,
1,BO_151,G1,3,33L,,
1,BO_060,G1,1,35L,,
1,BO_125,G1,5,37L,,
1,BO_140,G1,5,39R,,
2,BO_175,G1,1,1L,,
2,BO_095,G2,5,7L,,
2,BO_094,G2,2,8L,,
2,BO_067,G1,1,8R,,
2,BO_067,G1,1,9L,,
2,BO_201,G2,4,10R,,
2,BO_143,G1,2,11R,,
2,BO_081,G1,3,12R,,
2,BO_096,G1,5,14L,,
2,BO_104,G1,2,15L,,
2,BO_081,G1,5,15R,,
2,BO_174,G1,4,16R,,
2,BO_144,G1,4,18R,,
2,BO_043,G1,1,20L,,
2,BO_060,G2,5,20R,,
2,BO_137,G1,5,21L,,
2,BO_015,G2,1,22L,,
2,BO_063,G1,5,24R,,
2,BO_044,G1,1,26L,,
2,BO_031,G1,1,29L,,
2,BO_031,G1,2,31L,,
2,BO_169,G2,1,31R,,
3,BO_015,G1,4,2R,,
3,BO_174,G1,2,4R,,
3,BO_177,G1,5,5L,,
3,BO_086,G1,5,5R,,
3,BO_111,G1,4,6R,,
3,BO_072,G2,3,12L,,
3,BO_180,G1,4,14L,,
3,BO_045,G1,4,14R,,
3,BO_154,G2,3,15L,,
3,BO_201,G2,4,16L,,
4,BO_095,G1,5,9L,,
4,BO_180,G1,5,10L,,
4,BO_125,G1,3,19L,,
4,BO_199,G1,1,27L,,
5,BO_126,G1,5,2L,,
5,BO_050,G2,1,3L,,
5,BO_159,G1,3,4R,,
5,BO_052,G2,5,5R,,
5,BO_069,G2,4,6L,,
5,BO_008,G2,5,6R,,
5,BO_025,G2,3,7R,,
5,BO_004,G1,3,8L,,
5,BO_013,G1,1,8R,,
5,BO_124,G1,1,9L,,
5,BO_037,G2,1,9R,,
5,BO_184,G1,5,12L,,
5,BO_094,G2,3,13L,,
5,BO_094,G1,3,14L,,
5,BO_169,G1,3,16L,,
5,BO_078,G1,5,16R,,
5,BO_152,G1,2,18L,,
5,BO_086,G2,5,18R,,
5,BO_124,G1,2,20L,,
5,BO_019,G1,3,22L,,
5,BO_177,G1,5,23L,,
5,BO_031,G1,5,25L,,
5,BO_001,G1,5,29L,,
5,BO_108,G2,5,32R,,
5,BO_125,G2,2,34L,,
5,BO_146,G2,3,34R,,
6,BO_052,G2,5,22L,,
6,BO_031,G2,3,22R,,
6,BO_185,G1,3,1R,,
6,BO_056,G1,5,2L,,
6,BO_067,G2,1,2R,,
6,BO_022,G1,1,3L,,
6,BO_089,G1,5,3R,,
6,BO_158,G1,1,4L,,
6,BO_182,G1,5,4R,,
6,BO_131,G1,3,5L,,
6,BO_191,G2,1,7L,,
6,BO_072,G2,1,8L,,
6,BO_121,G1,2,8R,,
6,BO_166,G1,1,9L,,
6,BO_087,G1,4,9R,,
6,BO_015,G2,2,11L,,
6,BO_001,G2,3,11R,,
6,BO_145,G1,2,12L,,
6,BO_158,G1,4,12R,,
6,BO_199,G1,1,13L,,
6,BO_060,G2,3,13R,,
6,BO_130,G2,4,14R,,
6,BO_027,G1,3,16L,,
6,BO_201,G1,1,17L,,
6,BO_048,G1,3,18R,,
6,BO_069,G1,1,19L,,
6,BO_048,G2,3,19R,,
6,BO_117,G1,4,20L,,
6,BO_071,G1,4,20R,,
6,BO_034,G2,5,21L,,
6,BO_140,G1,3,23R,,
6,BO_018,G2,2,25L,,
6,BO_021,G2,5,25R,,
6,BO_190,G2,1,26L,,
6,BO_120,G1,4,27L,,
6,BO_029,G1,5,27R,,
6,BO_086,G2,2,29R,,
6,BO_019,G1,5,30L,,
6,BO_161,G1,5,31L,,
6,BO_099,G2,1,31R,,
7,BO_115,G2,5,1L,,
7,BO_176,G2,4,1R,,
7,BO_089,G2,5,2R,,
7,BO_085,G1,5,3L,,
7,BO_050,G1,3,5L,,
7,BO_116,G1,1,5R,,
7,BO_155,G1,5,6L,,
7,BO_099,G1,1,7L,,
7,BO_034,G2,1,8L,,
7,BO_043,G1,2,8R,,
7,BO_048,G1,5,9L,,
7,BO_012,G1,1,10L,,
7,BO_164,G2,1,12L,,
7,BO_150,G1,4,12R,,
7,BO_126,G2,3,13L,,
7,BO_050,G1,4,15L,,
7,BO_198,G1,2,15R,,
7,BO_094,G1,3,16L,,
7,BO_024,G1,5,19R,,
7,BO_053,G1,5,20L,,
7,BO_071,G2,5,20R,,
7,BO_021,G2,4,21L,,
7,BO_164,G2,2,24R,,
7,BO_118,G1,1,25R,,
7,BO_146,G1,5,26R,,
8,BO_157,G1,4,1R,,
8,BO_080,G2,3,2R,,
8,BO_027,G2,5,3L,,
8,BO_008,G2,1,4L,,
8,BO_087,G1,1,4R,,
8,BO_027,G1,3,5L,,
8,BO_169,G2,1,5R,,
8,BO_122,G1,1,6L,,
8,BO_115,G1,2,6R,,
8,BO_169,G2,3,7L,,
8,BO_122,G1,2,7R,,
8,BO_056,G2,2,8L,,
8,BO_082,G1,2,9L,,
8,BO_028,G1,2,9R,,
8,BO_140,G1,1,10L,,
8,BO_090,G2,1,11L,,
8,BO_069,G1,3,11R,,
8,BO_090,G2,2,12R,,
8,BO_164,G1,5,13L,,
8,BO_044,G1,1,14R,,
8,BO_079,G1,2,15R,,
8,BO_090,G1,5,16L,,
8,BO_149,G1,1,17L,,
8,BO_027,G1,3,18R,,
8,BO_072,G1,4,19L,,
8,BO_152,G2,5,19R,,
8,BO_008,G1,3,20L,,
8,BO_137,G2,2,20R,,
8,BO_008,G1,2,21L,,
8,BO_091,G1,2,21R,,
8,BO_149,G2,5,23L,,
8,BO_152,G2,2,24L,,
8,BO_066,G1,4,24R,,
8,BO_144,G1,5,25R,,
9,BO_032,G1,3,2L,,
9,BO_117,G1,4,2R,,
9,BO_137,G1,5,4L,,
9,BO_121,G2,4,4R,,
9,BO_134,G1,1,5R,,
9,BO_082,G1,5,6L,,
9,BO_176,G1,5,6R,,
9,BO_115,G2,3,7R,,
9,BO_155,G2,5,8L,,
9,BO_027,G2,5,8R,,
9,BO_118,G1,1,9L,,
9,BO_070,G1,4,9R,,
9,BO_127,G1,4,10L,,
9,BO_159,G1,3,10R,,
9,BO_146,G2,1,11L,,
9,BO_056,G1,4,11R,,
9,BO_105,G1,5,12L,,
9,BO_127,G1,5,12R,,
9,BO_080,G2,5,13L,,
9,BO_123,G2,1,13R,,
9,BO_091,G1,3,14R,,
9,BO_089,G1,1,15L,,
9,BO_125,G1,1,15R,,
9,BO_159,G1,2,16L,,
9,BO_130,G1,3,16R,,
9,BO_066,G1,1,17L,,
9,BO_176,G1,3,17R,,
9,BO_150,G2,3,18L,,
9,BO_125,G2,1,18R,,
9,BO_014,G1,5,19L,,
9,BO_095,G1,5,20L,,
9,BO_195,G1,3,20R,,
9,BO_043,G2,3,21L,,
9,BO_085,G1,5,21R,,
9,BO_025,G2,5,22R,,
9,BO_186,G1,1,23L,,
9,BO_052,G1,2,23R,,
9,BO_061,G2,4,24L,,
9,BO_106,G1,1,24R,,
9,BO_111,G1,4,25L,,
9,BO_009,G1,5,25R,,
9,BO_166,G2,5,27L,,
9,BO_169,G1,2,27R,,
9,BO_018,G2,1,30R,,
10,BO_184,G2,3,2L,,
10,BO_142,G2,5,2R,,
10,BO_199,G2,3,3R,,
10,BO_184,G1,5,4R,,
10,BO_032,G2,3,6L,,
10,BO_115,G2,4,7L,,
10,BO_149,G1,2,7R,,
10,BO_142,G1,1,8L,,
10,BO_013,G1,4,8R,,
10,BO_019,G1,5,9L,,
10,BO_089,G2,5,9R,,
10,BO_143,G2,1,10R,,
10,BO_180,G2,1,12L,,
10,BO_008,G1,5,12R,,
10,BO_060,G1,1,13R,,
10,BO_095,G1,4,14L,,
10,BO_012,G1,3,14R,,
10,BO_125,G2,5,15R,,
10,BO_146,G1,5,16L,,
10,BO_079,G2,3,17R,,
10,BO_186,G1,4,18R,,
10,BO_108,G1,3,19R,,
10,BO_001,G2,3,22L,,
10,BO_037,G1,5,23L,,
10,BO_098,G1,2,23R,,
10,BO_025,G2,4,24R,,
10,BO_177,G2,2,25R,,
10,BO_184,G1,5,26L,,
10,BO_171,G1,1,26R,,
10,BO_176,G1,1,28L,,
10,BO_180,G1,3,29R,,
10,BO_088,G2,1,30L,,
10,BO_018,G1,4,30R,,
