Transect,Recipient,Gen,Symbol,Plant_ID,Segment,corolla_diam_mm,Photo date,Notes,,
1,AC_057,G1,-,2,1L,21.488,5/12/23,,,Completed Folders:
1,AC_130,G2,X,2,1R,22.613,04/28/23,,,AC 4/14
1,AC_215,G2,X,4,2L,21.664,04/28/23,non-fitness plant,,AC 5/12
1,AC_215,G2,X,5,2L,23.402,5/12/23,,,AC 04/28
1,AC_191,G2,X,5,2R,22.178,5/12/23,,,AC 5/26
1,AC_189,G2,X,3,3L,18.132,04/28/23,non-fitness plant,,
1,AC_189,G2,X,5,3L,23.937,5/12/23,,,AC 6/9
1,AC_032,G1,-,2,3R,23.885,04/28/23,,,
1,AC_072,G1,-,1,4L,18.225,04/28/23,non-fitness plant,,
1,AC_072,G1,-,4,4L,15.47,5/12/23,,,
1,AC_032,G2,X,1,4R,22.014,04/28/23,non-fitness plant,,
1,AC_032,G2,X,2,4R,17.957,5/12/23,,,
1,AC_204,G1,-,5,5L,23.881,04/28/23,,,
1,AC_119,G1,-,2,5R,22.18,04/28/23,non-fitness plant,,
1,AC_119,G1,-,3,5R,25.188,5/12/23,,,
1,AC_094,G2,X,3,6L,20.513,04/28/23,,,
1,AC_123,G1,-,2,6R,22.462,04/28/23,,,
1,AC_030,G1,-,1,7L,22.713,04/28/23,,,
1,AC_151,G2,X,1,7R,17.346,04/28/23,,,
1,AC_147,G2,X,1,8L,19.808,04/28/23,,,
1,AC_147,G1,-,2,8R,25.244,5/12/23,,,
1,AC_147,G1,-,4,8R,23.421,04/28/23,non-fitness plant,,
1,AC_086,G1,-,1,9L,23.718,04/28/23,non-fitness plant,,
1,AC_086,G1,-,3,9L,,,,,
1,AC_089,G1,-,3,9R,17.596,5/12/23,,,
1,AC_212,G2,X,1,10L,21.352,04/28/23,non-fitness plant,,
1,AC_212,G2,X,4,10L,,,,,
1,AC_179,G1,-,3,11L,16.658,04/28/23,,,
1,AC_192,G2,X,1,11R,,,,,
1,AC_192,G2,X,2,11R,16.547,04/28/23,non-fitness plant,,
1,AC_107,G2,X,2,12L,17.503,04/28/23,,,
1,AC_188,G2,X,2,12R,19.641,04/28/23,,,
1,AC_068,G1,-,3,13L,17.393,04/28/23,,,
1,AC_195,G2,X,5,13R,18.37,04/28/23,,,
1,AC_034,G1,-,1,14R,,,,,
1,AC_034,G1,-,4,14R,17.929,04/28/23,non-fitness plant,,
1,AC_094,G2,X,2,15L,19.416,04/28/23,,,
1,AC_107,G2,X,4,15R,22.794,04/28/23,,,
1,AC_199,G2,X,3,16L,18.992,5/12/23,,,
1,AC_066,G2,X,1,17R,18.403,5/12/23,non-fitness plant,,
1,AC_066,G2,X,2,17R,,,,,
1,AC_081,G1,-,3,18L,17.968,5/12/23,,,
1,AC_153,G1,-,1,18R,20.32,04/28/23,one petal is hidden,,
1,AC_155,G2,X,1,19L,,,,,
1,AC_119,G1,-,3,19R,19.215,04/28/23,,,
1,AC_213,G2,X,3,20L,17.161,5/12/23,,,
1,AC_178,G1,-,3,20R,20.833,04/28/23,,,
1,AC_188,G1,-,4,21L,19.514,04/28/23,,,
1,AC_011,G2,X,4,21R,16.678,04/28/23,,,
1,AC_133,G1,-,1,22L,,,,,
1,AC_062,G2,X,1,22R,,,,,
1,AC_062,G2,X,4,22R,16.786,04/28/23,non-fitness plant,,
1,AC_130,G2,X,5,23L,19.003,04/28/23,,,
1,AC_005,G2,X,3,23R,18.939,04/28/23,,,
1,AC_218,G1,-,3,24L,18.695,04/28/23,,,
1,AC_178,G1,-,5,24R,,,,,
1,AC_107,G1,-,5,25L,19.853,04/28/23,,,
1,AC_154,G1,-,3,25R,21.969,04/28/23,,,
1,AC_086,G1,-,2,26L,18.427,04/28/23,,,
1,AC_118,G2,X,5,26R,19.486,04/28/23,,,
1,AC_015,G2,X,2,27L,16.131,04/28/23,,,
1,AC_201,G2,X,1,27R,19.008,04/28/23,,,
1,AC_189,G1,-,2,28L,22.242,04/28/23,,,
1,AC_123,G1,-,5,29L,21.2,04/28/23,,,
1,AC_208,G1,-,3,29R,20.66,04/28/23,non-fitness plant,,
1,AC_208,G1,-,4,29R,,,,,
1,AC_119,G1,-,5,30L,16.213,5/26/23,,,
1,AC_040,G2,X,5,31L,,,,,
1,AC_113,G2,X,4,32R,,,,,
1,AC_083,G2,X,5,33L,19.024,4/14/23,,,
1,AC_148,G1,-,3,33R,,,,,
1,AC_181,G2,X,2,34R,20.55,4/14/23,,,
1,AC_136,G2,X,5,35L,,,,,
1,AC_113,G1,-,3,35R,22.104,4/14/23,One petal is rolled up. ,,
1,AC_115,G2,X,4,36L,15.383,04/28/23,,,
2,AC_005,G2,X,4,1L,16.906,5/12/23,,,
2,AC_054,G1,-,3,1R,25.317,5/12/23,,,
2,AC_206,G2,X,5,2L,15.668,04/28/23,,,
2,AC_011,G2,X,5,2R,22.612,5/12/23,,,
2,AC_111,G2,X,4,3L,20.348,04/28/23,non-fitness plant,,
2,AC_111,G2,X,5,3L,23.847,04/28/23,,,
2,AC_203,G1,-,5,3R,,,,,
2,AC_119,G2,X,3,4L,22.543,04/28/23,non-fitness plant,,
2,AC_119,G2,X,4,4L,18.181,5/12/23,,,
2,AC_119,G2,X,5,4L,19.575,04/28/23,non-fitness plant,,
2,AC_082,G2,X,1,4R,18.076,04/28/23,,,
2,AC_118,G2,X,3,5L,15.844,04/28/23,,,
2,AC_216,G1,-,3,5R,22.885,04/28/23,,,
2,AC_131,G1,-,1,6L,17.69,04/28/23,,,
2,AC_086,G2,X,3,6R,20.394,04/28/23,,,
2,AC_205,G1,-,1,7L,,,,,
2,AC_205,G1,-,3,7L,21.051,04/28/23,"non-fitness plant, duplicated photos of the same plant on the same date",,
2,AC_062,G2,X,4,7R,18.993,04/28/23,,,
2,AC_205,G1,-,5,8L,,,,,
2,AC_118,G1,-,4,8R,21.124,04/28/23,,,
2,AC_144,G1,-,1,9L,28.398,5/12/23,,,
2,AC_144,G1,-,3,9L,26.778,04/28/23,non-fitness plant,,
2,AC_088,G1,-,5,9R,18.232,04/28/23,,,
2,AC_030,G1,-,2,10L,18.469,04/28/23,,,
2,AC_040,G2,X,1,10R,23.121,04/28/23,non-fitness plant,,
2,AC_040,G2,X,4,10R,,,,,
2,AC_051,G1,-,5,11L,20.959,04/28/23,,,
2,AC_090,G1,-,2,11R,23.548,04/28/23,,,
2,AC_038,G2,X,2,12L,21.718,04/28/23,"non-fitness plant, the tips of 2 petals are rolled up",,
2,AC_038,G2,X,3,12L,18.467,5/12/23,,,
2,AC_193,G2,X,1,12R,25.027,04/28/23,non-fitness plant,,
2,AC_193,G2,X,5,12R,,,,,
2,AC_168,G2,X,1,13L,15.241,04/28/23,,,
2,AC_089,G1,-,1,13R,18.365,5/12/23,,,
2,AC_089,G1,-,2,13R,21.02,04/28/23,non-fitness plant,Double check Gen # for these two^,
