Transect,Recipient,Gen,Symbol,Plant_ID,Segment,corolla_diam_mm,Photo date,Notes,,
1,HR_027,G2,X,4,1L,25.612,2023-04-05,,,
1,HR_010,G1,-,3,1R,19.563,2023-04-05,,,Completed Folders:
1,HR_051,G1,-,5,2L,22.898,2023-04-05,,,HR 5/5 (DG)
1,HR_044,G2,X,2,2R,,,,,HR 3/23 (DG)
1,HR_044,G2,X,3,2R,22.625,2023-04-05,Non-fitness plant,,HR 4/5
1,HR_178,G2,X,4,3L,14.979,2023-04-20,,,HR 4/20
1,HR_108,G2,X,1,3R,24.452,2023-04-20,,,
1,HR_108,G2,X,5,3R,16.511,2023-04-05,Non-fitness plant,,
1,HR_036,G1,-,4,4L,24.15,2023-04-20,,,
1,HR_121,G2,X,3,4R,25.546,2023-04-05,,,
1,HR_162,G1,-,2,5L,22.079,2023-04-20,,,
1,HR_134,G1,-,4,5R,21.85,2023-04-20,,,
1,HR_134,G1,-,5,5R,21.495,2023-04-05,Non-fitness plant,,
1,HR_041,G2,X,1,6L,22.048,2023-04-05,,,
1,HR_124,G2,X,3,6R,,,,,
1,HR_162,G1,-,5,7L,,,,,
1,HR_179,G1,-,4,7R,25.794,2023-04-05,non fitness plant,,
1,HR_179,G1,-,3,7R,,,,,
1,HR_196,G1,-,3,8L,24.547,2023-04-05,,,
1,HR_005,G1,-,1,8R,21.442,2023-04-05,,,
1,HR_095,G1,-,4,9L,25.859,2023-04-20,,,
1,HR_196,G2,X,1,9R,23.981,2023-04-05,,,
1,HR_019,G1,-,5,10L,21.099,2023-04-20,,,
1,HR_019,G1,-,2,10L,22.754,2023-04-05,Non-fitness plant,,
1,HR_111,G2,X,4,10R,21.952,2023-04-05,originally mislabeled,,
1,HR_047,G1,-,2,11L,,,,,
1,HR_047,G1,-,4,11L,22.326,2023-04-20,Non fitness,,
1,HR_095,G1,-,1,11R,,,,,
1,HR_111,G1,-,4,12L,23.104,2023-04-20,,,
1,HR_042,G1,-,2,12R,25.136,2023-04-20,,,
1,HR_086,G2,X,4,13L,22.776,2023-04-20,,,
1,HR_086,G2,X,3,13L,22.521,2023-04-05,Non-fitness plant,,
1,HR_111,G2,X,1,13R,24.133,2023-04-20,,,
1,HR_111,G2,X,3,13R,21.051,2023-04-05,Non-fitness plant,,
1,HR_174,G2,X,1,14L,23.663,2023-04-20,,,
1,HR_105,G1,-,1,14R,,,,,
1,HR_105,G1,-,2,14R,23.572,2023-04-05,Non-fitness plant,,
1,HR_044,G2,X,3,15L,23.643,2023-04-05,,,
1,HR_044,G2,X,3,15L,24.138,2023-04-20,,,
1,HR_107,G2,X,2,15R,19.626,2023-04-20,,,
1,HR_104,G1,-,1,16L,22.406,2023-04-20,,,
1,HR_012,G2,X,4,16R,,,,,
1,HR_156,G2,X,3,17L,25.552,2023-04-20,,,
1,HR_050,G2,X,2,17R,,,,,
1,HR_050,G2,X,3,17R,23.953,2023-04-20,Non fitness,,
1,HR_071,G1,-,5,18L,,,,,
1,HR_137,G1,-,4,18R,,,,,
1,HR_110,G2,X,5,19L,23.851,2023-04-20,,,
1,HR_087,G1,-,1,19R,,,,,
1,HR_047,G1,-,1,20L,,,,,
1,HR_070,G2,X,3,20R,21.494,2023-04-20,,,
1,HR_177,G1,-,2,21L,25.889,2023-04-20,,,
1,HR_061,G2,X,3,21R,,,,,
1,HR_047,G1,-,3,22L,17.898,2023-04-20,,,
1,HR_058,G1,-,4,22R,20.534,2023-04-20,,,
1,HR_169,G2,X,5,23L,26.489,2023-04-20,,,
