Transect,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
1,HR_027,G2,4,1L,,
1,HR_010,G1,3,1R,,
1,HR_051,G1,5,2L,,
1,HR_044,G2,2,2R,,
1,HR_178,G2,4,3L,,
1,HR_108,G2,1,3R,,
1,HR_036,G1,4,4L,,
1,HR_121,G2,3,4R,,
1,HR_162,G1,2,5L,,
1,HR_134,G1,4,5R,,
1,HR_041,G2,1,6L,,
1,HR_124,G2,3,6R,,
1,HR_162,G1,5,7L,,
1,HR_179,G1,3,7R,,
1,HR_196,G1,3,8L,,
1,HR_005,G1,1,8R,,
1,HR_095,G1,4,9L,,
1,HR_196,G2,1,9R,,
1,HR_019,G1,5,10L,,
1,HR_111,G2,4,10R,,
1,HR_047,G1,2,11L,,
1,HR_095,G1,1,11R,,
1,HR_111,G1,4,12L,,
1,HR_042,G1,2,12R,,
1,HR_086,G2,4,13L,,
1,HR_111,G2,1,13R,,
1,HR_174,G2,1,14L,,
1,HR_044,G2,3,15L,,
1,HR_107,G2,2,15R,,
1,HR_104,G1,1,16L,,
1,HR_012,G2,4,16R,,
1,HR_156,G2,3,17L,,
1,HR_050,G2,2,17R,,
1,HR_071,G1,5,18L,,
1,HR_137,G1,4,18R,,
1,HR_110,G2,5,19L,,
1,HR_087,G1,1,19R,,
1,HR_047,G1,1,20L,,
1,HR_070,G2,3,20R,,
1,HR_177,G1,2,21L,,
1,HR_061,G2,3,21R,,
1,HR_047,G1,3,22L,,
1,HR_058,G1,4,22R,,
1,HR_169,G2,5,23L,,
1,HR_032,G2,5,23R,,
1,HR_121,G2,2,24R,,
1,HR_118,G2,5,25L,,
1,HR_020,G2,5,25R,,
1,HR_135,G1,4,26L,,
1,HR_062,G2,2,26R,,
1,HR_111,G1,5,27L,,
1,HR_070,G1,2,27R,,
1,HR_183,G1,3,28L,,
1,HR_028,G2,4,28R,,
1,HR_136,G1,1,29L,,
1,HR_131,G1,1,29R,,
1,HR_119,G1,3,30L,,
1,HR_072,G2,1,30R,,
1,HR_044,G2,4,31L,,
1,HR_166,G2,1,31R,,
1,HR_158,G1,1,32L,,
1,HR_111,G1,5,32R,,
1,HR_179,G2,4,33L,,
1,HR_178,G1,1,33R,,
1,HR_137,G2,4,34L,,
1,HR_068,G1,5,34R,,
1,HR_005,G2,5,35L,,
1,HR_127,G2,3,35R,,
1,HR_038,G2,5,36L,,
1,HR_005,G2,3,36R,,
1,HR_109,G2,4,37L,,
1,HR_147,G1,2,37R,,
1,HR_197,G1,3,38L,,
1,HR_168,G2,1,38R,,
1,HR_156,G1,2,39L,,
1,HR_158,G1,5,39R,,
1,HR_065,G1,3,40L,,
1,HR_115,G1,3,40R,,
1,HR_033,G1,2,41R,,
1,HR_184,G2,4,42L,,
1,HR_135,G1,4,42R,,
1,HR_178,G1,4,43L,,
1,HR_116,G1,4,43R,,
1,HR_101,G2,3,44L,,
1,HR_018,G1,5,44R,,
1,HR_037,G2,2,45L,,
1,HR_071,G1,4,45R,,
2,HR_059,G1,3,1L,,
2,HR_139,G2,5,1R,,
2,HR_114,G1,5,2L,,
2,HR_053,G2,3,2R,,
2,HR_146,G2,1,3L,,
2,HR_182,G1,1,3R,,
2,HR_156,G1,2,4L,,
2,HR_026,G2,3,4R,,
2,HR_152,G2,2,5L,,
2,HR_009,G1,3,5R,,
2,HR_058,G2,5,6L,,
2,HR_036,G2,4,6R,,
2,HR_145,G1,1,7L,,
2,HR_126,G2,4,7R,,
2,HR_049,G2,2,8L,,
2,HR_155,G1,3,8R,,
2,HR_169,G1,4,9L,,
2,HR_179,G2,3,9R,,
2,HR_007,G1,3,10L,,
2,HR_153,G1,2,10R,,
2,HR_007,G2,5,11L,,
2,HR_036,G1,5,11R,,
2,HR_001,G1,3,12L,,
2,HR_168,G1,1,12R,,
2,HR_034,G2,1,13L,,
2,HR_088,G2,3,13R,,
2,HR_108,G1,5,14L,,
2,HR_035,G1,4,14R,,
2,HR_105,G1,2,15L,,
2,HR_104,G2,2,15R,,
2,HR_026,G1,1,16L,,
2,HR_019,G2,3,16R,,
2,HR_028,G2,2,17L,,
2,HR_168,G2,4,17R,,
2,HR_103,G1,5,18L,,
2,HR_068,G2,4,18R,,
2,HR_021,G1,3,19L,,
2,HR_195,G1,4,19R,,
2,HR_175,G1,4,20L,,
2,HR_067,G2,3,20R,,
2,HR_145,G2,2,21L,,
2,HR_040,G2,3,21R,,
2,HR_068,G2,4,22L,,
2,HR_153,G1,5,22R,,
2,HR_044,G1,5,23L,,
2,HR_149,G2,1,23R,,
2,HR_010,G1,3,24L,,
2,HR_015,G2,1,24R,,
2,HR_065,G2,4,25L,,
2,HR_174,G1,5,25R,,
2,HR_065,G1,2,26L,,
2,HR_175,G1,1,26R,,
2,HR_036,G2,4,27L,,
2,HR_037,G1,3,27R,,
2,HR_169,G1,1,28L,,
2,HR_182,G2,1,28R,,
2,HR_054,G2,5,29L,,
2,HR_195,G1,5,29R,,
2,HR_017,G1,4,30L,,
2,HR_073,G2,4,30R,,
2,HR_107,G1,5,31L,,
2,HR_145,G1,2,31R,,
2,HR_182,G2,1,32L,,
2,HR_146,G1,1,32R,,
2,HR_033,G2,2,33L,,
2,HR_073,G1,2,33R,,
2,HR_071,G1,1,34L,,
2,HR_043,G1,3,34R,,
2,HR_165,G2,2,35L,,
2,HR_062,G2,2,35R,,
2,HR_176,G2,5,36L,,
2,HR_092,G1,1,36R,,
2,HR_193,G1,2,37L,,
2,HR_195,G2,4,37R,,
2,HR_166,G1,2,38L,,
2,HR_173,G2,1,38R,,
2,HR_152,G1,4,39L,,
2,HR_142,G2,5,39R,,
2,HR_115,G1,4,40L,,
2,HR_058,G2,2,40R,,
2,HR_023,G2,4,41L,,
2,HR_192,G2,5,41R,,
2,HR_067,G2,4,42L,,
2,HR_133,G1,4,42R,,
2,HR_067,G1,5,43L,,
2,HR_038,G1,4,43R,,
2,HR_101,G1,1,44L,,
2,HR_079,G1,2,44R,,
2,HR_175,G2,1,45L,,
2,HR_121,G1,3,45R,,
3,HR_088,G1,1,1L,,
3,HR_012,G2,1,1R,,
3,HR_193,G1,1,2L,,
3,HR_011,G1,1,2R,,
3,HR_112,G1,2,3L,,
3,HR_056,G1,1,3R,,
3,HR_018,G2,2,4L,,
3,HR_020,G2,3,4R,,
3,HR_149,G2,4,5L,,
3,HR_150,G1,3,5R,,
3,HR_134,G2,2,6L,,
3,HR_165,G2,5,6R,,
3,HR_026,G2,1,7L,,
3,HR_067,G1,5,8L,,
3,HR_067B,G1,5,8R,,
3,HR_193,G2,4,9L,,
3,HR_123,G1,4,9R,,
3,HR_006,G2,5,10L,,
3,HR_066,G2,3,10R,,
3,HR_046,G2,4,11L,,
3,HR_164,G2,3,11R,,
3,HR_170,G1,5,12L,,
3,HR_158,G2,2,12R,,
3,HR_193,G2,5,13L,,
3,HR_156,G2,5,13R,,
3,HR_049,G1,1,14L,,
3,HR_065,G2,5,14R,,
3,HR_145,G2,4,15R,,
3,HR_017,G1,3,16L,,
3,HR_176,G1,1,16R,,
3,HR_164,G1,5,17L,,
3,HR_041,G1,1,17R,,
3,HR_104,G2,1,18L,,
3,HR_153,G2,2,18R,,
3,HR_190,G2,3,19L,,
3,HR_155,G2,4,19R,,
3,HR_021,G2,2,20L,,
3,HR_174,G2,5,20R,,
