Sequence,Transect,Segment,position,Gen,Recipient,Fit_plant
1,1,1,L,G1,AC_057,2
1,1,1,R,G2,AC_130,2
2,1,2,L,G2,AC_215,5
2,1,2,R,G2,AC_191,5
3,1,3,L,G2,AC_189,5
3,1,3,R,G1,AC_032,2
4,1,4,L,G1,AC_072,4
4,1,4,R,G2,AC_032,2
5,1,5,L,G1,AC_204,5
5,1,5,R,G1,AC_119,3
6,1,6,L,G2,AC_094,3
6,1,6,R,G1,AC_123,2
7,1,7,L,G1,AC_030,1
7,1,7,R,G2,AC_151,1
8,1,8,L,G2,AC_147,1
8,1,8,R,G1,AC_147,2
9,1,9,L,G1,AC_086,3
9,1,9,R,G1,AC_089,3
10,1,10,L,G2,AC_212,4
10,1,10,R,G1,AC_212,
11,1,11,L,G1,AC_179,3
11,1,11,R,G2,AC_192,1
12,1,12,L,G2,AC_107,2
12,1,12,R,G2,AC_188,2
13,1,13,L,G1,AC_068,3
13,1,13,R,G2,AC_195,5
14,1,14,L,G1,AC_148,
14,1,14,R,G1,AC_034,1
15,1,15,L,G2,AC_094,2
15,1,15,R,G2,AC_107,4
16,1,16,L,G2,AC_199,3
16,1,16,R,G1,AC_113,
17,1,17,L,G1,AC_195,
17,1,17,R,G2,AC_066,2
18,1,18,L,G1,AC_081,3
18,1,18,R,G1,AC_153,1
19,1,19,L,G2,AC_155,1
19,1,19,R,G1,AC_119,3
20,1,20,L,G2,AC_213,3
20,1,20,R,G1,AC_178,3
21,1,21,L,G1,AC_188,4
21,1,21,R,G2,AC_011,4
22,1,22,L,G1,AC_133,1
22,1,22,R,G2,AC_062,1
23,1,23,L,G2,AC_130,5
23,1,23,R,G2,AC_005,3
24,1,24,L,G1,AC_218,3
24,1,24,R,G1,AC_178,5
25,1,25,L,G1,AC_107,5
25,1,25,R,G1,AC_154,3
26,1,26,L,G1,AC_086,2
26,1,26,R,G2,AC_118,5
27,1,27,L,G2,AC_015,2
27,1,27,R,G2,AC_201,1
28,1,28,L,G1,AC_189,2
28,1,28,R,G2,AC_089,
29,1,29,L,G1,AC_123,5
29,1,29,R,G1,AC_208,4
30,1,30,L,G1,AC_119,5
30,1,30,R,G2,AC_056,
31,1,31,L,G2,AC_040,5
31,1,31,R,G1,AC_148,
32,1,32,L,G1,AC_052,
32,1,32,R,G2,AC_113,4
33,1,33,L,G2,AC_083,5
33,1,33,R,G1,AC_148,3
34,1,34,L,G1,AC_152,
34,1,34,R,G2,AC_181,2
35,1,35,L,G2,AC_136,5
35,1,35,R,G1,AC_113,3
36,1,36,L,G2,AC_115,4
36,1,36,R,G1,AC_048,
37,2,1,L,G2,AC_005,4
37,2,1,R,G1,AC_054,3
38,2,2,L,G2,AC_206,5
38,2,2,R,G2,AC_011,5
39,2,3,L,G2,AC_111,5
39,2,3,R,G1,AC_203,5
40,2,4,L,G2,AC_119,4
40,2,4,R,G2,AC_082,1
41,2,5,L,G2,AC_118,3
41,2,5,R,G1,AC_216,3
42,2,6,L,G1,AC_131,1
42,2,6,R,G2,AC_086,3
43,2,7,L,G1,AC_205,1
43,2,7,R,G2,AC_062,4
44,2,8,L,G1,AC_205,5
44,2,8,R,G1,AC_118,4
45,2,9,L,G1,AC_144,1
45,2,9,R,G1,AC_088,5
46,2,10,L,G1,AC_030,2
46,2,10,R,G2,AC_040,4
47,2,11,L,G1,AC_051,5
47,2,11,R,G1,AC_090,2
48,2,12,L,G2,AC_038,3
48,2,12,R,G2,AC_193,5
49,2,13,L,G2,AC_168,1
49,2,13,R,G1,AC_089,1
50,2,14,L,G2,AC_190,4
50,2,14,R,G2,AC_016,5
51,2,15,L,G2,AC_010,3
51,2,15,R,G1,AC_054,1
52,2,16,L,G1,AC_010,
52,2,16,R,G2,AC_144,2
53,2,17,L,G2,AC_075,5
53,2,17,R,G1,AC_120,2
54,2,18,L,G2,AC_066,2
54,2,18,R,G1,AC_075,4
55,2,19,L,G1,AC_056,3
55,2,19,R,G2,AC_217,4
56,2,20,L,G1,AC_086,5
56,2,20,R,G1,AC_072,4
57,2,21,L,G1,AC_181,1
57,2,21,R,G2,AC_131,5
58,2,22,L,G1,AC_032,3
58,2,22,R,G1,AC_109,2
59,2,23,L,G1,AC_055,3
59,2,23,R,G1,AC_154,1
60,2,24,L,G2,AC_128,5
60,2,24,R,G1,AC_185,
61,2,25,L,G1,AC_154,4
61,2,25,R,G1,AC_122,1
62,2,26,L,G1,AC_133,3
62,2,26,R,G1,AC_197,4
63,2,27,L,G2,AC_058,4
63,2,27,R,G1,AC_014,5
64,2,28,L,G2,AC_054,5
64,2,28,R,G2,AC_133,2
65,2,29,L,G1,AC_107,2
65,2,29,R,G2,AC_046,3
66,2,30,L,G1,AC_088,3
66,2,30,R,G2,AC_114,2
67,2,31,L,G2,AC_200,2
67,2,31,R,G2,AC_203,5
68,2,32,L,G2,AC_074,4
68,2,32,R,G1,AC_046,3
69,2,33,L,G1,AC_187,4
69,2,33,R,G1,AC_182,2
70,2,34,L,G2,AC_095,5
70,2,34,R,G2,AC_092,2
71,2,35,L,G2,AC_205,4
71,2,35,R,G2,AC_186,
72,2,36,L,G1,AC_158,2
72,2,36,R,G2,AC_048,4
73,3,1,L,G1,AC_052,3
73,3,1,R,G2,AC_113,2
74,3,2,L,G1,AC_215,1
74,3,2,R,G1,AC_038,3
75,3,3,L,G2,AC_089,3
75,3,3,R,G1,AC_190,2
76,3,4,L,G2,AC_197,2
76,3,4,R,G1,AC_057,1
77,3,5,L,G2,AC_197,1
77,3,5,R,G1,AC_159,
78,3,6,L,G1,AC_082,4
78,3,6,R,G2,AC_096,2
79,3,7,L,G1,AC_099,5
79,3,7,R,G2,AC_154,3
80,3,8,L,G1,AC_010,1
80,3,8,R,G2,AC_181,3
81,3,9,L,G1,AC_005,1
81,3,9,R,G1,AC_187,1
82,3,10,L,G1,AC_094,3
82,3,10,R,G2,AC_190,4
83,3,11,L,G2,AC_148,2
83,3,11,R,G1,AC_096,1
84,3,12,L,G2,AC_068,5
84,3,12,R,G1,AC_057,4
85,3,13,L,G2,AC_064,5
85,3,13,R,G2,AC_100,3
86,3,14,L,G2,AC_075,3
86,3,14,R,G2,AC_185,2
87,3,15,L,G1,AC_212,
87,3,15,R,G2,AC_088,1
88,3,16,L,G2,AC_114,3
88,3,16,R,G1,AC_144,5
89,3,17,L,G1,AC_122,2
89,3,17,R,G1,AC_159,3
90,3,18,L,G2,AC_068,5
90,3,18,R,G1,AC_064,4
91,3,19,L,G1,AC_215,2
91,3,19,R,G2,AC_099,5
92,3,20,L,G1,AC_016,5
92,3,20,R,G1,AC_038,4
93,3,21,L,G1,AC_215,2
93,3,21,R,G1,AC_199,5
94,3,22,L,G2,AC_206,1
94,3,22,R,G1,AC_190,1
95,3,23,L,G2,AC_038,4
95,3,23,R,G1,AC_199,1
96,3,24,L,G1,AC_032,5
96,3,24,R,G1,AC_211,5
97,3,25,L,G1,AC_181,5
97,3,25,R,G1,AC_186,4
98,3,26,L,G1,AC_046,4
98,3,26,R,G1,AC_016,4
99,3,27,L,G1,AC_136,2
99,3,27,R,G2,AC_179,5
100,3,28,L,G2,AC_081,2
100,3,28,R,G2,AC_212,
101,3,29,L,G1,AC_191,2
101,3,29,R,G2,AC_213,2
102,3,30,L,G2,AC_144,5
102,3,30,R,G2,AC_154,3
103,3,31,L,G2,AC_015,2
103,3,31,R,G2,AC_171,3
104,3,32,L,G1,AC_051,5
104,3,32,R,G1,AC_197,4
105,3,33,L,G2,AC_058,5
105,3,33,R,G1,AC_111,4
106,3,34,L,G2,AC_119,
106,3,34,R,G1,AC_190,5
107,3,35,L,G2,AC_034,3
107,3,35,R,G2,AC_074,4
108,4,1,L,G2,AC_111,3
108,4,1,R,G2,AC_187,4
109,4,2,L,G2,AC_046,3
109,4,2,R,G1,AC_096,3
110,4,3,L,G2,AC_055,5
110,4,3,R,G1,AC_011,2
111,4,4,L,G1,AC_104,5
111,4,4,R,G2,AC_107,1
112,4,5,L,G2,AC_178,4
112,4,5,R,G1,AC_201,2
113,4,6,L,G1,AC_179,4
113,4,6,R,G2,AC_109,1
114,4,7,L,G2,AC_014,4
114,4,7,R,G1,AC_136,2
115,4,8,L,G1,AC_168,2
115,4,8,R,G2,AC_057,2
116,4,9,L,G1,AC_147,1
116,4,9,R,G1,AC_186,2
117,4,10,L,G2,AC_083,1
117,4,10,R,G2,AC_110,3
118,4,11,L,G1,AC_058,3
118,4,11,R,G2,AC_204,3
119,4,12,L,G2,AC_054,5
119,4,12,R,G1,AC_128,3
120,4,13,L,G1,AC_168,4
120,4,13,R,G2,AC_070,4
121,4,14,L,G2,AC_072,3
121,4,14,R,G2,AC_151,4
122,4,15,L,G2,AC_099,3
122,4,15,R,G1,AC_075,
123,4,16,L,G1,AC_048,3
123,4,16,R,G1,AC_160,5
124,4,17,L,G1,AC_068,3
124,4,17,R,G2,AC_109,3
125,4,18,L,G2,AC_011,4
