Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
1,1,1L,G1,AC_089,AC_057,2
1,1,1R,G2,AC_107,AC_130,2
2,1,2L,G2,AC_071,AC_215,5
2,1,2R,G2,AC_102,AC_191,5
3,1,3L,G2,AC_091,AC_189,5
3,1,3R,G1,AC_089,AC_032,2
4,1,4L,G1,AC_198,AC_072,4
4,1,4R,G2,AC_089,AC_032,2
5,1,5L,G1,AC_091,AC_204,5
5,1,5R,G1,AC_054,AC_119,3
6,1,6L,G2,AC_159,AC_094,3
6,1,6R,G1,AC_045,AC_123,2
7,1,7L,G1,AC_124,AC_030,1
7,1,7R,G2,AC_045,AC_151,1
8,1,8L,G2,AC_007,AC_147,1
8,1,8R,G1,AC_007,AC_147,2
9,1,9L,G1,AC_064,AC_086,3
9,1,9R,G1,AC_068,AC_089,3
10,1,10L,G2,AC_052,AC_212,4
10,1,10R,G1,AC_052,AC_212,
11,1,11L,G1,AC_195,AC_179,3
11,1,11R,G2,AC_159,AC_192,1
12,1,12L,G2,AC_177,AC_107,2
12,1,12R,G2,AC_008,AC_188,2
13,1,13L,G1,AC_008,AC_068,3
13,1,13R,G2,AC_068,AC_195,5
14,1,14L,G1,AC_039,AC_148,
14,1,14R,G1,AC_216,AC_034,1
15,1,15L,G2,AC_159,AC_094,2
15,1,15R,G2,AC_177,AC_107,4
16,1,16L,G2,AC_165,AC_199,3
16,1,16R,G1,AC_047,AC_113,
17,1,17L,G1,AC_068,AC_195,
17,1,17R,G2,AC_198,AC_066,2
18,1,18L,G1,AC_007,AC_081,3
18,1,18R,G1,AC_186,AC_153,1
19,1,19L,G2,AC_054,AC_155,1
19,1,19R,G1,AC_054,AC_119,3
20,1,20L,G2,AC_161,AC_213,3
20,1,20R,G1,AC_102,AC_178,3
21,1,21L,G1,AC_008,AC_188,4
21,1,21R,G2,AC_186,AC_011,4
22,1,22L,G1,AC_052,AC_133,1
22,1,22R,G2,AC_165,AC_062,1
23,1,23L,G2,AC_107,AC_130,5
23,1,23R,G2,AC_156,AC_005,3
24,1,24L,G1,AC_091,AC_218,3
24,1,24R,G1,AC_102,AC_178,5
25,1,25L,G1,AC_177,AC_107,5
25,1,25R,G1,AC_103,AC_154,3
26,1,26L,G1,AC_064,AC_086,2
26,1,26R,G2,AC_170,AC_118,5
27,1,27L,G2,AC_160,AC_015,2
27,1,27R,G2,AC_103,AC_201,1
28,1,28L,G1,AC_091,AC_189,2
28,1,28R,G2,AC_068,AC_089,
29,1,29L,G1,AC_045,AC_123,5
29,1,29R,G1,AC_172,AC_208,4
30,1,30L,G1,AC_054,AC_119,5
30,1,30R,G2,AC_068,AC_056,
31,1,31L,G2,AC_172,AC_040,5
31,1,31R,G1,AC_039,AC_148,
32,1,32L,G1,AC_061,AC_052,
32,1,32R,G2,AC_047,AC_113,4
33,1,33L,G2,AC_150,AC_083,5
33,1,33R,G1,AC_039,AC_148,3
34,1,34L,G1,AC_047,AC_152,
34,1,34R,G2,AC_096,AC_181,2
35,1,35L,G2,AC_179,AC_136,5
35,1,35R,G1,AC_047,AC_113,3
36,1,36L,G2,AC_071,AC_115,4
36,1,36R,G1,AC_186,AC_048,
37,2,1L,G2,AC_156,AC_005,4
37,2,1R,G1,AC_097,AC_054,3
38,2,2L,G2,AC_165,AC_206,5
38,2,2R,G2,AC_186,AC_011,5
39,2,3L,G2,AC_172,AC_111,5
39,2,3R,G1,AC_170,AC_203,5
40,2,4L,G2,AC_054,AC_119,4
40,2,4R,G2,AC_207,AC_082,1
41,2,5L,G2,AC_170,AC_118,3
41,2,5R,G1,AC_094,AC_216,3
42,2,6L,G1,AC_052,AC_131,1
42,2,6R,G2,AC_064,AC_086,3
43,2,7L,G1,AC_064,AC_205,1
43,2,7R,G2,AC_165,AC_062,4
44,2,8L,G1,AC_064,AC_205,5
44,2,8R,G1,AC_170,AC_118,4
45,2,9L,G1,AC_103,AC_144,1
45,2,9R,G1,AC_161,AC_088,5
46,2,10L,G1,AC_124,AC_030,2
46,2,10R,G2,AC_172,AC_040,4
47,2,11L,G1,AC_198,AC_051,5
47,2,11R,G1,AC_156,AC_090,2
48,2,12L,G2,AC_125,AC_038,3
48,2,12R,G2,AC_195,AC_193,5
49,2,13L,G2,AC_039,AC_168,1
49,2,13R,G1,AC_068,AC_089,1
50,2,14L,G2,AC_015,AC_190,4
50,2,14R,G2,AC_156,AC_016,5
51,2,15L,G2,AC_168,AC_010,3
51,2,15R,G1,AC_097,AC_054,1
52,2,16L,G1,AC_168,AC_010,
52,2,16R,G2,AC_103,AC_144,2
53,2,17L,G2,AC_169,AC_075,5
53,2,17R,G1,AC_169,AC_120,2
54,2,18L,G2,AC_198,AC_066,2
54,2,18R,G1,AC_169,AC_075,4
55,2,19L,G1,AC_068,AC_056,3
55,2,19R,G2,AC_094,AC_217,4
56,2,20L,G1,AC_064,AC_086,5
56,2,20R,G1,AC_198,AC_072,4
57,2,21L,G1,AC_096,AC_181,1
57,2,21R,G2,AC_052,AC_131,5
58,2,22L,G1,AC_089,AC_032,3
58,2,22R,G1,AC_094,AC_109,2
59,2,23L,G1,AC_207,AC_055,3
59,2,23R,G1,AC_103,AC_154,1
60,2,24L,G2,AC_096,AC_128,5
60,2,24R,G1,AC_170,AC_185,
61,2,25L,G1,AC_103,AC_154,4
61,2,25R,G1,AC_002,AC_122,1
