Sequence,Location,position,Gen,Recipient,Fit_plant
1,1,L,G1,BB_207,
1,1,R,G2,BB_046,
2,1,L,G1,BB_098,
2,1,R,G1,BB_157,
3,1,L,G2,BB_123,
3,1,R,G1,BB_139,3
4,2,L,G1,BB_166,
4,2,R,G1,BB_181,5
5,2,L,G2,BB_132,3
5,2,R,G1,BB_044,2
6,2,L,G1,BB_150,5
6,2,R,G2,BB_002,3
7,3,L,G2,BB_154,
7,3,R,G2,BB_052,4
8,3,L,G1,BB_206,3
8,3,R,G1,BB_068,4
9,3,L,G2,BB_147,5
9,3,R,G1,BB_053,5
10,4,L,G2,BB_069,5
10,4,R,G1,BB_086,1
11,4,L,G2,BB_054,
11,4,R,G1,BB_215,5
12,4,L,G1,BB_051,5
12,4,R,G2,BB_134,1
13,5,L,G1,BB_148,3
13,5,R,G1,BB_004,4
14,5,L,G2,BB_143,1
14,5,R,G2,BB_159,5
15,5,L,G1,BB_017,1
15,5,R,G1,BB_088,3
16,6,L,G1,BB_013,4
16,6,R,G1,BB_179,1
17,6,L,G1,BB_166,2
17,6,R,G1,BB_210,
18,6,L,G1,BB_076,1
18,6,R,G2,BB_205A,4
19,7,L,G1,BB_025,1
19,7,R,G2,BB_120,
20,7,L,G1,BB_086,2
20,7,R,G1,BB_092,4
21,7,L,G2,BB_133,
21,7,R,G1,BB_154,
22,8,L,G2,BB_105,
22,8,R,G1,BB_152,5
23,8,L,G1,BB_020,4
23,8,R,G2,BB_116,1
24,8,L,G2,BB_019,2
24,8,R,G1,BB_195,2
25,9,L,G1,BB_190,3
25,9,R,G1,BB_029,4
26,9,L,G1,BB_010,1
26,9,R,G1,BB_181,1
27,9,L,G2,BB_132,2
27,9,R,G1,BB_020,1
28,10,L,G2,BB_149,2
28,10,R,G2,BB_029,1
29,10,L,G1,BB_029,5
29,10,R,G1,BB_135,1
30,10,L,G2,BB_039,4
30,10,R,G1,BB_094,4
31,11,L,G1,BB_159,3
31,11,R,G1,BB_063,3
32,11,L,G1,BB_192,5
32,11,R,G1,BB_004,5
33,11,L,G1,BB_088,2
33,11,R,G1,BB_045,1
34,12,L,G2,BB_058,2
34,12,R,G1,BB_172,5
35,12,L,G1,BB_103,3
35,12,R,G1,BB_183,4
36,12,L,G2,BB_009,4
36,12,R,G2,BB_148,5
37,13,L,G1,BB_032,2
37,13,R,G1,BB_024,1
38,13,L,G1,BB_089,1
38,13,R,G1,BB_018,3
39,13,L,G1,BB_102,4
39,13,R,G1,BB_179,2
40,14,L,G1,BB_048,2
40,14,R,G1,BB_078,2
41,14,L,G2,BB_200,2
41,14,R,G1,BB_207,1
42,14,L,G1,BB_121,2
42,14,R,G1,BB_009,2
43,15,L,G1,BB_189,3
43,15,R,G1,BB_101,1
44,15,L,G1,BB_154,4
44,15,R,G1,BB_200,1
45,15,L,G2,BB_157,2
45,15,R,G2,BB_103,2
46,16,L,G1,BB_071,1
46,16,R,G1,BB_117,3
