Location,Sequence,SegPos,Gen,Donor,Recipient,Fit_plant,latitude,longitude
1,1,1L,G1,BB_144,BB_207,,38.31522,-123.06908
1,1,1R,G2,BB_168,BB_046,,38.31522,-123.06908
1,2,2L,G1,BB_091,BB_098,,38.31522,-123.06908
1,2,2R,G1,BB_171,BB_157,,38.31522,-123.06908
1,3,3L,G2,BB_107,BB_123,,38.31522,-123.06908
1,3,3R,G1,BB_091,BB_139,3,38.31522,-123.06908
2,4,4L,G1,BB_005,BB_166,,38.31514,-123.06908
2,4,4R,G1,BB_169,BB_181,5,38.31514,-123.06908
2,5,5L,G2,BB_213,BB_132,3,38.31514,-123.06908
2,5,5R,G1,BB_173,BB_044,2,38.31514,-123.06908
2,6,6L,G1,BB_142,BB_150,5,38.31514,-123.06908
2,6,6R,G2,BB_174,BB_002,3,38.31514,-123.06908
3,7,7L,G2,BB_162,BB_154,,38.31512,-123.06909
3,7,7R,G2,BB_066,BB_052,4,38.31512,-123.06909
3,8,8L,G1,BB_023,BB_206,3,38.31512,-123.06909
3,8,8R,G1,BB_174,BB_068,4,38.31512,-123.06909
3,9,9L,G2,BB_213,BB_147,5,38.31512,-123.06909
3,9,9R,G1,BB_026,BB_053,5,38.31512,-123.06909
4,10,10L,G2,BB_108,BB_069,5,38.31509,-123.06911
4,10,10R,G1,BB_142,BB_086,1,38.31509,-123.06911
4,11,11L,G2,BB_217,BB_054,,38.31509,-123.06911
4,11,11R,G1,BB_011,BB_215,5,38.31509,-123.06911
4,12,12L,G1,BB_125,BB_051,5,38.31509,-123.06911
4,12,12R,G2,BB_177,BB_134,1,38.31509,-123.06911
5,13,13L,G1,BB_215,BB_148,3,38.31506,-123.06911
5,13,13R,G1,BB_215,BB_004,4,38.31506,-123.06911
5,14,14L,G2,BB_051,BB_143,1,38.31506,-123.06911
5,14,14R,G2,BB_194,BB_159,5,38.31506,-123.06911
5,15,15L,G1,BB_176,BB_017,1,38.31506,-123.06911
5,15,15R,G1,BB_196,BB_088,3,38.31506,-123.06911
6,16,16L,G1,BB_065,BB_013,4,38.31504,-123.06917
6,16,16R,G1,BB_107,BB_179,1,38.31504,-123.06917
6,17,17L,G1,BB_005,BB_166,2,38.31504,-123.06917
6,17,17R,G1,BB_215,BB_210,,38.31504,-123.06917
6,18,18L,G1,BB_169,BB_076,1,38.31504,-123.06917
6,18,18R,G2,BB_217,BB_205A,4,38.31504,-123.06917
7,19,19L,G1,BB_202,BB_025,1,38.31505,-123.06921
7,19,19R,G2,BB_130,BB_120,,38.31505,-123.06921
7,20,20L,G1,BB_142,BB_086,2,38.31505,-123.06921
7,20,20R,G1,BB_073,BB_092,4,38.31505,-123.06921
7,21,21L,G2,BB_065,BB_133,,38.31505,-123.06921
7,21,21R,G1,BB_162,BB_154,,38.31505,-123.06921
8,22,22L,G2,BB_051,BB_105,,38.31505,-123.06922
8,22,22R,G1,BB_014,BB_152,5,38.31505,-123.06922
8,23,23L,G1,BB_115,BB_020,4,38.31505,-123.06922
8,23,23R,G2,BB_011,BB_116,1,38.31505,-123.06922
8,24,24L,G2,BB_066,BB_019,2,38.31505,-123.06922
8,24,24R,G1,BB_005,BB_195,2,38.31505,-123.06922
9,25,25L,G1,BB_023,BB_190,3,38.31496,-123.06918
9,25,25R,G1,BB_141,BB_029,4,38.31496,-123.06918
9,26,26L,G1,BB_174,BB_010,1,38.31496,-123.06918
9,26,26R,G1,BB_169,BB_181,1,38.31496,-123.06918
9,27,27L,G2,BB_213,BB_132,2,38.31496,-123.06918
9,27,27R,G1,BB_115,BB_020,1,38.31496,-123.06918
10,28,28L,G2,BB_038,BB_149,2,38.31495,-123.06921
10,28,28R,G2,BB_141,BB_029,1,38.31495,-123.06921
10,29,29L,G1,BB_141,BB_029,5,38.31495,-123.06921
10,29,29R,G1,BB_100,BB_135,1,38.31495,-123.06921
10,30,30L,G2,BB_171,BB_039,4,38.31495,-123.06921
10,30,30R,G1,BB_091,BB_094,4,38.31495,-123.06921
11,31,31L,G1,BB_194,BB_159,3,38.31494,-123.06924
11,31,31R,G1,BB_015,BB_063,3,38.31494,-123.06924
11,32,32L,G1,BB_065,BB_192,5,38.31494,-123.06924
11,32,32R,G1,BB_215,BB_004,5,38.31494,-123.06924
11,33,33L,G1,BB_196,BB_088,2,38.31494,-123.06924
11,33,33R,G1,BB_198,BB_045,1,38.31494,-123.06924
