Sequence,Transect,Segment,position,Gen,Recipient,Fit_plant
1,1,1,L,G1,BO_104,
1,1,1,R,G2,BO_061,
2,1,2,L,G2,BO_089,
2,1,2,R,G1,BO_024,
3,1,3,L,G1,BO_153,
3,1,3,R,G2,BO_177,
4,1,4,L,G1,BO_182,
4,1,4,R,G1,BO_029,
5,1,5,L,G2,BO_200,
5,1,5,R,G2,BO_151,
6,1,6,L,G1,BO_161,
6,1,6,R,G2,BO_071,
7,1,7,L,G1,BO_115,
7,1,7,R,G2,BO_108,
8,1,8,L,G1,BO_175,
8,1,8,R,G1,BO_157,
9,1,9,L,G1,BO_200,
9,1,9,R,G1,BO_056,
10,1,10,L,G1,BO_085,
10,1,10,R,G2,BO_078,
11,1,11,L,G2,BO_080,
11,1,11,R,G1,BO_099,
12,1,12,L,G2,BO_126,
12,1,12,R,G1,BO_034,
13,1,13,L,G1,BO_139,
13,1,13,R,G2,BO_045,
14,1,14,L,G1,BO_087,4
14,1,14,R,G2,BO_056,
15,1,15,L,G2,BO_031,
15,1,15,R,G1,BO_177,2
16,1,16,L,G2,BO_071,
16,1,16,R,G2,BO_051,
17,1,17,L,G1,BO_189,4
17,1,17,R,G1,BO_043,
18,1,18,L,G1,BO_117,
18,1,18,R,G1,BO_142,3
19,1,19,L,G1,BO_141,
19,1,19,R,G1,BO_055,4
20,1,20,L,G1,BO_086,
20,1,20,R,G2,BO_124,2
21,1,21,L,G2,BO_091,1
21,1,21,R,G1,BO_178,
22,1,22,L,G1,BO_195,
22,1,22,R,G1,BO_190,5
23,1,23,L,G1,BO_046,
23,1,23,R,G2,BO_017,
24,1,24,L,G1,BO_099,1
24,1,24,R,G2,BO_098,
25,1,25,L,G1,BO_055,5
25,1,25,R,G1,BO_139,
26,1,26,L,G2,BO_155,
26,1,26,R,G1,BO_037,2
27,1,27,L,G2,BO_127,
27,1,27,R,G1,BO_139,4
28,1,28,L,G1,BO_144,1
28,1,28,R,G2,BO_124,5
29,1,29,L,G2,BO_174,
29,1,29,R,G2,BO_069,
30,1,30,L,G1,BO_089,1
30,1,30,R,G1,BO_028,
31,1,31,L,G2,BO_095,
31,1,31,R,G1,BO_120,
32,1,32,L,G1,BO_153,
32,1,32,R,G2,BO_099,
33,1,33,L,G1,BO_151,3
33,1,33,R,G1,BO_189,
34,1,34,L,G1,BO_001,
34,1,34,R,G2,BO_132,
35,1,35,L,G1,BO_060,1
35,1,35,R,G1,BO_045,
36,1,36,L,G1,BO_051,
36,1,36,R,G1,BO_141,
37,1,37,L,G1,BO_125,5
37,1,37,R,G1,BO_047,
38,1,38,L,G1,BO_100,
38,1,38,R,G2,BO_127,
39,1,39,L,G1,BO_147,
39,1,39,R,G1,BO_140,5
40,1,40,L,G1,BO_145,
40,1,40,R,G1,BO_069,
41,2,1,L,G1,BO_175,1
41,2,1,R,G1,BO_166,
