Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
1,1,1L,G1,BO_106,BO_104,
1,1,1R,G2,BO_029,BO_061,
2,1,2L,G2,BO_162,BO_089,
2,1,2R,G1,BO_101,BO_024,
3,1,3L,G1,BO_185,BO_153,
3,1,3R,G2,BO_153,BO_177,
4,1,4L,G1,BO_101,BO_182,
4,1,4R,G1,BO_040,BO_029,
5,1,5L,G2,BO_039,BO_200,
5,1,5R,G2,BO_001,BO_151,
6,1,6L,G1,BO_130,BO_161,
6,1,6R,G2,BO_185,BO_071,
7,1,7L,G1,BO_065,BO_115,
7,1,7R,G2,BO_162,BO_108,
8,1,8L,G1,BO_168,BO_175,
8,1,8R,G1,BO_153,BO_157,
9,1,9L,G1,BO_039,BO_200,
9,1,9R,G1,BO_151,BO_056,
10,1,10L,G1,BO_185,BO_085,
10,1,10R,G2,BO_065,BO_078,
11,1,11L,G2,BO_101,BO_080,
11,1,11R,G1,BO_033,BO_099,
12,1,12L,G2,BO_189,BO_126,
12,1,12R,G1,BO_163,BO_034,
13,1,13L,G1,BO_177,BO_139,
13,1,13R,G2,BO_170,BO_045,
14,1,14L,G1,BO_039,BO_087,4
14,1,14R,G2,BO_151,BO_056,
15,1,15L,G2,BO_187,BO_031,
15,1,15R,G1,BO_153,BO_177,2
16,1,16L,G2,BO_185,BO_071,
16,1,16R,G2,BO_119,BO_051,
17,1,17L,G1,BO_201,BO_189,4
17,1,17R,G1,BO_069,BO_043,
18,1,18L,G1,BO_073,BO_117,
18,1,18R,G1,BO_189,BO_142,3
19,1,19L,G1,BO_013,BO_141,
19,1,19R,G1,BO_170,BO_055,4
20,1,20L,G1,BO_189,BO_086,
20,1,20R,G2,BO_033,BO_124,2
21,1,21L,G2,BO_173,BO_091,1
21,1,21R,G1,BO_096,BO_178,
22,1,22L,G1,BO_143,BO_195,
22,1,22R,G1,BO_029,BO_190,5
23,1,23L,G1,BO_070,BO_046,
23,1,23R,G2,BO_119,BO_017,
24,1,24L,G1,BO_033,BO_099,1
24,1,24R,G2,BO_194,BO_098,
25,1,25L,G1,BO_170,BO_055,5
25,1,25R,G1,BO_177,BO_139,
26,1,26L,G2,BO_168,BO_155,
26,1,26R,G1,BO_194,BO_037,2
27,1,27L,G2,BO_192,BO_127,
27,1,27R,G1,BO_177,BO_139,4
28,1,28L,G1,BO_163,BO_144,1
28,1,28R,G2,BO_033,BO_124,5
29,1,29L,G2,BO_130,BO_174,
29,1,29R,G2,BO_199,BO_069,
30,1,30L,G1,BO_162,BO_089,1
30,1,30R,G1,BO_109,BO_028,
31,1,31L,G2,BO_109,BO_095,
31,1,31R,G1,BO_130,BO_120,
32,1,32L,G1,BO_185,BO_153,
32,1,32R,G2,BO_033,BO_099,
33,1,33L,G1,BO_001,BO_151,3
33,1,33R,G1,BO_201,BO_189,
34,1,34L,G1,BO_109,BO_001,
34,1,34R,G2,BO_032,BO_132,
35,1,35L,G1,BO_128,BO_060,1
35,1,35R,G1,BO_170,BO_045,
36,1,36L,G1,BO_119,BO_051,
36,1,36R,G1,BO_013,BO_141,
37,1,37L,G1,BO_194,BO_125,5
37,1,37R,G1,BO_074,BO_047,
38,1,38L,G1,BO_198,BO_100,
38,1,38R,G2,BO_192,BO_127,
39,1,39L,G1,BO_177,BO_147,
39,1,39R,G1,BO_088,BO_140,5
40,1,40L,G1,BO_069,BO_145,
40,1,40R,G1,BO_199,BO_069,
41,2,1L,G1,BO_168,BO_175,1
41,2,1R,G1,BO_192,BO_166,
42,2,2L,G1,BO_070,BO_066,
42,2,2R,G1,BO_151,BO_148,
43,2,3L,G1,BO_201,BO_189,
43,2,3R,G1,BO_001,BO_151,
