Sequence,Transect,Segment,position,Gen,Recipient,Fit_plant
1,1,1,L,G2,HR_027,4
1,1,1,R,G1,HR_010,3
2,1,2,L,G1,HR_051,5
2,1,2,R,G2,HR_044,2
3,1,3,L,G2,HR_178,4
3,1,3,R,G2,HR_108,1
4,1,4,L,G1,HR_036,4
4,1,4,R,G2,HR_121,3
5,1,5,L,G1,HR_162,2
5,1,5,R,G1,HR_134,4
6,1,6,L,G2,HR_041,1
6,1,6,R,G2,HR_124,3
7,1,7,L,G1,HR_162,5
7,1,7,R,G1,HR_179,3
8,1,8,L,G1,HR_196,3
8,1,8,R,G1,HR_005,1
9,1,9,L,G1,HR_095,4
9,1,9,R,G2,HR_196,1
10,1,10,L,G1,HR_019,5
10,1,10,R,G2,HR_111,4
11,1,11,L,G1,HR_047,2
11,1,11,R,G1,HR_095,1
12,1,12,L,G1,HR_111,4
12,1,12,R,G1,HR_042,2
13,1,13,L,G2,HR_086,4
13,1,13,R,G2,HR_111,1
14,1,14,L,G2,HR_174,1
14,1,14,R,G1,HR_105,1
15,1,15,L,G2,HR_044,3
15,1,15,R,G2,HR_107,2
16,1,16,L,G1,HR_104,1
16,1,16,R,G2,HR_012,4
17,1,17,L,G2,HR_156,3
17,1,17,R,G2,HR_050,2
18,1,18,L,G1,HR_071,5
18,1,18,R,G1,HR_137,4
19,1,19,L,G2,HR_110,5
19,1,19,R,G1,HR_087,1
20,1,20,L,G1,HR_047,1
20,1,20,R,G2,HR_070,3
21,1,21,L,G1,HR_177,2
21,1,21,R,G2,HR_061,3
22,1,22,L,G1,HR_047,3
22,1,22,R,G1,HR_058,4
23,1,23,L,G2,HR_169,5
23,1,23,R,G2,HR_032,5
24,1,24,L,G2,HR_080,
24,1,24,R,G2,HR_121,2
25,1,25,L,G2,HR_118,5
25,1,25,R,G2,HR_020,5
26,1,26,L,G1,HR_135,4
26,1,26,R,G2,HR_062,2
27,1,27,L,G1,HR_111,5
27,1,27,R,G1,HR_070,2
28,1,28,L,G1,HR_183,3
28,1,28,R,G2,HR_028,4
29,1,29,L,G1,HR_136,1
29,1,29,R,G1,HR_131,1
30,1,30,L,G1,HR_119,3
30,1,30,R,G2,HR_072,1
31,1,31,L,G2,HR_044,4
31,1,31,R,G2,HR_166,1
32,1,32,L,G1,HR_158,1
32,1,32,R,G1,HR_111,5
33,1,33,L,G2,HR_179,4
33,1,33,R,G1,HR_178,1
34,1,34,L,G2,HR_137,4
34,1,34,R,G1,HR_068,5
35,1,35,L,G2,HR_005,5
35,1,35,R,G2,HR_127,3
36,1,36,L,G2,HR_038,5
36,1,36,R,G2,HR_005,3
37,1,37,L,G2,HR_109,4
37,1,37,R,G1,HR_147,2
38,1,38,L,G1,HR_197,3
38,1,38,R,G2,HR_168,1
39,1,39,L,G1,HR_156,2
