Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
1,1,1L,G2,HR_175,HR_027,4
1,1,1R,G1,HR_200,HR_010,3
2,1,2L,G1,HR_189,HR_051,5
2,1,2R,G2,HR_141,HR_044,2
3,1,3L,G2,HR_095,HR_178,4
3,1,3R,G2,HR_069,HR_108,1
4,1,4L,G1,HR_180,HR_036,4
4,1,4R,G2,HR_155,HR_121,3
5,1,5L,G1,HR_006,HR_162,2
5,1,5R,G1,HR_062,HR_134,4
6,1,6L,G2,HR_164,HR_041,1
6,1,6R,G2,HR_095,HR_124,3
7,1,7L,G1,HR_006,HR_162,5
7,1,7R,G1,HR_180,HR_179,3
8,1,8L,G1,HR_175,HR_196,3
8,1,8R,G1,HR_164,HR_005,1
9,1,9L,G1,HR_157,HR_095,4
9,1,9R,G2,HR_175,HR_196,1
10,1,10L,G1,HR_064,HR_019,5
10,1,10R,G2,HR_115,HR_111,4
11,1,11L,G1,HR_155,HR_047,2
11,1,11R,G1,HR_157,HR_095,1
12,1,12L,G1,HR_115,HR_111,4
12,1,12R,G1,HR_008,HR_042,2
13,1,13L,G2,HR_125,HR_086,4
13,1,13R,G2,HR_115,HR_111,1
14,1,14L,G2,HR_149,HR_174,1
14,1,14R,G1,HR_121,HR_105,
15,1,15L,G2,HR_141,HR_044,3
15,1,15R,G2,HR_085,HR_107,2
16,1,16L,G1,HR_195,HR_104,1
16,1,16R,G2,HR_008,HR_012,4
17,1,17L,G2,HR_069,HR_156,3
17,1,17R,G2,HR_148,HR_050,2
18,1,18L,G1,HR_002,HR_071,5
18,1,18R,G1,HR_066,HR_137,4
19,1,19L,G2,HR_057,HR_110,5
19,1,19R,G1,HR_066,HR_087,1
20,1,20L,G1,HR_155,HR_047,1
20,1,20R,G2,HR_074,HR_070,3
21,1,21L,G1,HR_108,HR_177,2
21,1,21R,G2,HR_070,HR_061,3
22,1,22L,G1,HR_155,HR_047,3
22,1,22R,G1,HR_008,HR_058,4
23,1,23L,G2,HR_053,HR_169,5
23,1,23R,G2,HR_110,HR_032,5
24,1,24L,G2,HR_034,HR_080,
24,1,24R,G2,HR_155,HR_121,2
25,1,25L,G2,HR_147,HR_118,5
25,1,25R,G2,HR_095,HR_020,5
26,1,26L,G1,HR_100,HR_135,4
26,1,26R,G2,HR_139,HR_062,2
27,1,27L,G1,HR_115,HR_111,5
27,1,27R,G1,HR_074,HR_070,2
28,1,28L,G1,HR_196,HR_183,3
28,1,28R,G2,HR_064,HR_028,4
29,1,29L,G1,HR_062,HR_136,1
29,1,29R,G1,HR_115,HR_131,1
30,1,30L,G1,HR_027,HR_119,3
30,1,30R,G2,HR_133,HR_072,1
31,1,31L,G2,HR_141,HR_044,4
31,1,31R,G2,HR_059,HR_166,1
32,1,32L,G1,HR_133,HR_158,1
32,1,32R,G1,HR_115,HR_111,5
33,1,33L,G2,HR_180,HR_179,4
33,1,33R,G1,HR_095,HR_178,1
34,1,34L,G2,HR_066,HR_137,4
34,1,34R,G1,HR_195,HR_068,5
35,1,35L,G2,HR_164,HR_005,5
35,1,35R,G2,HR_139,HR_127,3
36,1,36L,G2,HR_053,HR_038,5
36,1,36R,G2,HR_164,HR_005,3
37,1,37L,G2,HR_148,HR_109,4
37,1,37R,G1,HR_057,HR_147,2
38,1,38L,G1,HR_156,HR_197,3
38,1,38R,G2,HR_189,HR_168,1
39,1,39L,G1,HR_069,HR_156,2
39,1,39R,G1,HR_133,HR_158,5
40,1,40L,G1,HR_149,HR_065,3
40,1,40R,G1,HR_074,HR_115,3
41,1,41L,G1,HR_074,HR_070,
41,1,41R,G1,HR_160,HR_033,2
42,1,42L,G2,HR_141,HR_184,4
42,1,42R,G1,HR_100,HR_135,4
43,1,43L,G1,HR_095,HR_178,4
43,1,43R,G1,HR_062,HR_116,4
44,1,44L,G2,HR_168,HR_101,3
44,1,44R,G1,HR_189,HR_018,5
45,1,45L,G2,HR_110,HR_037,2
45,1,45R,G1,HR_002,HR_071,4
46,2,1L,G1,HR_002,HR_059,3
46,2,1R,G2,HR_121,HR_139,5
47,2,2L,G1,HR_148,HR_114,5
47,2,2R,G2,HR_090,HR_053,3
48,2,3L,G2,HR_006,HR_146,1
48,2,3R,G1,HR_088,HR_182,1
49,2,4L,G1,HR_069,HR_156,2
49,2,4R,G2,HR_115,HR_026,3
50,2,5L,G2,HR_135,HR_152,2
50,2,5R,G1,HR_155,HR_009,3
51,2,6L,G2,HR_008,HR_058,5
51,2,6R,G2,HR_180,HR_036,4
52,2,7L,G1,HR_027,HR_145,1
52,2,7R,G2,HR_090,HR_126,4
53,2,8L,G2,HR_131,HR_049,2
53,2,8R,G1,HR_059,HR_155,3
54,2,9L,G1,HR_053,HR_169,4
54,2,9R,G2,HR_180,HR_179,3
55,2,10L,G1,HR_149,HR_007,3
55,2,10R,G1,HR_200,HR_153,2
56,2,11L,G2,HR_149,HR_007,5
56,2,11R,G1,HR_180,HR_036,5
57,2,12L,G1,HR_171,HR_001,3
57,2,12R,G1,HR_189,HR_168,1
58,2,13L,G2,HR_125,HR_034,1
58,2,13R,G2,HR_157,HR_088,3
59,2,14L,G1,HR_069,HR_108,5
59,2,14R,G1,HR_085,HR_035,4
60,2,15L,G1,HR_121,HR_105,2
60,2,15R,G2,HR_195,HR_104,2
61,2,16L,G1,HR_115,HR_026,1
61,2,16R,G2,HR_064,HR_019,3
62,2,17L,G2,HR_064,HR_028,2
62,2,17R,G2,HR_189,HR_168,4
63,2,18L,G1,HR_090,HR_103,5
63,2,18R,G2,HR_195,HR_068,4
64,2,19L,G1,HR_147,HR_021,3
64,2,19R,G1,HR_100,HR_195,4
65,2,20L,G1,HR_108,HR_175,4
65,2,20R,G2,HR_088,HR_067,3
66,2,21L,G2,HR_027,HR_145,2
66,2,21R,G2,HR_005,HR_040,3
67,2,22L,G2,HR_195,HR_068,4
67,2,22R,G1,HR_200,HR_153,5
68,2,23L,G1,HR_141,HR_044,5
68,2,23R,G2,HR_005,HR_149,1
69,2,24L,G1,HR_200,HR_010,3
69,2,24R,G2,HR_141,HR_015,1
70,2,25L,G2,HR_149,HR_065,4
70,2,25R,G1,HR_149,HR_174,5
71,2,26L,G1,HR_149,HR_065,2
71,2,26R,G1,HR_108,HR_175,1
72,2,27L,G2,HR_180,HR_036,4
72,2,27R,G1,HR_110,HR_037,3
73,2,28L,G1,HR_053,HR_169,1
73,2,28R,G2,HR_088,HR_182,1
74,2,29L,G2,HR_196,HR_054,5
74,2,29R,G1,HR_100,HR_195,5
75,2,30L,G1,HR_034,HR_017,4
75,2,30R,G2,HR_171,HR_073,4
76,2,31L,G1,HR_085,HR_107,5
76,2,31R,G1,HR_027,HR_145,2
77,2,32L,G2,HR_088,HR_182,1
77,2,32R,G1,HR_006,HR_146,1
78,2,33L,G2,HR_160,HR_033,2
78,2,33R,G1,HR_171,HR_073,2
79,2,34L,G1,HR_002,HR_071,1
79,2,34R,G1,HR_027,HR_043,3
80,2,35L,G2,HR_070,HR_165,2
80,2,35R,G2,HR_139,HR_062,2
81,2,36L,G2,HR_085,HR_176,5
81,2,36R,G1,HR_053,HR_092,1
82,2,37L,G1,HR_156,HR_193,2
82,2,37R,G2,HR_100,HR_195,4
83,2,38L,G1,HR_059,HR_166,2
83,2,38R,G2,HR_160,HR_173,1
84,2,39L,G1,HR_135,HR_152,4
84,2,39R,G2,HR_006,HR_142,5
85,2,40L,G1,HR_074,HR_115,4
85,2,40R,G2,HR_008,HR_058,2
86,2,41L,G2,HR_180,HR_023,4
86,2,41R,G2,HR_100,HR_192,5
87,2,42L,G2,HR_088,HR_067,4
87,2,42R,G1,HR_069,HR_133,4
88,2,43L,G1,HR_088,HR_067,5
88,2,43R,G1,HR_053,HR_038,4
89,2,44L,G1,HR_168,HR_101,1
89,2,44R,G1,HR_160,HR_079,2
90,2,45L,G2,HR_108,HR_175,1
90,2,45R,G1,HR_155,HR_121,3
91,3,1L,G1,HR_157,HR_088,1
91,3,1R,G2,HR_008,HR_012,1
92,3,2L,G1,HR_156,HR_193,1
92,3,2R,G1,HR_059,HR_011,1
93,3,3L,G1,HR_034,HR_112,2
93,3,3R,G1,HR_002,HR_056,1
94,3,4L,G2,HR_189,HR_018,2
94,3,4R,G2,HR_095,HR_020,3
95,3,5L,G2,HR_005,HR_149,4
95,3,5R,G1,HR_147,HR_150,3
96,3,6L,G2,HR_062,HR_134,2
96,3,6R,G2,HR_070,HR_165,5
97,3,7L,G2,HR_115,HR_026,1
97,3,7R,G2,HR_139,HR_127,
98,3,8L,G1,HR_088,HR_067,5
98,3,8R,G1,HR_088,HR_067,5
99,3,9L,G2,HR_156,HR_193,4
99,3,9R,G1,HR_070,HR_123,4
100,3,10L,G2,HR_057,HR_006,5
100,3,10R,G2,HR_074,HR_066,3
101,3,11L,G2,HR_131,HR_046,4
101,3,11R,G2,HR_175,HR_164,3
102,3,12L,G1,HR_196,HR_170,5
102,3,12R,G2,HR_133,HR_158,2
103,3,13L,G2,HR_156,HR_193,5
103,3,13R,G2,HR_069,HR_156,5
104,3,14L,G1,HR_131,HR_049,1
104,3,14R,G2,HR_149,HR_065,5
105,3,15L,G1,HR_125,HR_086,
105,3,15R,G2,HR_027,HR_145,4
106,3,16L,G1,HR_034,HR_017,3
106,3,16R,G1,HR_085,HR_176,1
107,3,17L,G1,HR_175,HR_164,5
107,3,17R,G1,HR_164,HR_041,1
108,3,18L,G2,HR_195,HR_104,1
108,3,18R,G2,HR_200,HR_153,2
109,3,19L,G2,HR_064,HR_190,3
109,3,19R,G2,HR_059,HR_155,4
110,3,20L,G2,HR_147,HR_021,2
