Sequence,Transect,Segment,position,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,Notes
1,1,1,L,G1,AC_057,1,,,,,,,,,,,
1,1,1,L,G1,AC_057,2,,,,,,,,,,,
1,1,1,L,G1,AC_057,3,,,,,,,,,,,
1,1,1,L,G1,AC_057,4,,,,,,,,,,,
1,1,1,L,G1,AC_057,5,,,,,,,,,,,
1,1,1,R,G2,AC_130,1,,,,,,,,,,,
1,1,1,R,G2,AC_130,2,,,,,,,,,,,
1,1,1,R,G2,AC_130,3,,,,,,,,,,,
1,1,1,R,G2,AC_130,4,,,,,,,,,,,
1,1,1,R,G2,AC_130,5,,,,,,,,,,,
2,1,2,L,G2,AC_215,1,,,,,,,,,,,
2,1,2,L,G2,AC_215,2,,,,,,,,,,,
2,1,2,L,G2,AC_215,3,,,,,,,,,,,
2,1,2,L,G2,AC_215,4,,,,,,,,,,,
2,1,2,L,G2,AC_215,5,,,,,,,,,,,
2,1,2,R,G2,AC_191,1,,,,,,,,,,,
2,1,2,R,G2,AC_191,2,,,,,,,,,,,
2,1,2,R,G2,AC_191,3,,,,,,,,,,,
2,1,2,R,G2,AC_191,4,,,,,,,,,,,
2,1,2,R,G2,AC_191,5,,,,,,,,,,,
3,1,3,L,G2,AC_189,1,,,,,,,,,,,
3,1,3,L,G2,AC_189,2,,,,,,,,,,,
3,1,3,L,G2,AC_189,3,,,,,,,,,,,
3,1,3,L,G2,AC_189,4,,,,,,,,,,,
3,1,3,L,G2,AC_189,5,,,,,,,,,,,
3,1,3,R,G1,AC_032,1,,,,,,,,,,,
3,1,3,R,G1,AC_032,2,,,,,,,,,,,
3,1,3,R,G1,AC_032,3,,,,,,,,,,,
3,1,3,R,G1,AC_032,4,,,,,,,,,,,
3,1,3,R,G1,AC_032,5,,,,,,,,,,,
4,1,4,L,G1,AC_072,1,,,,,,,,,,,
4,1,4,L,G1,AC_072,2,,,,,,,,,,,
4,1,4,L,G1,AC_072,3,,,,,,,,,,,
4,1,4,L,G1,AC_072,4,,,,,,,,,,,
4,1,4,L,G1,AC_072,5,,,,,,,,,,,
4,1,4,R,G2,AC_032,1,,,,,,,,,,,
4,1,4,R,G2,AC_032,2,,,,,,,,,,,
4,1,4,R,G2,AC_032,3,,,,,,,,,,,
4,1,4,R,G2,AC_032,4,,,,,,,,,,,
4,1,4,R,G2,AC_032,5,,,,,,,,,,,
5,1,5,L,G1,AC_204,1,,,,,,,,,,,
5,1,5,L,G1,AC_204,2,,,,,,,,,,,
5,1,5,L,G1,AC_204,3,,,,,,,,,,,
5,1,5,L,G1,AC_204,4,,,,,,,,,,,
5,1,5,L,G1,AC_204,5,,,,,,,,,,,
5,1,5,R,G1,AC_119,1,,,,,,,,,,,
5,1,5,R,G1,AC_119,2,,,,,,,,,,,
5,1,5,R,G1,AC_119,3,,,,,,,,,,,
5,1,5,R,G1,AC_119,4,,,,,,,,,,,
5,1,5,R,G1,AC_119,5,,,,,,,,,,,
6,1,6,L,G2,AC_094,1,,,,,,,,,,,
6,1,6,L,G2,AC_094,2,,,,,,,,,,,
6,1,6,L,G2,AC_094,3,,,,,,,,,,,
6,1,6,L,G2,AC_094,4,,,,,,,,,,,
6,1,6,L,G2,AC_094,5,,,,,,,,,,,
6,1,6,R,G1,AC_123,1,,,,,,,,,,,
6,1,6,R,G1,AC_123,2,,,,,,,,,,,
6,1,6,R,G1,AC_123,3,,,,,,,,,,,
6,1,6,R,G1,AC_123,4,,,,,,,,,,,
6,1,6,R,G1,AC_123,5,,,,,,,,,,,
7,1,7,L,G1,AC_030,1,,,,,,,,,,,
7,1,7,L,G1,AC_030,2,,,,,,,,,,,
7,1,7,L,G1,AC_030,3,,,,,,,,,,,
7,1,7,L,G1,AC_030,4,,,,,,,,,,,
7,1,7,L,G1,AC_030,5,,,,,,,,,,,
7,1,7,R,G2,AC_151,1,,,,,,,,,,,
7,1,7,R,G2,AC_151,2,,,,,,,,,,,
7,1,7,R,G2,AC_151,3,,,,,,,,,,,
7,1,7,R,G2,AC_151,4,,,,,,,,,,,
7,1,7,R,G2,AC_151,5,,,,,,,,,,,
8,1,8,L,G2,AC_147,1,,,,,,,,,,,
8,1,8,L,G2,AC_147,2,,,,,,,,,,,
