Sequence,Location,position,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,Notes
1,1,L,G1,BB_207,1,,,,,,,,,,,
1,1,L,G1,BB_207,2,,,,,,,,,,,
1,1,L,G1,BB_207,3,,,,,,,,,,,
1,1,L,G1,BB_207,4,,,,,,,,,,,
1,1,L,G1,BB_207,5,,,,,,,,,,,
1,1,R,G2,BB_046,1,,,,,,,,,,,
1,1,R,G2,BB_046,2,,,,,,,,,,,
1,1,R,G2,BB_046,3,,,,,,,,,,,
1,1,R,G2,BB_046,4,,,,,,,,,,,
1,1,R,G2,BB_046,5,,,,,,,,,,,
2,1,L,G1,BB_098,1,,,,,,,,,,,
2,1,L,G1,BB_098,2,,,,,,,,,,,
2,1,L,G1,BB_098,3,,,,,,,,,,,
2,1,L,G1,BB_098,4,,,,,,,,,,,
2,1,L,G1,BB_098,5,,,,,,,,,,,
2,1,R,G1,BB_157,1,,,,,,,,,,,
2,1,R,G1,BB_157,2,,,,,,,,,,,
2,1,R,G1,BB_157,3,,,,,,,,,,,
2,1,R,G1,BB_157,4,,,,,,,,,,,
2,1,R,G1,BB_157,5,,,,,,,,,,,
3,1,L,G2,BB_123,1,,,,,,,,,,,
3,1,L,G2,BB_123,2,,,,,,,,,,,
3,1,L,G2,BB_123,3,,,,,,,,,,,
3,1,L,G2,BB_123,4,,,,,,,,,,,
3,1,L,G2,BB_123,5,,,,,,,,,,,
3,1,R,G1,BB_139,1,,,,,,,,,,,
3,1,R,G1,BB_139,2,,,,,,,,,,,
3,1,R,G1,BB_139,3,,,,,,,,,,,
3,1,R,G1,BB_139,4,,,,,,,,,,,
3,1,R,G1,BB_139,5,,,,,,,,,,,
4,2,L,G1,BB_166,1,,,,,,,,,,,
4,2,L,G1,BB_166,2,,,,,,,,,,,
4,2,L,G1,BB_166,3,,,,,,,,,,,
4,2,L,G1,BB_166,4,,,,,,,,,,,
4,2,L,G1,BB_166,5,,,,,,,,,,,
4,2,R,G1,BB_181,1,,,,,,,,,,,
4,2,R,G1,BB_181,2,,,,,,,,,,,
4,2,R,G1,BB_181,3,,,,,,,,,,,
4,2,R,G1,BB_181,4,,,,,,,,,,,
4,2,R,G1,BB_181,5,,,,,,,,,,,
5,2,L,G2,BB_132,1,,,,,,,,,,,
5,2,L,G2,BB_132,2,,,,,,,,,,,
5,2,L,G2,BB_132,3,,,,,,,,,,,
5,2,L,G2,BB_132,4,,,,,,,,,,,
5,2,L,G2,BB_132,5,,,,,,,,,,,
5,2,R,G1,BB_044,1,,,,,,,,,,,
5,2,R,G1,BB_044,2,,,,,,,,,,,
5,2,R,G1,BB_044,3,,,,,,,,,,,
5,2,R,G1,BB_044,4,,,,,,,,,,,
5,2,R,G1,BB_044,5,,,,,,,,,,,
6,2,L,G1,BB_150,1,,,,,,,,,,,
6,2,L,G1,BB_150,2,,,,,,,,,,,
6,2,L,G1,BB_150,3,,,,,,,,,,,
6,2,L,G1,BB_150,4,,,,,,,,,,,
6,2,L,G1,BB_150,5,,,,,,,,,,,
6,2,R,G2,BB_002,1,,,,,,,,,,,
6,2,R,G2,BB_002,2,,,,,,,,,,,
6,2,R,G2,BB_002,3,,,,,,,,,,,
6,2,R,G2,BB_002,4,,,,,,,,,,,
6,2,R,G2,BB_002,5,,,,,,,,,,,
7,3,L,G2,BB_154,1,,,,,,,,,,,
7,3,L,G2,BB_154,2,,,,,,,,,,,
