Sequence,Transect,Segment,side,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,F_Num_01,17-May,F_Num_03,Skeleton,Notes
1,1,1,L,G1,BO_104,1,,,,,,,,,,,,,,,
1,1,1,L,G1,BO_104,2,,,,,,,,,,,,,,,
1,1,1,L,G1,BO_104,3,,,,,,,,,,,,,,,
1,1,1,L,G1,BO_104,4,,,,,,,,,,,,,,,
1,1,1,L,G1,BO_104,5,,,,,,,,,,,,,,,
1,1,1,R,G2,BO_061,1,,,,,,,,,,,,,,,
1,1,1,R,G2,BO_061,2,,,,,,,,,,,,,,,
1,1,1,R,G2,BO_061,3,,,,,,,,,,,,,,,
1,1,1,R,G2,BO_061,4,,,,,,,,,,,,,,,
1,1,1,R,G2,BO_061,5,,,,,,,,,,,,,,,
2,1,2,L,G2,BO_089,1,,,,,,,,,,,,,,,
2,1,2,L,G2,BO_089,2,,,,,,,,,,,,,,,
2,1,2,L,G2,BO_089,3,,,,,,,,,,,,,,,
2,1,2,L,G2,BO_089,4,,,,,,,,,,,,,,,
2,1,2,L,G2,BO_089,5,,,,,,,,,,,,,,,
2,1,2,R,G1,BO_024,1,,,,,,,,,,,,,,,
2,1,2,R,G1,BO_024,2,,,,,,,,,,,,,,,
2,1,2,R,G1,BO_024,3,,,,,,,,,,,,,,,
2,1,2,R,G1,BO_024,4,,,,,,,,,,,,,,,
2,1,2,R,G1,BO_024,5,,,,,,,,,,,,,,,
3,1,3,L,G1,BO_153,1,,,,,,,,,,,,,,,
3,1,3,L,G1,BO_153,2,,,,,,,,,,,,,,,
3,1,3,L,G1,BO_153,3,,,,,,,,,,,,,,,
3,1,3,L,G1,BO_153,4,,,,,,,,,,,,,,,
3,1,3,L,G1,BO_153,5,,,,,,,,,,,,,,,
3,1,3,R,G2,BO_177,1,,,,,,,,,,,,,,,
3,1,3,R,G2,BO_177,2,,,,,,,,,,,,,,,
3,1,3,R,G2,BO_177,3,,,,,,,,,,,,,,,
3,1,3,R,G2,BO_177,4,,,,,,,,,,,,,,,
3,1,3,R,G2,BO_177,5,,,,,,,,,,,,,,,
4,1,4,L,G1,BO_182,1,,,,,,,,,,,,,,,
4,1,4,L,G1,BO_182,2,,,,,,,,,,,,,,,
4,1,4,L,G1,BO_182,3,,,,,,,,,,,,,,,
4,1,4,L,G1,BO_182,4,,,,,,,,,,,,,,,
4,1,4,L,G1,BO_182,5,,,,,,,,,,,,,,,
4,1,4,R,G1,BO_029,1,,,,,,,,,,,,,,,
4,1,4,R,G1,BO_029,2,,,,,,,,,,,,,,,
4,1,4,R,G1,BO_029,3,,,,,,,,,,,,,,,
4,1,4,R,G1,BO_029,4,,,,,,,,,,,,,,,
4,1,4,R,G1,BO_029,5,,,,,,,,,,,,,,,
5,1,5,L,G2,BO_200,1,,,,,,,,,,,,,,,
5,1,5,L,G2,BO_200,2,,,,,,,,,,,,,,,
5,1,5,L,G2,BO_200,3,,,,,,,,,,,,,,,
5,1,5,L,G2,BO_200,4,,,,,,,,,,,,,,,
5,1,5,L,G2,BO_200,5,,,,,,,,,,,,,,,
5,1,5,R,G2,BO_151,1,,,,,,,,,,,,,,,
5,1,5,R,G2,BO_151,2,,,,,,,,,,,,,,,
5,1,5,R,G2,BO_151,3,,,,,,,,,,,,,,,
5,1,5,R,G2,BO_151,4,,,,,,,,,,,,,,,
5,1,5,R,G2,BO_151,5,,,,,,,,,,,,,,,
6,1,6,L,G1,BO_161,1,,,,,,,,,,,,,,,
6,1,6,L,G1,BO_161,2,,,,,,,,,,,,,,,
6,1,6,L,G1,BO_161,3,,,,,,,,,,,,,,,
6,1,6,L,G1,BO_161,4,,,,,,,,,,,,,,,
6,1,6,L,G1,BO_161,5,,,,,,,,,,,,,,,
6,1,6,R,G2,BO_071,1,,,,,,,,,,,,,,,
6,1,6,R,G2,BO_071,2,,,,,,,,,,,,,,,
6,1,6,R,G2,BO_071,3,,,,,,,,,,,,,,,
6,1,6,R,G2,BO_071,4,,,,,,,,,,,,,,,
6,1,6,R,G2,BO_071,5,,,,,,,,,,,,,,,
7,1,7,L,G1,BO_115,1,,,,,,,,,,,,,,,
7,1,7,L,G1,BO_115,2,,,,,,,,,,,,,,,
7,1,7,L,G1,BO_115,3,,,,,,,,,,,,,,,
7,1,7,L,G1,BO_115,4,,,,,,,,,,,,,,,
7,1,7,L,G1,BO_115,5,,,,,,,,,,,,,,,
7,1,7,R,G2,BO_108,1,,,,,,,,,,,,,,,
