Sequence,Transect,Segment,side,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
1,1,1,L,G2,HR_027,1,,,,,,,,,,,,,,,
1,1,1,L,G2,HR_027,2,,,4/5,4/20,05/04,,,,05/05,,,,,,
1,1,1,L,G2,HR_027,3,,,,4/20,,,,,,,,,,,
1,1,1,L,G2,HR_027,4,4,,4/5,4/20,,,,,,4/5,,,,6/1,
1,1,1,L,G2,HR_027,5,,,,,,,,,,,,,,,
1,1,1,R,G1,HR_010,1,,,,4/20,05/04,,,,,,,,,6/14,
1,1,1,R,G1,HR_010,2,,,4/5,4/20,05/04,,,,,,,,,,
1,1,1,R,G1,HR_010,3,3,,4/5,4/20,,,,,,4/5,,,,,
1,1,1,R,G1,HR_010,4,,,4/5,4/20,,,,,05/05,,,,,,
1,1,1,R,G1,HR_010,5,,,,4/20,,,,,,,,,,,
2,1,2,L,G1,HR_051,1,,,,4/20,05/04,,,,05/05,,,,,,
2,1,2,L,G1,HR_051,2,,,,4/20,05/04,,,,,,,,,,
2,1,2,L,G1,HR_051,3,,,4/5,4/20,,,,,,,,,,,
2,1,2,L,G1,HR_051,4,,,4/5,4/20,05/04,,,,,,,,,,
2,1,2,L,G1,HR_051,5,5,,4/5,4/20,,,,,,4/5,,,,6/1,
2,1,2,R,G2,HR_044,1,,,4/5,4/20,,,,,,,,,,,
2,1,2,R,G2,HR_044,2,2,,,,,,,,,,,,,5/16,
2,1,2,R,G2,HR_044,3,,,4/5,4/20,05/04,,,,,4/5,,,,,
2,1,2,R,G2,HR_044,4,,,4/5,4/20,05/04,,,,05/05,,,,,,
2,1,2,R,G2,HR_044,5,,,,,,,,,,,,,,,
3,1,3,L,G2,HR_178,1,,,,,,,,,,,,,,,
3,1,3,L,G2,HR_178,2,,,,4/20,05/04,,,,,,,,,,
3,1,3,L,G2,HR_178,3,,,,4/20,05/04,,,,05/05,,,,,,
3,1,3,L,G2,HR_178,4,4,,,4/20,,,,,,4/20,,,,6/1,
3,1,3,L,G2,HR_178,5,,,,4/20,05/04,,,,,,1,,,,
3,1,3,R,G2,HR_108,1,1,,,4/20,,,,,,4/20,,,,6/1,
3,1,3,R,G2,HR_108,2,,,,4/20,,,,,,,,,,,
3,1,3,R,G2,HR_108,3,,,,,,,,,,,,,,,
3,1,3,R,G2,HR_108,4,,,,4/20,,,,,05/05,,,,,,
3,1,3,R,G2,HR_108,5,,,4/5,4/20,,,,,,4/5,,,,,
4,1,4,L,G1,HR_036,1,,,,4/20,,,,,,,,,,,
4,1,4,L,G1,HR_036,2,,,,4/20,,,,,,,,,,,
4,1,4,L,G1,HR_036,3,,,,4/20,05/04,,,,05/05,,,,,,
4,1,4,L,G1,HR_036,4,4,,,4/20,05/04,,,,,4/20,,,,6/1,
4,1,4,L,G1,HR_036,5,,,,4/20,,,,,,,,,,,
4,1,4,R,G2,HR_121,1,,,,,,,,,,,,,,,
4,1,4,R,G2,HR_121,2,,,4/5,4/20,,,,,,,,,,,
4,1,4,R,G2,HR_121,3,3,,4/5,4/20,,,,,,4/5,,,,5/16,
4,1,4,R,G2,HR_121,4,,,4/5,4/20,,,,,,,,,,,
4,1,4,R,G2,HR_121,5,,,,4/20,,,,,,,,,,,
5,1,5,L,G1,HR_162,1,,,,,,,,,,,,,,,
5,1,5,L,G1,HR_162,2,2,,,4/20,,,,,,4/20,,,,6/1,
5,1,5,L,G1,HR_162,3,,,,,,,,,,,,,,,
5,1,5,L,G1,HR_162,4,,,,,,,,,,,,,,,
5,1,5,L,G1,HR_162,5,,,,4/20,05/04,,,,05/05,,,,,,
5,1,5,R,G1,HR_134,1,,,,4/20,,,,,05/05,,,,,,
5,1,5,R,G1,HR_134,2,,,,,,,,,,,,,,,
5,1,5,R,G1,HR_134,3,,,,4/20,,,,,,,,,,,
5,1,5,R,G1,HR_134,4,4,,,4/20,05/04,,,,,4/20,,,,6/1,
5,1,5,R,G1,HR_134,5,,,4/5,4/20,05/04,,,,,4/5,,,,,
6,1,6,L,G2,HR_041,1,1,,4/5,4/20,,,,,,4/5,,,,5/16,
6,1,6,L,G2,HR_041,2,,,,,,,,,,,,,,,
6,1,6,L,G2,HR_041,3,,,,,,,,,,,,,,,
6,1,6,L,G2,HR_041,4,,,4/5,4/20,,,,,,,,,,,
6,1,6,L,G2,HR_041,5,,,4/5,4/20,,,,,05/05,,,,,,
6,1,6,R,G2,HR_124,1,,,,,,,,,,,,,,,
6,1,6,R,G2,HR_124,2,,,,,,,,,,,,,,,
6,1,6,R,G2,HR_124,3,3,,4/5,4/20,,,,,,4/5,,,,6/1,
6,1,6,R,G2,HR_124,4,,,4/5,4/20,,,,,05/05,,,,,,
6,1,6,R,G2,HR_124,5,,,,,,,,,,,,,,,
7,1,7,L,G1,HR_162,1,,,,,,,,,,,,,,,
7,1,7,L,G1,HR_162,2,,,,,,,,,,,,,,6/1,
7,1,7,L,G1,HR_162,3,,,,,,,,,,,,,,,
