"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,The average of the weekly mean seed mass,Collection Date: 2023-05-12,,,,,Collection Date: 2023-05-26,,,,,Collection Date: 2023-06-08,,,,,Collection Date: 2023-06-22,,,,,Collection Date: NA,,,,
Sequence,Transect,Segment,Gen,Sym,Recipient,Fit_plant,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-12,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-26,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-08,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-22,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA
1,1,1L,G1,-,AC_057,2,2.216666667,,,,,,3,0,0,,,1,3,3,6.65,2.216666667,,,,,,,,,,
1,1,1R,G2,X,AC_130,2,1.888571429,,,,,,4,7,7,13.22,1.888571429,,,,,,,,,,,,,,,
2,1,2L,G2,X,AC_215,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
2,1,2R,G2,X,AC_191,5,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3L,G2,X,AC_189,5,0.77,,,,,,4,6,6,4.62,0.77,,,,,,,,,,,,,,,
3,1,3R,G1,-,AC_032,2,2.106666667,,,,,,4,8,8,17.36,2.17,4,12,12,24.52,2.043333333,,,,,,,,,,
4,1,4L,G1,-,AC_072,4,1.2,,,,,,7,0,0,,,2,1,1,1.2,1.2,,,,,,,,,,
4,1,4R,G2,X,AC_032,2,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
5,1,5L,G1,-,AC_204,5,1.049294872,,,,,,4,13,13,12.44,0.956923077,2,6,6,6.85,1.141666667,,,,,,,,,,
5,1,5R,G1,-,AC_119,3,1.732222222,,,,,,2,0,0,,,5,9,9,15.59,1.732222222,,,,,,,,,,
6,1,6L,G2,X,AC_094,3,0.929166667,,,,,,5,12,12,11.15,0.929166667,3,0,0,,,,,,,,,,,,
