Transect,Segment,Sequence,position,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,Date_1,N_closed_fruit_D1,N_open_fruit_D1,N_other_fruit_D1,N_total_seeds_D1,N_filled_seeds_D1,Date_2,N_closed_fruit_D2,N_open_fruit_D2,N_other_fruit_D2,N_total_seeds_D2,N_filled_seeds_D2,Date_3,N_closed_fruit_D3,N_open_fruit_D3,N_total_seeds_D3,N_filled_seeds_D3,Date_4,N_closed_fruit_D4,N_open_fruit_D4,N_other_fruit_D3,N_total_seeds_D4,N_filled_seeds_D4,Date_5,N_closed_fruit_D5,N_open_fruit_D5,N_other_fruit_D4,N_total_seeds_D5,N_filled_seeds_D5,notes
1,1,1,L,G1,-,AC_057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,R,G2,X,AC_130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,L,G2,X,AC_215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,R,G2,X,AC_191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,L,G2,X,AC_189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,R,G1,-,AC_032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,L,G1,-,AC_072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,R,G2,X,AC_032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,L,G1,-,AC_204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,R,G1,-,AC_119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,L,G2,X,AC_094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,R,G1,-,AC_123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,L,G1,-,AC_030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,R,G2,X,AC_151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
