Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
1,1,1L,G1,-,AC_057,2,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1R,G2,X,AC_130,2,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2L,G2,X,AC_215,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2R,G2,X,AC_191,5,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3L,G2,X,AC_189,5,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3R,G1,-,AC_032,2,,,,,,,,,,,,,,,,,,,,,,,,
4,1,4L,G1,-,AC_072,4,,,,,,,,,,,,,,,,,,,,,,,,
4,1,4R,G2,X,AC_032,2,,,,,,,,,,,,,,,,,,,,,,,,
5,1,5L,G1,-,AC_204,5,,,,,,,,,,,,,,,,,,,,,,,,
5,1,5R,G1,-,AC_119,3,,,,,,,,,,,,,,,,,,,,,,,,
6,1,6L,G2,X,AC_094,3,,,,,,,,,,,,,,,,,,,,,,,,
6,1,6R,G1,-,AC_123,2,,,,,,,,,,,,,,,,,,,,,,,,
7,1,7L,G1,-,AC_030,1,,,,,,,,,,,,,,,,,,,,,,,,
7,1,7R,G2,X,AC_151,1,,,,,,,,,,,,,,,,,,,,,,,,
8,1,8L,G2,X,AC_147,1,,,,,,,,,,,,,,,,,,,,,,,,
8,1,8R,G1,-,AC_147,2,,,,,,,,,,,,,,,,,,,,,,,,
9,1,9L,G1,-,AC_086,3,,,,,,,,,,,,,,,,,,,,,,,,
9,1,9R,G1,-,AC_089,3,,,,,,,,,,,,,,,,,,,,,,,,
10,1,10L,G2,X,AC_212,4,,,,,,,,,,,,,,,,,,,,,,,,
11,1,11L,G1,-,AC_179,3,,,,,,,,,,,,,,,,,,,,,,,,
11,1,11R,G2,X,AC_192,1,,,,,,,,,,,,,,,,,,,,,,,,
12,1,12L,G2,X,AC_107,2,,,,,,,,,,,,,,,,,,,,,,,,
12,1,12R,G2,X,AC_188,2,,,,,,,,,,,,,,,,,,,,,,,,
13,1,13L,G1,-,AC_068,3,,,,,,,,,,,,,,,,,,,,,,,,
13,1,13R,G2,X,AC_195,5,,,,,,,,,,,,,,,,,,,,,,,,
14,1,14R,G1,-,AC_034,1,,,,,,,,,,,,,,,,,,,,,,,,
15,1,15L,G2,X,AC_094,2,,,,,,,,,,,,,,,,,,,,,,,,
15,1,15R,G2,X,AC_107,4,,,,,,,,,,,,,,,,,,,,,,,,
16,1,16L,G2,X,AC_199,3,,,,,,,,,,,,,,,,,,,,,,,,
17,1,17R,G2,X,AC_066,2,,,,,,,,,,,,,,,,,,,,,,,,
18,1,18L,G1,-,AC_081,3,,,,,,,,,,,,,,,,,,,,,,,,
18,1,18R,G1,-,AC_153,1,,,,,,,,,,,,,,,,,,,,,,,,
19,1,19L,G2,X,AC_155,1,,,,,,,,,,,,,,,,,,,,,,,,
19,1,19R,G1,-,AC_119,3,,,,,,,,,,,,,,,,,,,,,,,,
