"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-05-12,,,,Collection Date: 2023-05-26,,,,Collection Date: 2023-06-08,,,,Collection Date: 2023-06-22,,,,Collection Date: N/A,,,,
Sequence,Transect,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,avg_seeds_per_fruit,est_fecundity,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_closed_fruit_D2,N_open_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_closed_fruit_D3,N_open_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_closed_fruit_D4,N_open_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_closed_fruit_D5,N_open_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
1,1,1L,G1,-,AC_057,2,4,0,3,3,4,0.75,3,,,,,3,,0,0,1,,3,3,,,,,,,,,
1,1,1R,G2,X,AC_130,2,4,0,7,14,4,1.75,7,,,,,4,,7,14,,,,,,,,,,,,,
2,1,2L,G2,X,AC_215,5,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
2,1,2R,G2,X,AC_191,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
3,1,3L,G2,X,AC_189,5,4,0,6,11,4,1.5,6,,,,,4,,6,11,,,,,,,,,,,,,
3,1,3R,G1,-,AC_032,2,8,1,20,35,9,2.5,22.5,,,,,4,1,8,17,4,,12,18,,,,,,,,,
4,1,4L,G1,-,AC_072,4,9,2,1,9,11,0.1111111111,1.222222222,,,,,7,,0,5,2,2,1,4,,,,,,,,,
4,1,4R,G2,X,AC_032,2,1,2,0,3,3,0,0,,,,,1,2,0,3,,,,,,,,,,,,,
5,1,5L,G1,-,AC_204,5,6,2,19,36,8,3.166666667,25.33333333,,,,,4,1,13,28,2,1,6,8,,,,,,,,,
5,1,5R,G1,-,AC_119,3,7,3,9,25,10,1.285714286,12.85714286,,,,,2,1,0,2,5,2,9,23,,,,,,,,,
