"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,TOTAL COUNTS (To be summed after all data entered),,,The average of the weekly mean seed mass,Collection Date: 2023-03-30,,,,,Collection Date: 2023-04-12,,,,,Collection Date: 2023-04-26,,,,,Collection Date: 2023-05-10,,,,,Collection Date: 2023-05-24,,,,,Collection Date: 2023-06-07,,,,,Collection Date: 2023-06-21,,,,,Collection Date: NA,,,,,Notes:
Location,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-03-30,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-04-12,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-04-26,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-10,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-24,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-07,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-21,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA,
1,3R,G1,-,BB_139,3,,,,8.542083333,,,,,,,,,,,,,,,,,,,,,1,4,4,22.03,5.5075,7,9,9,104.19,11.57666667,1,0,0,,,,,,,,
2,4R,G1,-,BB_181,5,,,,4.655833333,,,,,,2,0,0,,,,,,,,,,,,,2,16,12,55.87,4.655833333,,,,,,,,,,,,,,,,
2,5L,G2,X,BB_132,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5R,G1,-,BB_044,2,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6L,G1,-,BB_150,5,,,,2.743333333,,,,,,,,,,,,,,,,1,3,3,8.23,2.743333333,1,0,0,,,,,,,,,,,,,,,,,,
2,6R,G2,X,BB_002,3,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
3,7R,G2,X,BB_052,4,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,
3,8L,G1,-,BB_206,3,,,,3.0075,,,,,,,,,,,,,,,,1,4,4,12.03,3.0075,,,,,,,,,,,,,,,,,,,,,
3,8R,G1,-,BB_068,4,,,,3.715555556,,,,,,,,,,,,,,,,1,2,2,5.58,2.79,4,9,9,41.77,4.641111111,,,,,,,,,,,,,,,,
3,9L,G2,X,BB_147,5,,,,,,,,,,,,,,,1,0,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
3,9R,G1,-,BB_053,5,,,,7.11,,,,,,,,,,,1,0,0,,,2,4,4,28.44,7.11,,,,,,,,,,,,,,,,,,,,,
4,10L,G2,X,BB_069,5,,,,1.92375,,,,,,,,,,,1,0,0,,,1,2,2,4.09,2.045,1,4,4,7.21,1.8025,,,,,,,,,,,,,,,,
4,10R,G1,-,BB_086,1,,,,2.268,,,,,,,,,,,,,,,,,,,,,3,15,15,34.02,2.268,,,,,,,,,,,,,,,,
4,11R,G1,-,BB_215,5,,,,4.43,,,,,,,,,,,,,,,,,,,,,3,14,14,63.91,4.565,1,6,2,8.59,4.295,,,,,,,,,,,
4,12L,G1,-,BB_051,5,,,,3.45,,,,,,2,1,1,3.45,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12R,G2,X,BB_134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,
5,13L,G1,-,BB_148,3,,,,2.712088268,,,,,,,,,,,2,18,18,22.83,1.268333333,2,16,16,52.85,3.303125,5,38,30,93.27,3.109,4,19,19,60.19,3.167894737,,,,,,,,,,,
5,13R,G1,-,BB_004,4,,,,3.863571429,,,,,,,,,,,,,,,,,,,,,10,28,28,108.18,3.863571429,,,,,,,,,,,,,,,,
5,14L,G2,X,BB_143,1,,,,5.21,,,,,,,,,,,,,,,,,,,,,1,4,4,20.84,5.21,,,,,,,,,,,,,,,,
5,14R,G2,X,BB_159,5,,,,5.793,,,,,,,,,,,,,,,,,,,,,4,10,10,57.93,5.793,,,,,,,,,,,,,,,,
5,15L,G1,-,BB_017,1,,,,2.452708333,,,,,,,,,,,1,3,3,3.5,1.166666667,2,8,8,29.91,3.73875,,,,,,,,,,,,,,,,,,,,,
5,15R,G1,-,BB_088,3,,,,4.081041667,,,,,,,,,,,1,2,2,2.35,1.175,6,5,5,20.14,4.028,10,43,30,157.91,5.263666667,3,4,4,23.43,5.8575,,,,,,,,,,,
6,16L,G1,-,BB_013,4,,,,4.013571429,,,,,,,,,,,,,,,,1,0,0,,,1,3,3,13.62,4.54,2,7,7,24.41,3.487142857,,,,,,,,,,,
6,16R,G1,-,BB_179,1,,,,2.295583333,,,,,,,,,,,,,,,,,,,,,9,50,30,74.63,2.487666667,4,20,20,42.07,2.1035,,,,,,,,,,,
6,17L,G1,-,BB_166,2,,,,3.384291667,,,,,,,,,,,3,4,4,9.65,2.4125,2,2,2,5.99,2.995,11,34,30,122.24,4.074666667,1,2,2,8.11,4.055,,,,,,,,,,,
6,18L,G1,-,BB_076,1,,,,3.235470588,,,,,,2,6,6,12.15,2.025,,,,,,,,,,,3,17,17,59.83,3.519411765,1,5,5,20.81,4.162,,,,,,,,,,,
6,18R,G2,X,BB_205A,4,,,,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8.81,8.81,,,,,,,,,,,
7,19L,G1,-,BB_025,1,,,,4.532142857,,,,,,,,,,,,,,,,2,7,7,33.98,4.854285714,1,2,2,8.42,4.21,,,,,,,,,,,,,,,,
7,20L,G1,-,BB_086,2,,,,2.6985,,,,,,,,,,,1,0,0,,,1,6,6,15.39,2.565,9,54,30,84.96,2.832,,,,,,,,,,,,,,,,
7,20R,G1,-,BB_092,4,,,,5.245714286,,,,,,,,,,,,,,,,,,,,,3,7,7,36.72,5.245714286,,,,,,,,,,,,,,,,
8,22R,G1,-,BB_152,5,,,,5.665,,,,,,,,,,,,,,,,,,,,,3,10,10,56.65,5.665,,,,,,,,,,,,,,,,
8,23L,G1,-,BB_020,4,,,,1.785031746,,,,,,,,,,,,,,,,1,7,7,6.66,0.951428571,17,122,30,68.21,2.273666667,5,32,30,63.9,2.13,,,,,,,,,,,
8,23R,G2,X,BB_116,1,,,,4.481833333,,,,,,,,,,,,,,,,5,12,12,43.08,3.59,19,49,30,161.21,5.373666667,,,,,,,,,,,,,,,,
8,24L,G2,X,BB_019,2,,,,3.6315,,,,,,1,0,0,,,,,,,,,,,,,5,49,30,105.35,3.511666667,6,49,30,112.54,3.751333333,,,,,,,,,,,
8,24R,G1,-,BB_195,2,,,,8.176111111,,,,,,,,,,,,,,,,,,,,,8,9,9,79.4,8.822222222,1,1,1,7.53,7.53,9,0,0,,,,,,,,
9,25L,G1,-,BB_190,3,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25R,G1,-,BB_029,4,,,,2.240148148,,,,,,,,,,,3,15,15,21.58,1.438666667,1,9,9,21.94,2.437777778,8,39,30,85.32,2.844,,,,,,,,,,,,,,,,
9,26L,G1,-,BB_010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26R,G1,-,BB_181,1,,,,1.9425,,,,,,,,,,,,,,,,1,4,4,7.77,1.9425,,,,,,,,,,,,,,,,,,,,,
9,27L,G2,X,BB_132,2,,,,5.205277778,,,,,,,,,,,,,,,,1,9,9,36.78,4.086666667,1,12,12,46.55,3.879166667,1,2,2,15.3,7.65,,,,,,,,,,,
9,27R,G1,-,BB_020,1,,,,2.453582621,,,,,,,,,,,,,,,,1,8,8,33.74,4.2175,2,13,13,31.56,2.427692308,2,9,9,6.44,0.715555556,,,,,,,,,,,
10,28L,G2,X,BB_149,2,,,,4.700833333,,,,,,,,,,,,,,,,,,,,,4,14,14,49.49,3.535,15,58,30,176,5.866666667,,,,,,,,,,,
10,28R,G2,X,BB_029,1,,,,4.759666667,,,,,,,,,,,,,,,,,,,,,13,66,30,120.98,4.032666667,2,3,3,16.46,5.486666667,,,,,,,,,,,
10,29L,G1,-,BB_029,5,,,,3.051746881,,,,,,,,,,,1,1,1,1.9,1.9,2,11,11,35.07,3.188181818,5,17,17,69.14,4.067058824,,,,,,,,,,,,,,,,
10,29R,G1,-,BB_135,1,,,,3.356428571,,,,,,,,,,,,,,,,,,,,,4,28,28,93.98,3.356428571,,,,,,,,,,,,,,,,
10,30L,G2,X,BB_039,4,,,,5.110375,,,,,,,,,,,,,,,,2,8,8,33.51,4.18875,1,0,0,,,1,5,5,30.16,6.032,,,,,,,,,,,
10,30R,G1,-,BB_094,4,,,,6.290555556,,,,,,,,,,,,,,,,1,3,3,6.97,2.323333333,5,2,2,12.97,6.485,5,3,3,30.19,10.06333333,,,,,,,,,,,
11,31L,G1,-,BB_159,3,,,,15.095,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,30.19,15.095,5,0,0,,,,,,,,
11,31R,G1,-,BB_063,3,,,,1.915416667,,,,,,4,0,0,,,,,,,,1,16,16,48.76,3.0475,4,6,6,4.7,0.783333333,,,,,,,,,,,,,,,,4/12 very immature
11,32L,G1,-,BB_192,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,32R,G1,-,BB_004,5,,,,4.5058,,,,,,,,,,,,,,,,,,,,,11,25,25,109.54,4.3816,2,3,3,13.89,4.63,,,,,,,,,,,
11,33L,G1,-,BB_088,2,,,,4.702712121,,,,,,,,,,,,,,,,4,22,22,49.69,2.258636364,6,46,30,157.96,5.265333333,5,12,12,79.01,6.584166667,,,,,,,,,,,
11,33R,G1,-,BB_045,1,,,,3.592,,,,,,,,,,,,,,,,,,,,,4,33,30,107.76,3.592,,,,,,,,,,,,,,,,
12,34L,G2,X,BB_058,2,,,,2.340545455,,,,,,,,,,,,,,,,1,11,11,28.53,2.593636364,12,82,30,86.64,2.888,,,,,,2,13,13,20.02,1.54,,,,,,
12,34R,G1,-,BB_172,5,,,,5.407333333,,,,,,,,,,,,,,,,6,45,30,110.29,3.676333333,11,56,30,143.69,4.789666667,2,10,10,77.56,7.756,,,,,,,,,,,
12,35L,G1,-,BB_103,3,,,,4.074318182,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,11,40.96,3.723636364,1,6,6,26.55,4.425,,,,,,
12,35R,G1,-,BB_183,4,,,,3.498571429,,,,,,,,,,,,,,,,1,7,7,24.49,3.498571429,,,,,,,,,,,,,,,,,,,,,
12,36L,G2,X,BB_009,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,36R,G2,X,BB_148,5,,,,4.778,,,,,,,,,,,,,,,,,,,,,,,,,,7,43,30,143.34,4.778,,,,,,,,,,,
13,37L,G1,-,BB_032,2,,,,2.365777778,,,,,,,,,,,,,,,,1,3,3,7.51,2.503333333,9,42,30,88.27,2.942333333,3,6,6,9.91,1.651666667,,,,,,,,,,,
13,37R,G1,-,BB_024,1,,,,4.126777778,,,,,,,,,,,,,,,,1,5,5,16.98,3.396,9,33,30,124.91,4.163666667,12,49,30,144.62,4.820666667,,,,,,,,,,,
13,38L,G1,-,BB_089,1,,,,5.20125,,,,,,,,,,,,,,,,1,2,2,9.2,4.6,5,12,12,69.63,5.8025,,,,,,,,,,,,,,,,
13,38R,G1,-,BB_018,3,,,,3.707388889,,,,,,,,,,,,,,,,3,18,18,50.93,2.829444444,15,81,30,137.56,4.585333333,,,,,,,,,,,,,,,,
13,39L,G1,-,BB_102,4,,,,2.154666667,,,,,,2,0,0,,,2,0,0,,,,,,,,19,190,30,89.88,2.996,1,9,9,11.82,1.313333333,,,,,,,,,,,
13,39R,G1,-,BB_179,2,,,,4.813833333,,,,,,,,,,,,,,,,6,42,30,122.96,4.098666667,10,52,30,165.87,5.529,,,,,,,,,,,,,,,,
14,40L,G1,-,BB_048,2,,,,3.473488889,,,,,,,,,,,2,1,1,1.15,1.15,1,2,2,4.31,2.155,4,9,9,42.1,4.677777778,4,5,5,16.39,3.278,8,3,3,18.32,6.106666667,,,,,,
14,40R,G1,-,BB_078,2,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,41L,G2,X,BB_200,2,,,,5.672848485,,,,,,,,,,,,,,,,3,22,22,58.47,2.657727273,30,185,30,145.06,4.835333333,26,93,30,147.85,4.928333333,1,1,1,10.27,10.27,,,,,,
14,41R,G1,-,BB_207,1,,,,3.692037037,,,,,,,,,,,,,,,,2,9,9,35.74,3.971111111,1,4,3,6.9,2.3,2,2,2,9.61,4.805,,,,,,,,,,,
14,42L,G1,-,BB_121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,42R,G1,-,BB_009,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,43L,G1,-,BB_189,3,,,,3.613400794,,,,,,,,,,,,,,,,2,14,14,29.53,2.109285714,5,36,30,87.89,2.929666667,2,8,8,46.41,5.80125,,,,,,,,,,,
15,43R,G1,-,BB_101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,44L,G1,-,BB_154,4,,,,5.310777778,,,,,,,,,,,,,,,,3,7,7,25.2,3.6,4,15,15,67.46,4.497333333,1,2,2,15.67,7.835,,,,,,,,,,,
15,44R,G1,-,BB_200,1,,,,1.9390625,,,,,,,,,,,,,,,,1,4,4,5.34,1.335,5,16,16,40.69,2.543125,,,,,,,,,,,,,,,,
15,45L,G2,X,BB_157,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45R,G2,X,BB_103,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
16,46L,G1,-,BB_071,1,,,,2.195277778,,,,,,,,,,,2,7,7,10.47,1.495714286,1,8,8,23.54,2.9425,4,21,21,45.1,2.147619048,,,,,,,,,,,,,,,,
16,46R,G1,-,BB_117,3,,,,2.799205247,,,,,,,,,,,9,27,27,46.73,1.730740741,3,16,16,46.23,2.889375,8,20,20,75.55,3.7775,,,,,,,,,,,,,,,,
16,47L,G1,-,BB_093,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,47R,G1,-,BB_123,4,,,,2.618041667,,,,,,,,,,,3,2,2,1.52,0.76,,,,,,6,37,30,91.83,3.061,4,16,16,64.53,4.033125,,,,,,,,,,,
16,48L,G1,-,BB_119,5,,,,2.737053571,,,,,,,,,,,4,8,8,26.34,3.2925,1,4,4,5.33,1.3325,8,21,21,101.13,4.815714286,2,4,4,6.03,1.5075,,,,,,,,,,,
16,48R,G1,-,BB_064,5,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,1,0,0,,,,,,,,,,,,,
17,49L,G1,-,BB_205A,4,,,,1.994333333,,,,,,,,,,,3,36,30,32.86,1.095333333,1,10,10,21.32,2.132,5,47,30,82.67,2.755666667,,,,,,,,,,,,,,,,
17,49R,G2,X,BB_076,2,,,,5.972,,,,,,,,,,,,,,,,,,,,,4,5,5,29.86,5.972,,,,,,,,,,,,,,,,
17,50L,G1,-,BB_151,4,,,,0.51,,,,,,4,0,0,,,3,6,6,3.06,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,
17,50R,G2,X,BB_120,1,,,,4.276,,,,,,,,,,,1,0,0,,,1,0,0,,,1,5,5,21.38,4.276,,,,,,,,,,,,,,,,
17,51L,G1,-,BB_052,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,51R,G1,-,BB_159,2,,,,4.037396825,,,,,,,,,,,2,3,3,8.26,2.753333333,2,5,5,24.93,4.986,7,21,21,91.83,4.372857143,,,,,,,,,,,,,,,,
18,52L,G1,-,BB_171,3,,,,3.4,,,,,,,,,,,1,1,,,,,,,,,1,1,1,3.4,3.4,,,,,,,,,,,,,,,,
18,52R,G1,-,BB_031,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,53L,G1,-,BB_118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,53R,G2,X,BB_037,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,54L,G2,X,BB_145,4,,,,5.955,,,,,,,,,,,,,,,,1,0,0,,,1,4,4,23.82,5.955,,,,,,,,,,,,,,,,
18,54R,G1,-,BB_074,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,55L,G1,-,BB_097,3,,,,3.463333333,,,,,,,,,,,1,1,1,0.97,0.97,,,,,,1,3,3,17.87,5.956666667,,,,,,,,,,,,,,,,
19,55R,G2,X,BB_018,4,,,,3.973,,,,,,,,,,,,,,,,,,,,,37,101,30,138.18,4.606,1,3,3,10.02,3.34,,,,,,,,,,,
19,56L,G1,-,BB_079,3,,,,3.1375,,,,,,,,,,,,,,,,,,,,,1,2,2,7.1,3.55,1,4,4,10.9,2.725,,,,,,,,,,,
20,58L,G1,-,BB_104,3,,,,5.484,,,,,,,,,,,,,,,,,,,,,9,50,30,162.45,5.415,6,30,30,166.59,5.553,,,,,,,,,,,
20,58R,G1,-,BB_185,4,,,,3.014256823,,,,,,2,0,0,,,3,19,19,24.94,1.312631579,2,9,9,31.22,3.468888889,2,8,8,34.09,4.26125,,,,,,,,,,,,,,,,
20,59L,G2,X,BB_018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,59R,G1,-,BB_051,3,,,,4.053333333,,,,,,,,,,,,,,,,3,11,11,38.79,3.526363636,5,22,22,63.44,2.883636364,3,8,8,46,5.75,,,,,,,,,,,
20,60L,G2,X,BB_046,2,,,,3.594,,,,,,,,,,,,,,,,,,,,,4,5,5,17.97,3.594,,,,,,,,,,,,,,,,
20,60R,G1,-,BB_003,2,,,,5.2535,,,,,,,,,,,,,,,,,,,,,9,53,30,164.3,5.476666667,8,36,30,150.91,5.030333333,,,,,,,,,,,
21,61L,G2,X,BB_153,5,,,,7.21625,,,,,,,,,,,,,,,,,,,,,2,4,4,29.83,7.4575,2,4,4,27.9,6.975,,,,,,,,,,,
21,61R,G2,X,BB_114,1,,,,4.536814815,,,,,,,,,,,,,,,,,,,,,4,15,15,70.36,4.690666667,7,27,27,118.34,4.382962963,,,,,,,,,,,
21,62L,G1,-,BB_043,5,,,,2.258833333,,,,,,2,0,0,,,2,0,0,,,,,,,,46,337,30,63.34,2.111333333,9,31,30,72.19,2.406333333,,,,,,,,,,,"5/24 lost 1 seed, added to count"
21,62R,G2,X,BB_093,4,,,,3.921666667,,,,,,,,,,,,,,,,,,,,,34,217,30,117.65,3.921666667,,,,,,,,,,,,,,,,
21,63R,G1,-,BB_121,1,,,,3.000867521,,,,,,,,,,,2,12,12,20.07,1.6725,,,,,,12,85,30,104.53,3.484333333,12,26,26,99.99,3.845769231,,,,,,,,,,,
22,64L,G2,X,BB_076,2,,,,4.489222222,,,,,,,,,,,,,,,,,,,,,24,118,30,108.11,3.603666667,2,10,10,52,5.2,3,5,5,23.32,4.664,,,,,,
22,65R,G1,-,BB_147,3,,,,2.542350427,,,,,,2,13,13,6.7,0.515384615,2,0,0,,,,,,,,9,56,30,98.75,3.291666667,2,5,5,19.1,3.82,,,,,,,,,,,
22,66L,G2,X,BB_160,2,,,,4.675850202,,,,,,,,,,,1,0,0,,,2,13,13,56.49,4.345384615,6,19,19,95.12,5.006315789,,,,,,,,,,,,,,,,
22,66R,G1,-,BB_035,5,,,,2.68125,,,,,,,,,,,,,,,,,,,,,2,8,8,21.45,2.68125,,,,,,,,,,,,,,,,
