Location,Seg,Gen,GenSym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
1,3R,G1,-,BB_139,3,,,,,,,,,,,,,,,,,,,,,,,,
2,4R,G1,-,BB_181,5,,,,,,,,,,,,,,,,,,,,,,,,
2,5L,G2,X,BB_132,3,,,,,,,,,,,,,,,,,,,,,,,,
2,5R,G1,-,BB_044,2,,,,,,,,,,,,,,,,,,,,,,,,
2,6L,G1,-,BB_150,5,,,,,,,,,,,,,,,,,,,,,,,,
2,6R,G2,X,BB_002,3,,,,,,,,,,,,,,,,,,,,,,,,
3,7R,G2,X,BB_052,4,,,,,,,,,,,,,,,,,,,,,,,,
3,8L,G1,-,BB_206,3,,,,,,,,,,,,,,,,,,,,,,,,
3,8R,G1,-,BB_068,4,,,,,,,,,,,,,,,,,,,,,,,,
3,9L,G2,X,BB_147,5,,,,,,,,,,,,,,,,,,,,,,,,
3,9R,G1,-,BB_053,5,,,,,,,,,,,,,,,,,,,,,,,,
4,10L,G2,X,BB_069,5,,,,,,,,,,,,,,,,,,,,,,,,
4,10R,G1,-,BB_086,1,,,,,,,,,,,,,,,,,,,,,,,,
4,11R,G1,-,BB_215,5,,,,,,,,,,,,,,,,,,,,,,,,
4,12L,G1,-,BB_051,5,,,,,,,,,,,,,,,,,,,,,,,,
4,12R,G2,X,BB_134,1,,,,,,,,,,,,,,,,,,,,,,,,
5,13L,G1,-,BB_148,3,,,,,,,,,,,,,,,,,,,,,,,,
5,13R,G1,-,BB_004,4,,,,,,,,,,,,,,,,,,,,,,,,
5,14L,G2,X,BB_143,1,,,,,,,,,,,,,,,,,,,,,,,,
5,14R,G2,X,BB_159,5,,,,,,,,,,,,,,,,,,,,,,,,
5,15L,G1,-,BB_017,1,,,,,,,,,,,,,,,,,,,,,,,,
5,15R,G1,-,BB_088,3,,,,,,,,,,,,,,,,,,,,,,,,
6,16L,G1,-,BB_013,4,,,,,,,,,,,,,,,,,,,,,,,,
6,16R,G1,-,BB_179,1,,,,,,,,,,,,,,,,,,,,,,,,
6,17L,G1,-,BB_166,2,,,,,,,,,,,,,,,,,,,,,,,,
6,18L,G1,-,BB_076,1,,,,,,,,,,,,,,,,,,,,,,,,
7,19L,G1,-,BB_025,1,,,,,,,,,,,,,,,,,,,,,,,,
7,20L,G1,-,BB_086,2,,,,,,,,,,,,,,,,,,,,,,,,
7,20R,G1,-,BB_092,4,,,,,,,,,,,,,,,,,,,,,,,,
8,22R,G1,-,BB_152,5,,,,,,,,,,,,,,,,,,,,,,,,
8,23L,G1,-,BB_020,4,,,,,,,,,,,,,,,,,,,,,,,,
8,23R,G2,X,BB_116,1,,,,,,,,,,,,,,,,,,,,,,,,
8,24L,G2,X,BB_019,2,,,,,,,,,,,,,,,,,,,,,,,,
8,24R,G1,-,BB_195,2,,,,,,,,,,,,,,,,,,,,,,,,
9,25L,G1,-,BB_190,3,,,,,,,,,,,,,,,,,,,,,,,,
9,25R,G1,-,BB_029,4,,,,,,,,,,,,,,,,,,,,,,,,
9,26L,G1,-,BB_010,1,,,,,,,,,,,,,,,,,,,,,,,,
9,26R,G1,-,BB_181,1,,,,,,,,,,,,,,,,,,,,,,,,
9,27L,G2,X,BB_132,2,,,,,,,,,,,,,,,,,,,,,,,,
9,27R,G1,-,BB_020,1,,,,,,,,,,,,,,,,,,,,,,,,
10,28L,G2,X,BB_149,2,,,,,,,,,,,,,,,,,,,,,,,,
10,28R,G2,X,BB_029,1,,,,,,,,,,,,,,,,,,,,,,,,
