"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-03-30,,,,Collection Date: 2023-04-12,,,,Collection Date: 2023-04-26,,,,Collection Date: 2023-05-10,,,,Collection Date: 2023-05-24,,,,Collection Date: 2023-06-07,,,,Collection Date: 2023-06-21,,,,Collection Date: NA,,,,Notes:
Location,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,avg_seeds_per_fruit,est_fecundity,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_closed_fruit_D3,N_open_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_closed_fruit_D4,N_open_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_closed_fruit_D5,N_open_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,N_closed_fruit_D6,N_open_fruit_D6,N_FILLED_seeds_D6,N_total_seeds_D6,N_closed_fruit_D7,N_open_fruit_D7,N_FILLED_seeds_D7,N_total_seeds_D7,N_closed_fruit_D8,N_open_fruit_D8,N_FILLED_seeds_D8,N_total_seeds_D8,
1,3R,G1,-,BB_139,3,9,4,13,21,13,1.444444444,18.77777778,,,,,,,,,,,,,,,,,1,1,4,4,7,2,9,16,1,1,0,1,,,,,
2,4R,G1,-,BB_181,5,4,0,16,16,4,4,16,,,,,2,,0,0,,,,,,,,,2,,16,16,,,,,,,,,,,,,
2,5L,G2,X,BB_132,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2,5R,G1,-,BB_044,2,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,6L,G1,-,BB_150,5,2,0,3,5,2,1.5,3,,,,,,,,,,,,,1,,3,4,1,,0,1,,,,,,,,,,,,,
2,6R,G2,X,BB_002,3,1,0,0,2,1,0,0,,,,,,,,,,,,,,,,,1,,0,2,,,,,,,,,,,,,
3,7R,G2,X,BB_052,4,2,0,0,5,2,0,0,,,,,,,,,1,,0,0,,,,,,,,,1,,0,5,,,,,,,,,
3,8L,G1,-,BB_206,3,1,0,4,6,1,4,4,,,,,,,,,,,,,1,,4,6,,,,,,,,,,,,,,,,,
3,8R,G1,-,BB_068,4,5,0,11,23,5,2.2,11,,,,,,,,,,,,,1,,2,3,4,,9,20,,,,,,,,,,,,,
3,9L,G2,X,BB_147,5,2,0,0,5,2,0,0,,,,,,,,,1,,0,0,1,,0,5,,,,,,,,,,,,,,,,,
3,9R,G1,-,BB_053,5,3,0,4,15,3,1.333333333,4,,,,,,,,,1,,0,7,2,,4,8,,,,,,,,,,,,,,,,,
4,10L,G2,X,BB_069,5,3,0,6,14,3,2,6,,,,,,,,,1,,0,7,1,,2,3,1,,4,4,,,,,,,,,,,,,
4,10R,G1,-,BB_086,1,3,0,15,16,3,5,15,,,,,,,,,,,,,,,,,3,,15,16,,,,,,,,,,,,,
4,11R,G1,-,BB_215,5,4,0,20,20,4,5,20,,,,,,,,,,,,,,,,,3,,14,14,1,,6,6,,,,,,,,,
4,12L,G1,-,BB_051,5,2,1,1,6,3,0.5,1.5,,,,,2,,1,6,,,,,,,,,,1,,,,,,,,,,,,,,,
4,12R,G2,X,BB_134,1,1,3,0,5,4,0,0,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,0,5,
5,13L,G1,-,BB_148,3,13,4,91,97,17,7,119,,,,,,3,,,2,,18,22,2,1,16,16,5,,38,40,4,,19,19,,,,,,,,,
5,13R,G1,-,BB_004,4,10,1,28,32,11,2.8,30.8,,,,,,,,,,1,,,,,,,10,,28,32,,,,,,,,,,,,,
5,14L,G2,X,BB_143,1,1,4,4,4,5,4,20,,,,,,,,,,,,,,,,,1,4,4,4,,,,,,,,,,,,,
5,14R,G2,X,BB_159,5,4,2,10,12,6,2.5,15,,,,,,,,,,,,,,,,,4,2,10,12,,,,,,,,,,,,,
5,15L,G1,-,BB_017,1,3,0,11,16,3,3.666666667,11,,,,,,,,,1,,3,6,2,,8,10,,,,,,,,,,,,,,,,,
5,15R,G1,-,BB_088,3,20,12,54,71,32,2.7,86.4,,,,,,,,,1,,2,8,6,1,5,8,10,7,43,50,3,4,4,5,,,,,,,,,
6,16L,G1,-,BB_013,4,4,0,10,29,4,2.5,10,,,,,,,,,,,,,1,,0,19,1,,3,3,2,,7,7,,,,,,,,,
6,16R,G1,-,BB_179,1,13,0,70,89,13,5.384615385,70,,,,,,,,,,,,,,,,,9,,50,65,4,,20,24,,,,,,,,,
6,17L,G1,-,BB_166,2,17,2,42,68,19,2.470588235,46.94117647,,,,,,,,,3,,4,10,2,,2,6,11,1,34,50,1,1,2,2,,,,,,,,,
6,18L,G1,-,BB_076,1,6,1,28,37,7,4.666666667,32.66666667,,,,,2,,6,14,,,,,,1,,,3,,17,18,1,,5,5,,,,,,,,,
6,18R,G2,X,BB_205A,4,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,
7,19L,G1,-,BB_025,1,3,0,9,12,3,3,9,,,,,,,,,,,,,2,,7,9,1,,2,3,,,,,,,,,,,,,
7,20L,G1,-,BB_086,2,11,0,60,72,11,5.454545455,60,,,,,,,,,1,,0,4,1,,6,6,9,,54,62,,,,,,,,,,,,,
7,20R,G1,-,BB_092,4,3,0,7,7,3,2.333333333,7,,,,,,,,,,,,,,,,,3,,7,7,,,,,,,,,,,,,
8,22R,G1,-,BB_152,5,3,0,10,10,3,3.333333333,10,,,,,,,,,,,,,,,,,3,,10,10,,,,,,,,,,,,,
8,23L,G1,-,BB_020,4,23,0,161,179,23,7,161,,,,,,,,,,,,,1,,7,7,17,,122,140,5,,32,32,,,,,,,,,
8,23R,G2,X,BB_116,1,24,0,57,68,24,2.375,57,,,,,,,,,,,,,5,,12,14,19,,45,54,,,,,,,,,,,,,
8,24L,G2,X,BB_019,2,12,5,98,98,17,8.166666667,138.8333333,,,,,1,,0,0,,,,,,,,,5,,49,49,6,,49,49,,5,,,,,,,
8,24R,G1,-,BB_195,2,18,0,10,23,18,0.5555555556,10,,,,,,,,,,,,,,,,,8,,9,19,1,,1,2,9,,0,2,,,,,
9,25L,G1,-,BB_190,3,1,0,0,1,1,0,0,,,,,1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,25R,G1,-,BB_029,4,12,3,63,89,15,5.25,78.75,,,,,,,,,3,,15,27,1,,9,13,8,,39,49,,3,,,,,,,,,,,
9,26L,G1,-,BB_010,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26R,G1,-,BB_181,1,1,0,4,7,1,4,4,,,,,,,,,,,,,1,,4,7,,,,,,,,,,,,,,,,,
9,27L,G2,X,BB_132,2,3,0,23,25,3,7.666666667,23,,,,,,,,,,,,,1,,9,10,1,,12,12,1,,2,3,,,,,,,,,
9,27R,G1,-,BB_020,1,5,10,30,40,15,6,90,,,,,,,,,,,,,1,,8,10,2,3,13,20,2,7,9,10,,,,,,,,,
10,28L,G2,X,BB_149,2,19,1,72,90,20,3.789473684,75.78947368,,,,,,,,,,,,,,,,,4,1,14,19,15,,58,71,,,,,,,,,
10,28R,G2,X,BB_029,1,15,0,69,69,15,4.6,69,,,,,,,,,,,,,,,,,13,,66,66,2,,3,3,,,,,,,,,
10,29L,G1,-,BB_029,5,8,5,29,34,13,3.625,47.125,,,,,,,,,1,,1,3,2,1,11,11,5,3,17,20,,1,,,,,,,,,,,
10,29R,G1,-,BB_135,1,4,6,28,29,10,7,70,,,,,,,,,,1,,,,1,,,4,4,28,29,,,,,,,,,,,,,
10,30L,G2,X,BB_039,4,4,0,13,20,4,3.25,13,,,,,,,,,,,,,2,,8,10,1,,0,5,1,,5,5,,,,,,,,,
10,30R,G1,-,BB_094,4,11,0,8,37,11,0.7272727273,8,,,,,,,,,,,,,1,,3,6,5,,2,13,5,,3,18,,,,,,,,,
11,31L,G1,-,BB_159,3,7,10,2,3,17,0.2857142857,4.857142857,,,,,,,,,,,,,,,,,,,,,2,7,2,3,5,3,0,0,,,,,
