,,,,,,,The average of the weekly mean seed mass,Collection Date: 2023-05-05,,,,,Collection Date: 2023-05-17,,,,,Collection Date: 2023-06-02,,,,,Collection Date: 2023-06-15,,,,,Collection Date: 2023-06-28,,,,,Collection Date: NA,,,,
Sequence,Transect,Seg,Gen,Sym,Recipient,Fit_plant,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-05,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-17,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-02,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-15,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-28,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA
14,1,14L,G1,-,BO_087,4,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,
15,1,15R,G1,-,BO_177,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,17L,G1,-,BO_189,4,4.8,,,,,,,,,,,,,,,,1,4,4,19.2,4.8,,,,,,,,,,
18,1,18R,G1,-,BO_142,3,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,
19,1,19R,G1,-,BO_055,4,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,,,
20,1,20R,G2,X,BO_124,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,21L,G2,X,BO_091,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,22R,G1,-,BO_190,5,6.785,,,,,,1,0,0,,,,,,,,1,2,2,13.57,6.785,,,,,,,,,,
24,1,24L,G1,-,BO_099,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
25,1,25L,G1,-,BO_055,5,1.894,,,,,,3,0,0,,,,,,,,2,5,5,9.47,1.894,,,,,,,,,,
26,1,26R,G1,-,BO_037,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27R,G1,-,BO_139,4,4.74,,,,,,,,,,,,,,,,2,1,1,4.74,4.74,,,,,,,,,,
28,1,28L,G1,-,BO_144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,28R,G2,X,BO_124,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
30,1,30L,G1,-,BO_089,1,4.004673913,,,,,,7,23,23,50.01,2.174347826,,,,,,1,2,2,11.67,5.835,,,,,,,,,,
33,1,33L,G1,-,BO_151,3,3.187857143,,,,,,4,7,7,11.24,1.605714286,,,,,,1,1,1,4.77,4.77,,,,,,,,,,
35,1,35L,G1,-,BO_060,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,37L,G1,-,BO_125,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,39R,G1,-,BO_140,5,3.208,,,,,,1,5,5,16.04,3.208,,,,,,,,,,,,,,,,,,,,
41,2,1L,G1,-,BO_175,1,7.855,,,,,,,,,,,,,,,,1,1,1,5.25,5.25,1,1,1,10.46,10.46,,,,,
47,2,7L,G2,X,BO_095,5,2.36,,,,,,,,,,,1,0,0,,,2,1,1,2.36,2.36,,,,,,,,,,
48,2,8L,G2,X,BO_094,2,7.22,,,,,,,,,,,1,0,0,,,1,1,1,7.22,7.22,,,,,,,,,,
48,2,8R,G1,-,BO_067,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,9L,G1,-,BO_067,1,2.626666667,,,,,,,,,,,3,12,12,31.52,2.626666667,1,0,0,,,,,,,,,,,,
50,2,10R,G2,X,BO_201,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,11R,G1,-,BO_143,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,12R,G1,-,BO_081,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2,14L,G1,-,BO_096,5,6.09,,,,,,,,,,,1,1,1,6.09,6.09,,,,,,,,,,,,,,,
55,2,15L,G1,-,BO_104,2,,,,,,,2,0,0,,,1,0,0,,,,,,,,,,,,,,,,,
55,2,15R,G1,-,BO_081,5,1.565,,,,,,2,2,2,3.13,1.565,,,,,,,,,,,,,,,,,,,,
56,2,16R,G1,-,BO_174,4,1.91,,,,,,,,,,,1,3,3,5.73,1.91,,,,,,,,,,,,,,,
58,2,18R,G1,-,BO_144,4,3.95125,,,,,,1,0,0,,,4,16,16,63.22,3.95125,,,,,,,,,,,,,,,
60,2,20L,G1,-,BO_043,1,,,,,,,2,0,0,,,1,0,0,,,,,,,,,,,,,,,,,
60,2,20R,G2,X,BO_060,5,3.815708333,,,,,,4,,0,0,,4,15,15,57.19,3.812666667,3,8,8,30.55,3.81875,,,,,,,,,,
61,2,21L,G1,-,BO_137,5,7.105,,,,,,,,,,,1,2,2,14.21,7.105,,,,,,,,,,,,,,,
62,2,22L,G2,X,BO_015,1,1.641212121,,,,,,1,3,3,2.53,0.843333333,2,11,11,26.83,2.439090909,,,,,,,,,,,,,,,
64,2,24R,G1,-,BO_063,5,2.42425,,,,,,2,10,10,15.46,1.546,3,16,16,52.84,3.3025,,,,,,,,,,,,,,,
66,2,26L,G1,-,BO_044,1,5.139078947,,,,,,,,,,,3,4,4,15.34,3.835,11,19,19,122.42,6.443157895,,,,,,,,,,
69,2,29L,G1,-,BO_031,1,2.638666667,,,,,,2,5,5,11.91,2.382,2,15,15,43.43,2.895333333,,,0,,,,,,,,,,,,
71,2,31L,G1,-,BO_031,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2,31R,G2,X,BO_169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3,2R,G1,-,BO_015,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3,4R,G1,-,BO_174,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,5L,G1,-,BO_177,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,5R,G1,-,BO_086,5,4.46,,,,,,,,,,,1,1,1,4.46,4.46,,,,,,,,,,,,,,,
77,3,6R,G1,-,BO_111,4,3.001666667,,,,,,2,0,0,,,1,3,3,6.99,2.33,2,3,3,11.02,3.673333333,,,,,,,,,,
83,3,12L,G2,X,BO_072,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3,14L,G1,-,BO_180,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3,14R,G1,-,BO_045,4,3.11875,,,,,,,,,,,3,8,8,24.95,3.11875,,,,,,,,,,,,,,,
86,3,15L,G2,X,BO_154,3,6.27,,,,,,,,,,,,,,,,1,1,1,6.27,6.27,,,,,,,,,,
87,3,16L,G2,X,BO_201,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,9L,G1,-,BO_095,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4,10L,G1,-,BO_180,5,3.993333333,,,,,,,,,,,2,3,3,11.98,3.993333333,,,,,,,,,,,,,,,
116,4,19L,G1,-,BO_125,3,4.4,,,,,,,,,,,1,1,1,4.4,4.4,,,,,,,,,,,,,,,
124,4,27L,G1,-,BO_199,1,3.674166667,,,,,,,,,,,2,0,0,0,,3,12,12,44.09,3.674166667,,,,,,,,,,
126,5,2L,G1,-,BO_126,5,2.31625,,,,,,,,,,,2,12,12,34.95,2.9125,1,1,1,1.72,1.72,,,,,,,,,,
127,5,3L,G2,X,BO_050,1,4.65,,,,,,2,0,,,,4,3,3,13.95,4.65,,,,,,,,,,,,,,,
