Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
14,1,14L,G1,-,BO_087,4,,,,,,,,,,,,,,,,,,,,,,,,
15,1,15R,G1,-,BO_177,2,,,,,,,,,,,,,,,,,,,,,,,,
17,1,17L,G1,-,BO_189,4,,,,,,,,,,,,,,,,,,,,,,,,
18,1,18R,G1,-,BO_142,3,,,,,,,,,,,,,,,,,,,,,,,,
19,1,19R,G1,-,BO_055,4,,,,,,,,,,,,,,,,,,,,,,,,
20,1,20R,G2,X,BO_124,2,,,,,,,,,,,,,,,,,,,,,,,,
21,1,21L,G2,X,BO_091,1,,,,,,,,,,,,,,,,,,,,,,,,
22,1,22R,G1,-,BO_190,5,,,,,,,,,,,,,,,,,,,,,,,,
24,1,24L,G1,-,BO_099,1,,,,,,,,,,,,,,,,,,,,,,,,
25,1,25L,G1,-,BO_055,5,,,,,,,,,,,,,,,,,,,,,,,,
26,1,26R,G1,-,BO_037,2,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27R,G1,-,BO_139,4,,,,,,,,,,,,,,,,,,,,,,,,
28,1,28L,G1,-,BO_144,1,,,,,,,,,,,,,,,,,,,,,,,,
28,1,28R,G2,X,BO_124,5,,,,,,,,,,,,,,,,,,,,,,,,
30,1,30L,G1,-,BO_089,1,,,,,,,,,,,,,,,,,,,,,,,,
33,1,33L,G1,-,BO_151,3,,,,,,,,,,,,,,,,,,,,,,,,
35,1,35L,G1,-,BO_060,1,,,,,,,,,,,,,,,,,,,,,,,,
