"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-05-04,,,,Collection Date: 2023-05-16,,,,Collection Date: 2023-06-01,,,,Collection Date: 2023-06-14,,,,Collection Date: 2023-NA,,,,
Sequence,Transect,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,avg_seeds_per_fruit,est_fecundity,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_closed_fruit_D2,N_open_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_closed_fruit_D3,N_open_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_closed_fruit_D4,N_open_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_closed_fruit_D5,N_open_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
1,1,1L,G2,X,HR_027,4,5,0,12,13,5,2.4,12,4,,10,11,1,,2,2,,,,,,,,,,,,,
1,1,1R,G1,-,HR_010,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
2,1,2L,G1,-,HR_051,5,9,2,19,31,11,2.111111111,23.22222222,4,,14,15,5,,5,16,,2,,,,,,,,,,,
2,1,2R,G2,X,HR_044,2,2,0,3,5,2,1.5,3,2,,3,5,,,,,,,,,,,,,,,,,
3,1,3L,G2,X,HR_178,4,6,0,24,36,6,4,24,3,,19,27,3,,5,9,,,,,,,,,,,,,"5/4 - 1 seed lost, not included in count"
3,1,3R,G2,X,HR_108,1,3,0,3,4,3,1,3,1,,2,2,2,,1,2,,,,,,,,,,,,,
4,1,4L,G1,-,HR_036,4,9,3,16,19,12,1.777777778,21.33333333,4,,9,11,5,1,7,8,,2,,,,,,,,,,,
4,1,4R,G2,X,HR_121,3,2,0,11,13,2,5.5,11,1,,7,9,1,,4,4,,,,,,,,,,,,,
5,1,5L,G1,-,HR_162,2,2,0,5,6,2,2.5,5,1,,3,3,1,,2,3,,,,,,,,,,,,,
5,1,5R,G1,-,HR_134,4,6,0,9,13,6,1.5,9,2,,6,7,4,,3,6,,,,,,,,,,,,,
6,1,6L,G2,X,HR_041,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
6,1,6R,G2,X,HR_124,3,11,0,21,28,11,1.909090909,21,5,,15,19,6,,6,9,,,,,,,,,,,,,
