position,Gen,Donor,Recipient
1-5,G1,AC_89,AC_57
1-5,G2,AC_71,AC_215
1-5,G2,AC_91,AC_189
1-5,G1,AC_198,AC_72
1-5,G1,AC_91,AC_204
1-5,G2,AC_159,AC_94
1-5,G1,AC_124,AC_30
1-5,G2,AC_007,AC_147
1-5,G1,AC_64,AC_86
1-5,G2,AC_52,AC_212
1-5,G1,AC_195,AC_179
1-5,G2,AC_177,AC_107
1-5,G1,AC_8,AC_68
1-5,G1,AC_039,AC_148
1-5,G2,AC_159,AC_94
1-5,G2,AC_165,AC_199
1-5,G1,AC_68,AC_195
1-5,G1,AC_007,AC_81
1-5,G2,AC_54,AC_155
1-5,G2,AC_161,AC_213
1-5,G1,AC_8,AC_188
1-5,G1,AC_52,AC_133
1-5,G2,AC_107,AC_130
1-5,G1,AC_91,AC_218
1-5,G1,AC_177,AC_107
1-5,G1,AC_64,AC_86
1-5,G2,AC_160,AC_15
1-5,G1,AC_91,AC_189
1-5,G1,AC_45,AC_123
1-5,G1,AC_54,AC_119
1-5,G2,AC_172,AC_40
1-5,G1,AC_061,AC_52
1-5,G2,AC_150,AC_83
1-5,G1,AC_47,AC_152
1-5,G2,AC_179,AC_136
1-5,G2,AC_71,AC_115
1-5,G2,AC_156,AC_5
1-5,G2,AC_165,AC_206
1-5,G2,AC_172,AC_111
1-5,G2,AC_54,AC_119
1-5,G2,AC_170,AC_118
1-5,G1,AC_52,AC_131
1-5,G1,AC_64,AC_205
1-5,G1,AC_64,AC_205
1-5,G1,AC_103,AC_144
1-5,G1,AC_124,AC_30
1-5,G1,AC_198,AC_51
1-5,G2,AC_125,AC_38
1-5,G2,AC_039,AC_168
1-5,G2,AC_15,AC_190
1-5,G2,AC_168,AC_10
1-5,G1,AC_168,AC_10
1-5,G2,AC_169,AC_75
1-5,G2,AC_198,AC_66
1-5,G1,AC_68,AC_56
1-5,G1,AC_64,AC_86
1-5,G1,AC_96,AC_181
1-5,G1,AC_89,AC_32
1-5,G1,AC_207,AC_55
1-5,G2,AC_96,AC_128
1-5,G1,AC_103,AC_154
1-5,G1,AC_52,AC_133
1-5,G2,AC_216,AC_58
1-5,G2,AC_97,AC_54
1-5,G1,AC_177,AC_107
1-5,G1,AC_161,AC_88
1-5,G2,AC_150,AC_200
1-5,G2,AC_96,AC_74
1-5,G1,AC_007,AC_187
1-5,G2,AC_125,AC_95
1-5,G2,AC_64,AC_205
1-5,G1,AC_061,AC_158
1-5,G2,AC_172,AC_111
1-5,G2,AC_54,AC_46
1-5,G2,AC_207,AC_55
1-5,G1,AC_002,AC_104
1-5,G2,AC_102,AC_178
1-5,G1,AC_195,AC_179
1-5,G2,AC_124,AC_14
1-5,G1,AC_039,AC_168
1-5,G1,AC_007,AC_147
1-5,G2,AC_150,AC_83
1-5,G1,AC_216,AC_58
1-5,G2,AC_97,AC_54
1-5,G2,AC_97,AC_64
1-5,G2,AC_169,AC_75
1-5,G1,AC_52,AC_212
1-5,G2,AC_179,AC_114
1-5,G1,AC_002,AC_122
1-5,G2,AC_8,AC_68
1-5,G1,AC_71,AC_215
1-5,G1,AC_156,AC_16
1-5,G1,AC_71,AC_215
1-5,G2,AC_165,AC_206
1-5,G2,AC_125,AC_38
1-5,G1,AC_89,AC_32
1-5,G1,AC_96,AC_181
1-5,G1,AC_54,AC_46
1-5,G1,AC_179,AC_136
1-5,G2,AC_007,AC_81
1-5,G1,AC_102,AC_191
1-5,G2,AC_103,AC_144
1-5,G2,AC_160,AC_15
1-5,G1,AC_198,AC_51
1-5,G2,AC_216,AC_58
1-5,G2,AC_54,AC_119
1-5,G2,AC_216,AC_34
1-5,G1,AC_061,AC_52
1-5,G1,AC_71,AC_215
1-5,G2,AC_68,AC_89
1-5,G2,AC_15,AC_197
1-5,G2,AC_15,AC_197
1-5,G1,AC_207,AC_82
1-5,G1,AC_216,AC_99
1-5,G1,AC_168,AC_10
1-5,G1,AC_156,AC_5
1-5,G1,AC_159,AC_94
1-5,G2,AC_039,AC_148
1-5,G2,AC_8,AC_68
1-5,G1,AC_039,AC_168
1-5,G2,AC_198,AC_72
1-5,G2,AC_216,AC_99
1-5,G1,AC_186,AC_48
1-5,G1,AC_8,AC_68
1-5,G2,AC_186,AC_11
1-5,G2,AC_207,AC_55
1-5,G1,AC_170,AC_203
1-5,G2,AC_002,AC_160
1-5,G1,AC_156,AC_5
1-5,G1,AC_8,AC_188
1-5,G1,AC_45,AC_123
1-5,G2,AC_71,AC_215
1-5,G1,AC_124,AC_100
1-5,G1,AC_172,AC_208
1-5,G1,AC_207,AC_70
1-5,G1,AC_170,AC_203
1-5,G2,AC_159,AC_143
1-5,G2,AC_125,AC_95
1-5,G2,AC_195,AC_179
1-5,G2,AC_170,AC_118
1-5,G2,AC_007,AC_147
1-5,G1,AC_159,AC_94
1-5,G2,AC_168,AC_159
1-5,G1,AC_94,AC_109
1-5,G1,AC_150,AC_200
1-5,G2,AC_96,AC_128
1-5,G1,AC_216,AC_58
1-5,G2,AC_172,AC_208
1-5,G1,AC_159,AC_192
1-5,G1,AC_8,AC_68
1-5,G1,AC_165,AC_206
1-5,G2,AC_172,AC_111
1-5,G1,AC_94,AC_217
1-5,G2,AC_97,AC_64
1-5,G2,AC_207,AC_55
1-5,G2,AC_186,AC_153
1-5,G2,AC_96,AC_128
1-5,G1,AC_002,AC_104
1-5,G1,AC_124,AC_30
1-5,G1,AC_103,AC_144
1-5,G1,AC_71,AC_115
1-5,G2,AC_94,AC_109
1-5,G2,AC_159,AC_192
1-5,G1,AC_15,AC_97
1-5,G1,AC_002,AC_160
1-5,G1,AC_54,AC_155
1-5,G2,AC_159,AC_192
1-5,G2,AC_96,AC_181
1-5,G2,AC_71,AC_215
1-5,G2,AC_168,AC_142
1-5,G2,AC_169,AC_120
1-5,G1,AC_170,AC_185
1-5,G1,AC_107,AC_130
1-5,G1,AC_168,AC_159
1-5,G1,AC_186,AC_11
1-5,G1,AC_179,AC_114
1-5,G1,AC_186,AC_153
1-5,G2,AC_94,AC_216
1-5,G1,AC_64,AC_205
1-5,G1,AC_150,AC_83
1-5,G1,AC_71,AC_115
1-5,G1,AC_159,AC_94
1-5,G1,AC_216,AC_99
1-5,G2,AC_150,AC_110
1-5,G1,AC_002,AC_104
1-5,G1,AC_170,AC_185
1-5,G1,AC_007,AC_187
1-5,G2,AC_179,AC_136
1-5,G2,AC_007,AC_187
1-5,G1,AC_172,AC_111
1-5,G1,AC_177,AC_211
1-5,G1,AC_107,AC_172
1-5,G2,AC_15,AC_197
1-5,G2,AC_161,AC_213
1-5,G1,AC_94,AC_109
1-5,G1,AC_107,AC_172
1-5,G2,AC_159,AC_94
1-5,G2,AC_170,AC_185
1-5,G1,AC_107,AC_172
1-5,G2,AC_179,AC_171
1-5,G1,AC_96,AC_74
1-5,G2,AC_71,AC_115
1-5,G1,AC_45,AC_151
1-5,G2,AC_156,AC_90
1-5,G1,AC_159,AC_143
1-5,G2,AC_169,AC_182
1-5,G2,AC_156,AC_16
1-5,G2,AC_64,AC_86
1-5,G2,AC_061,AC_52
1-5,G2,AC_216,AC_34
1-5,G1,AC_102,AC_178
1-5,G1,AC_161,AC_213
1-5,G1,AC_96,AC_128
1-5,G2,AC_170,AC_203
1-5,G1,AC_168,AC_142
1-5,G2,AC_198,AC_72
1-5,G2,AC_102,AC_191
1-5,G2,AC_007,AC_187
1-5,G1,AC_207,AC_70
1-5,G2,AC_107,AC_172
1-5,G1,AC_68,AC_56
1-5,G2,AC_177,AC_211
1-5,G1,AC_061,AC_52
1-5,G1,AC_96,AC_74
1-5,G1,AC_179,AC_114
1-5,G1,AC_64,AC_17
1-5,G2,AC_94,AC_216
1-5,G1,AC_186,AC_48
1-5,G2,AC_161,AC_88
1-5,G2,AC_94,AC_217
1-5,G1,AC_94,AC_217
1-5,G1,AC_8,AC_92
1-5,G2,AC_186,AC_153
1-5,G2,AC_150,AC_110
1-5,G1,AC_64,AC_17
1-5,G2,AC_198,AC_51
1-5,G2,AC_002,AC_104
1-5,G1,AC_91,AC_218
1-5,G1,AC_179,AC_114
1-5,G2,AC_207,AC_82
1-5,G2,AC_170,AC_203
1-5,G1,AC_45,AC_151
1-5,G2,AC_102,AC_178
1-5,G2,AC_45,AC_96
1-5,G2,AC_179,AC_114
1-5,G2,AC_150,AC_83
1-5,G2,AC_94,AC_216
1-5,G1,AC_177,AC_107
1-5,G1,AC_15,AC_97
1-5,G2,AC_061,AC_52
1-5,G2,AC_195,AC_193
1-5,G2,AC_125,AC_38
1-5,G2,AC_039,AC_148
1-5,G2,AC_103,AC_144
1-5,G1,AC_52,AC_131
1-5,G1,AC_165,AC_206
1-5,G2,AC_039,AC_148
1-5,G1,AC_177,AC_211
1-5,G2,AC_170,AC_185
1-5,G2,AC_124,AC_100
1-5,G1,AC_91,AC_204
1-5,G2,AC_198,AC_66
1-5,G2,AC_002,AC_104
1-5,G1,AC_195,AC_193
1-5,G2,AC_002,AC_160
1-5,G2,AC_52,AC_133
1-5,G1,AC_165,AC_206
1-5,G2,AC_150,AC_200
1-5,G1,AC_161,AC_213
1-5,G1,AC_124,AC_14
1-5,G2,AC_54,AC_155
1-5,G2,AC_47,AC_113
1-5,G1,AC_8,AC_188
1-5,G2,AC_91,AC_218
1-5,G2,AC_172,AC_208
