Site: Angelo Coast 2023,,,,,,,,,,
Transect,Seg No.,Sequence,Tray,Row,Positions 1-5 (left),,Positions 6-10 (right),,Seg. Latidude,Seg. Longitude
1,1,1,Tray 1,1,G1,AC_57,G2,AC_130,,
1,2,2,,2,G2,AC_215,G2,AC_191,,
1,3,3,,3,G2,AC_189,G1,AC_32,,
1,4,4,,4,G1,AC_72,G2,AC_32,,
1,5,5,,5,G1,AC_204,G1,AC_119,,
1,6,6,,6,G2,AC_94,G1,AC_123,,
1,7,7,,7,G1,AC_30,G2,AC_151,,
1,8,8,,8,G2,AC_147,G1,AC_147,,
1,9,9,,9,G1,AC_86,G1,AC_89,,
1,10,10,,10,G2,AC_212,G1,AC_212,,
1,11,11,,11,G1,AC_179,G2,AC_192,,
1,12,12,,12,G2,AC_107,G2,AC_188,,
1,13,13,,13,G1,AC_68,G2,AC_195,,
1,14,14,,14,G1,AC_148,G1,AC_34,,
1,15,15,,15,G2,AC_94,G2,AC_107,,
1,16,16,,16,G2,AC_199,G1,AC_113,,
1,17,17,,17,G1,AC_195,G2,AC_66,,
1,18,18,,18,G1,AC_81,G1,AC_153,,
1,19,19,,19,G2,AC_155,G1,AC_119,,
1,20,20,,20,G2,AC_213,G1,AC_178,,
1,21,21,,21,G1,AC_188,G2,AC_11,,
1,22,22,Tray 2,1,G1,AC_133,G2,AC_62,,
1,23,23,,2,G2,AC_130,G2,AC_5,,
1,24,24,,3,G1,AC_218,G1,AC_178,,
1,25,25,,4,G1,AC_107,G1,AC_154,,
1,26,26,,5,G1,AC_86,G2,AC_118,,
1,27,27,,6,G2,AC_15,G2,AC_201,,
1,28,28,,7,G1,AC_189,G2,AC_89,,
1,29,29,,8,G1,AC_123,G1,AC_208,,
1,30,30,,9,G1,AC_119,G2,AC_56,,
1,31,31,,10,G2,AC_40,G1,AC_148,,
1,32,32,,11,G1,AC_52,G2,AC_113,,
1,33,33,,12,G2,AC_83,G1,AC_148,,
1,34,34,,13,G1,AC_152,G2,AC_181,,
1,35,35,,14,G2,AC_136,G1,AC_113,,
1,36,36,,15,G2,AC_115,G1,AC_48,,
2,1,37,,16,G2,AC_5,G1,AC_54,,
2,2,38,,17,G2,AC_206,G2,AC_11,,
2,3,39,,18,G2,AC_111,G1,AC_203,,
2,4,40,,19,G2,AC_119,G2,AC_82,,
2,5,41,,20,G2,AC_118,G1,AC_216,,
2,6,42,,21,G1,AC_131,G2,AC_86,,
2,7,43,Tray 3,1,G1,AC_205,G2,AC_62,,
2,8,44,,2,G1,AC_205,G1,AC_118,,
2,9,45,,3,G1,AC_144,G1,AC_88,,
2,10,46,,4,G1,AC_30,G2,AC_40,,
2,11,47,,5,G1,AC_51,G1,AC_90,,
2,12,48,,6,G2,AC_38,G2,AC_193,,
2,13,49,,7,G2,AC_168,G1,AC_89,,
2,14,50,,8,G2,AC_190,G2,AC_16,,
2,15,51,,9,G2,AC_10,G1,AC_54,,
2,16,52,,10,G1,AC_10,G2,AC_144,,
2,17,53,,11,G2,AC_75,G1,AC_120,,
2,18,54,,12,G2,AC_66,G1,AC_75,,
2,19,55,,13,G1,AC_56,G2,AC_217,,
2,20,56,,14,G1,AC_86,G1,AC_72,,
2,21,57,,15,G1,AC_181,G2,AC_131,,
2,22,58,,16,G1,AC_32,G1,AC_109,,
2,23,59,,17,G1,AC_55,G1,AC_154,,
2,24,60,,18,G2,AC_128,G1,AC_185,,
2,25,61,,19,G1,AC_154,G1,AC_122,,
2,26,62,,20,G1,AC_133,G1,AC_197,,
2,27,63,,21,G2,AC_58,G1,AC_14,,
2,28,64,Tray 4,1,G2,AC_54,G2,AC_133,,
2,29,65,,2,G1,AC_107,G2,AC_46,,
2,30,66,,3,G1,AC_88,G2,AC_114,,
2,31,67,,4,G2,AC_200,G2,AC_203,,
2,32,68,,5,G2,AC_74,G1,AC_46,,
2,33,69,,6,G1,AC_187,G1,AC_182,,
2,34,70,,7,G2,AC_95,G2,AC_92,,
2,35,71,,8,G2,AC_205,G2,AC_186,,
2,36,72,,9,G1,AC_158,G2,AC_48,,
4,1,108,,10,G2,AC_111,G2,AC_187,,
4,2,109,,11,G2,AC_46,G1,AC_96,,
4,3,110,,12,G2,AC_55,G1,AC_11,,
4,4,111,,13,G1,AC_104,G2,AC_107,,
4,5,112,,14,G2,AC_178,G1,AC_201,,
4,6,113,,15,G1,AC_179,G2,AC_109,,
4,7,114,,16,G2,AC_14,G1,AC_136,,
4,8,115,,17,G1,AC_168,G2,AC_57,,
4,9,116,,18,G1,AC_147,G1,AC_186,,
4,10,117,,19,G2,AC_83,G2,AC_110,,
4,11,118,,20,G1,AC_58,G2,AC_204,,
4,12,119,,21,G2,AC_54,G1,AC_128,,
3,13,85,Tray 5,1,G2,AC_64,G2,AC_100,,
3,14,86,,2,G2,AC_75,G2,AC_185,,
3,15,87,,3,G1,AC_212,G2,AC_88,,
3,16,88,,4,G2,AC_114,G1,AC_144,,
3,17,89,,5,G1,AC_122,G1,AC_159,,
3,18,90,,6,G2,AC_68,G1,AC_64,,
3,19,91,,7,G1,AC_215,G2,AC_99,,
3,20,92,,8,G1,AC_16,G1,AC_38,,
3,21,93,,9,G1,AC_215,G1,AC_199,,
3,22,94,,10,G2,AC_206,G1,AC_190,,
3,23,95,,11,G2,AC_38,G1,AC_199,,
3,24,96,,12,G1,AC_32,G1,AC_211,,
3,25,97,,13,G1,AC_181,G1,AC_186,,
3,26,98,,14,G1,AC_46,G1,AC_16,,
3,27,99,,15,G1,AC_136,G2,AC_179,,
3,28,100,,16,G2,AC_81,G2,AC_212,,
3,29,101,,17,G1,AC_191,G2,AC_213,,
3,30,102,,18,G2,AC_144,G2,AC_154,,
3,31,103,,19,G2,AC_15,G2,AC_171,,
3,32,104,,20,G1,AC_51,G1,AC_197,,
3,33,105,,21,G2,AC_58,G1,AC_111,,
3,34,106,Tray 6,1,G2,AC_119,G1,AC_190,,
3,35,107,,2,G2,AC_34,G2,AC_74,,
3,1,73,,3,G1,AC_52,G2,AC_113,,
3,2,74,,4,G1,AC_215,G1,AC_38,,
3,3,75,,5,G2,AC_89,G1,AC_190,,
3,4,76,,6,G2,AC_197,G1,AC_57,,
3,5,77,,7,G2,AC_197,G1,AC_159,,
3,6,78,,8,G1,AC_82,G2,AC_96,,
3,7,79,,9,G1,AC_99,G2,AC_154,,
3,8,80,,10,G1,AC_10,G2,AC_181,,
3,9,81,,11,G1,AC_5,G1,AC_187,,
3,10,82,,12,G1,AC_94,G2,AC_190,,
3,11,83,,13,G2,AC_148,G1,AC_96,,
3,12,84,,14,G2,AC_68,G1,AC_57,,
4,13,120,,15,G1,AC_168,G2,AC_70,,
4,14,121,,16,G2,AC_72,G2,AC_151,,
4,15,122,,17,G2,AC_99,G1,AC_75,,
4,16,123,,18,G1,AC_48,G1,AC_160,,
4,17,124,,19,G1,AC_68,G2,AC_109,,
4,18,125,,20,G2,AC_11,G1,AC_88,,
4,19,126,,21,G2,AC_55,G1,AC_17,,
4,20,127,Tray 7,1,G1,AC_203,G2,AC_30,,
4,21,128,,2,G2,AC_160,G2,AC_195,,
4,22,129,,3,G1,AC_5,G2,AC_172,,
4,23,130,,4,G1,AC_188,G1,AC_120,,
4,24,131,,5,G1,AC_123,G1,AC_200,,
4,25,132,,6,G2,AC_215,G1,AC_130,,
4,26,133,,7,G1,AC_100,G2,AC_51,,
4,27,134,,8,G1,AC_208,G2,AC_40,,
4,28,135,,9,G1,AC_70,G1,AC_40,,
4,29,136,,10,G1,AC_203,G1,AC_216,,
4,30,137,,11,G2,AC_143,G1,AC_204,,
4,31,138,,12,G2,AC_95,G2,AC_68,,
4,32,139,,13,G2,AC_179,G2,AC_190,,
4,33,140,,14,G2,AC_118,G2,AC_64,,
4,34,141,,15,G2,AC_147,G2,AC_131,,
4,35,142,,16,G1,AC_94,G1,AC_62,,
4,36,143,,17,G2,AC_159,G2,AC_159,,
5,1,144,,18,G1,AC_109,G1,AC_153,,
5,2,145,,19,G1,AC_200,G1,AC_171,,
5,3,146,,20,G2,AC_128,G2,AC_46,,
5,4,147,,21,G1,AC_58,G1,AC_195,,
5,5,148,Tray 8,1,G2,AC_208,G2,AC_178,,
5,6,149,,2,G1,AC_192,G2,AC_10,,
5,7,150,,3,G1,AC_68,G2,AC_188,,
5,8,151,,4,G1,AC_206,G2,AC_32,,
5,9,152,,5,G2,AC_111,G1,AC_56,,
5,10,153,,6,G1,AC_217,G1,AC_64,,
5,11,154,,7,G2,AC_64,G1,AC_70,,
5,12,155,,8,G2,AC_55,G1,AC_142,,
5,13,156,,9,G2,AC_153,G1,AC_51,,
5,14,157,,10,G2,AC_128,G1,AC_40,,
5,15,158,,11,G1,AC_104,G1,AC_5,,
5,16,159,,12,G1,AC_30,G2,AC_48,,
5,17,160,,13,G1,AC_144,G1,AC_213,,
5,18,161,,14,G1,AC_115,G2,AC_90,,
5,19,162,,15,G2,AC_109,G1,AC_90,,
5,20,163,,16,G2,AC_192,G2,AC_205,,
5,21,164,,17,G1,AC_97,G2,AC_182,,
5,22,165,,18,G1,AC_160,G2,AC_204,,
5,23,166,,19,G1,AC_155,G2,AC_56,,
5,24,167,,20,G2,AC_192,G1,AC_46,,
5,25,168,,21,G2,AC_181,G2,AC_123,,
5,26,169,Tray 9,1,G2,AC_215,G1,AC_95,,
5,27,170,,2,G2,AC_142,G2,AC_206,,
5,28,171,,3,G2,AC_120,G2,AC_171,,
5,29,172,,4,G1,AC_185,G1,AC_147,,
5,30,173,,5,G1,AC_130,G1,AC_58,,
5,31,174,,6,G1,AC_159,G2,AC_158,,
5,32,175,,7,G1,AC_11,G1,AC_168,,
5,33,176,,8,G1,AC_114,G1,AC_100,,
5,34,177,,9,G1,AC_153,G2,AC_81,,
5,35,178,,10,G2,AC_216,G2,AC_168,,
5,36,179,,11,G1,AC_205,G1,AC_34,,
6,1,180,,12,G1,AC_83,G2,AC_16,,
6,2,181,,13,G1,AC_115,G2,AC_160,,
6,3,182,,14,G1,AC_94,G1,AC_120,,
6,4,183,,15,G1,AC_99,G1,AC_131,,
6,5,184,,16,G2,AC_110,G1,AC_54,,
6,6,185,,17,G1,AC_104,G1,AC_171,,
6,7,186,,18,G1,AC_185,G1,AC_89,,
6,8,187,,19,G1,AC_187,G2,AC_195,,
6,9,188,,20,G2,AC_136,G1,AC_191,,
6,10,189,,21,G2,AC_187,G1,AC_16,,
6,11,190,Tray 10,1,G1,AC_111,G1,AC_95,,
6,12,191,,2,G1,AC_211,G1,AC_197,,
6,13,192,,3,G1,AC_172,G1,AC_122,,
6,14,193,,4,G2,AC_197,G2,AC_120,,
6,15,194,,5,G2,AC_213,G1,AC_158,,
6,16,195,,6,G1,AC_109,G2,AC_205,,
6,17,196,,7,G1,AC_172,G2,AC_143,,
6,18,197,,8,G2,AC_94,G1,AC_99,,
6,19,198,,9,G2,AC_185,G1,AC_66,,
6,20,199,,10,G1,AC_172,G2,AC_142,,
6,21,200,,11,G2,AC_171,G2,AC_199,,
6,22,201,,12,G1,AC_74,G1,AC_193,,
6,23,202,,13,G2,AC_115,G1,AC_62,,
6,24,203,,14,G1,AC_151,G1,AC_189,,
6,25,204,,15,G2,AC_90,G1,AC_55,,
6,26,205,,16,G1,AC_143,G2,AC_208,,
6,27,206,,17,G2,AC_182,G1,AC_130,,
6,28,207,,18,G2,AC_16,G2,AC_131,,
6,29,208,,19,G2,AC_86,G2,AC_186,,
6,30,209,,20,G2,AC_52,G2,AC_158,,
6,31,210,,21,G2,AC_34,G1,AC_171,,
6,32,211,Tray 11,1,G1,AC_178,G1,AC_181,,
6,33,212,,2,G1,AC_213,G1,AC_182,,
6,34,213,,3,G1,AC_128,G2,AC_147,,
6,35,214,,4,G2,AC_203,G1,AC_118,,
7,1,215,,5,G1,AC_142,G1,AC_191,,
7,2,216,,6,G2,AC_72,G1,AC_110,,
7,3,217,,7,G2,AC_191,G2,AC_70,,
7,4,218,,8,G2,AC_187,G1,AC_201,,
7,5,219,,9,G1,AC_70,G1,AC_83,,
7,6,220,,10,G2,AC_172,G1,AC_95,,
7,7,221,,11,G1,AC_56,G1,AC_55,,
7,8,222,,12,G2,AC_211,G2,AC_199,,
7,9,223,,13,G1,AC_52,G2,AC_204,,
7,10,224,,14,G1,AC_74,G1,AC_179,,
7,11,225,,15,G1,AC_114,G2,AC_200,,
7,12,226,,16,G1,AC_17,G2,AC_56,,
7,13,227,,17,G2,AC_216,G2,AC_54,,
7,14,228,,18,G1,AC_48,G2,AC_189,,
7,15,229,,19,G2,AC_88,G2,AC_122,,
7,16,230,,20,G2,AC_217,G2,AC_72,,
7,17,231,,21,G1,AC_217,G1,AC_66,,
7,18,232,Tray 12,1,G1,AC_92,G2,AC_159,,
7,19,233,,2,G2,AC_153,G2,AC_155,,
7,20,234,,3,G2,AC_110,G1,AC_212,,
7,21,235,,4,G1,AC_17,G2,AC_17,,
7,22,236,,5,G2,AC_51,G2,AC_86,,
7,23,237,,6,G2,AC_104,G2,AC_57,,
7,24,238,,7,G1,AC_218,G2,AC_81,,
