Site: Bodega Bay 2022-23,,,,,,,,,
Tray,Point,Row,Positions 1-5 (left),,Positions 6-10 (right),,Pt. Latitude,Pt. Longitude,
Tray 1,1,1,G1,BB_207,G2,BB_046,38.31522,-123.06908,-123.06908
,,2,G1,BB_98,G1,BB_157,,,
,,3,G2,BB_123,G1,BB_139,,,
,2,4,G1,BB_166,G1,BB_181,38.31514,-123.06908,-123.06908
,,5,G2,BB_132,G1,BB_44,,,
,,6,G1,BB_150,G2,BB_002,,,
,3,7,G2,BB_154,G2,BB_052,38.31512,-123.06909,-123.06909
,,8,G1,BB_206,G1,BB_68,,,
,,9,G2,BB_147,G1,BB_53,,,
,4,10,G2,BB_069,G1,BB_86,38.31509,-123.06911,-123.06911
,,11,G2,BB_054,G1,BB_215,,,
,,12,G1,BB_51,G2,BB_134,,,
,5,13,G1,BB_148,G1,BB_4,38.31506,-123.06911,-123.06911
,,14,G2,BB_143,G2,BB_159,,,
,,15,G1,BB_17,G1,BB_88,,,
,6,16,G1,BB_13,G1,BB_179,38.31504,-123.06917,-123.06917
,,17,G1,BB_166,G1,BB_210,,,
,,18,G1,BB_76,G2,BB_205_A,,,
,7,19,G1,BB_25,G2,BB_120,38.31505,-123.06921,-123.06921
,,20,G1,BB_86,G1,BB_92,,,
,,21,G2,BB_133,G1,BB_154,,,
Tray 2,8,1,G2,BB_105,G1,BB_152,38.31505,-123.06922,-123.06922
,,2,G1,BB_20,G2,BB_116,,,
,,3,G2,BB_019,G1,BB_195,,,
,9,4,G1,BB_190,G1,BB_29,38.31496,-123.06918,-123.06918
,,5,G1,BB_10,G1,BB_181,,,
,,6,G2,BB_132,G1,BB_20,,,
,10,7,G2,BB_149,G2,BB_029,38.31495,-123.06921,-123.06921
,,8,G1,BB_29,G1,BB_135,,,
,,9,G2,BB_039,G1,BB_94,,,
,11,10,G1,BB_159,G1,BB_63,38.31494,-123.06924,-123.06924
,,11,G1,BB_192,G1,BB_4,,,
,,12,G1,BB_88,G1,BB_45,,,
,12,13,G2,BB_058,G1,BB_172,38.31496,-123.06927,-123.06927
,,14,G1,BB_103,G1,BB_183,,,
,,15,G2,BB_009,G2,BB_148,,,
,13,16,G1,BB_32,G1,BB_24,38.31494,-123.06931,-123.06931
,,17,G1,BB_89,G1,BB_18,,,
,,18,G1,BB_102,G1,BB_179,,,
,14,19,G1,BB_48,G1,BB_78,38.31494,-123.06935,-123.06935
,,20,G2,BB_200,G1,BB_207,,,
,,21,G1,BB_121,G1,BB_9,,,
Tray 3,15,1,G1,BB_189,G1,BB_101,38.3149,-123.06934,-123.06934
,,2,G1,BB_154,G1,BB_200,,,
,,3,G2,BB_157,G2,BB_103,,,
,16,4,G1,BB_71,G1,BB_117,38.31488,-123.06934,-123.06934
,,5,G1,BB_93,G1,BB_123,,,
,,6,G1,BB_119,G1,BB_64,,,
,17,7,G1,BB_205_A,G2,BB_076,38.31486,-123.06934,-123.06934
,,8,G1,BB_151,G2,BB_120,,,
,,9,G1,BB_52,G1,BB_159,,,
,18,10,G1,BB_171,G1,BB_31,38.31483,-123.06932,-123.06932
,,11,G1,BB_118,G2,BB_037,,,
,,12,G2,BB_145,G1,BB_74,,,
,19,13,G1,BB_97,G2,BB_018,38.3148,-123.06935,-123.06935
,,14,G1,BB_79,G1,BB_157,,,
,,15,G2,BB_200,G2,BB_083,,,
,20,16,G1,BB_104,G1,BB_185,38.31482,-123.06939,-123.06939
,,17,G2,BB_018,G1,BB_51,,,
,,18,G2,BB_046,G1,BB_3,,,
,21,19,G2,BB_153,G2,BB_114,38.3148,-123.0694,-123.0694
,,20,G1,BB_43,G2,BB_093,,,
,,21,G1,BB_120,G1,BB_121,,,
Tray 4,22,1,G2,BB_076,G1,BB_35,38.3148,-123.06955,-123.06955
,,2,G1,BB_195,G1,BB_147,,,
,,3,G2,BB_160,G1,BB_35,,,
,23,4,G1,BB_19,G2,BB_206,38.31483,-123.06957,-123.06957
,,5,G1,BB_61,G1,BB_105,,,
,,6,G1,BB_76,G2,BB_078,,,
,24,7,G1,BB_17,G2,BB_171,38.31481,-123.06961,-123.06961
,,8,G2,BB_109,G1,BB_199,,,
,,9,G1,BB_84,G1,BB_214,,,
,25,10,G1,BB_172,G2,BB_121,38.31482,-123.06959,-123.06959
,,11,G1,BB_2,G2,BB_153,,,
,,12,G1,BB_153,G2,BB_098,,,
,26,13,G2,BB_017,G1,BB_72,38.3149,-123.06961,-123.06961
