Site: Blue Oak Ranch 2023,,,,,,,,,,
Transect,Seg No.,Sequence,Tray,Row,Positions 1-5 (left),,Positions 6-10 (right),,Seg. Latidude,Seg. Longitude
1,1,1,Tray 1,1,G1,BO_104,G2,BO_061,37.38684,121.71597
1,2,2,,2,G2,BO_089,G1,BO_24,,
1,3,3,,3,G1,BO_153,G2,BO_177,,
1,4,4,,4,G1,BO_182,G1,BO_29,,
1,5,5,,5,G2,BO_200,G2,BO_151,,
1,6,6,,6,G1,BO_161,G2,BO_071,,
1,7,7,,7,G1,BO_115,G2,BO_108,,
1,8,8,,8,G1,BO_175,G1,BO_157,,
1,9,9,,9,G1,BO_200,G1,BO_56,,
1,10,10,,10,G1,BO_85,G2,BO_078,,
1,11,11,,11,G2,BO_080,G1,BO_99,,
1,12,12,,12,G2,BO_126,G1,BO_34,,
1,13,13,,13,G1,BO_139,G2,BO_045,,
1,14,14,,14,G1,BO_87,G2,BO_056,,
1,15,15,,15,G2,BO_031,G1,BO_177,,
1,16,16,,16,G2,BO_071,G2,BO_051,,
1,17,17,,17,G1,BO_189,G1,BO_43,,
1,18,18,,18,G1,BO_117,G1,BO_142,,
1,19,19,,19,G1,BO_141,G1,BO_55,,
1,20,20,,20,G1,BO_86,G2,BO_124,,
1,21,21,,21,G2,BO_091,G1,BO_178,,
1,22,22,Tray 2,1,G1,BO_195,G1,BO_190,,
1,23,23,,2,G1,BO_46,G2,BO_017,,
1,24,24,,3,G1,BO_99,G2,BO_098,,
1,25,25,,4,G1,BO_55,G1,BO_139,,
1,26,26,,5,G2,BO_155,G1,BO_37,,
1,27,27,,6,G2,BO_127,G1,BO_139,,
1,28,28,,7,G1,BO_144,G2,BO_124,,
1,29,29,,8,G2,BO_174,G2,BO_069,,
1,30,30,,9,G1,BO_89,G1,BO_28,,
1,31,31,,10,G2,BO_095,G1,BO_120,,
1,32,32,,11,G1,BO_153,G2,BO_099,,
1,33,33,,12,G1,BO_151,G1,BO_189,,
1,34,34,,13,G1,BO_1,G2,BO_132,,
1,35,35,,14,G1,BO_60,G1,BO_45,,
1,36,36,,15,G1,BO_51,G1,BO_141,,
1,37,37,,16,G1,BO_125,G1,BO_47,,
1,38,38,,17,G1,BO_100,G2,BO_127,,
1,39,39,,18,G1,BO_147,G1,BO_140,,
1,40,40,,19,G1,BO_145,G1,BO_69,37.38692,121.71625
2,1,41,,20,G1,BO_175,G1,BO_166,37.38688,121.71601
2,2,42,,21,G1,BO_66,G1,BO_148,,
2,3,43,Tray 3,1,G1,BO_189,G1,BO_151,,
2,4,44,,2,G1,BO_201,G2,BO_121,,
2,5,45,,3,G2,BO_043,G1,BO_106,,
2,6,46,,4,G2,BO_121,G2,BO_200,,
2,7,47,,5,G2,BO_095,G2,BO_118,,
2,8,48,,6,G2,BO_094,G1,BO_67,,
