rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
1,1,1L,AC_057,G1,2,AC_057-G1-001-1L-2,1,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
2,1,1R,AC_130,G2,2,AC_130-G2-001-1R-2,2,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
3,1,2L,AC_215,G2,5,AC_215-G2-001-2L-5,3,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
4,1,2R,AC_191,G2,2,AC_191-G2-001-2R-2,4,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
5,1,3L,AC_189,G2,5,AC_189-G2-001-3L-5,5,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
6,1,3R,AC_032,G1,2,AC_032-G1-001-3R-2,6,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
7,1,4L,AC_072,G1,4,AC_072-G1-001-4L-4,7,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
8,1,4R,AC_032,G2,2,AC_032-G2-001-4R-2,8,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
9,1,5L,AC_204,G1,5,AC_204-G1-001-5L-5,9,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
10,1,5R,AC_119,G1,3,AC_119-G1-001-5R-3,10,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
11,1,6L,AC_094,G2,3,AC_094-G2-001-6L-3,11,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
12,1,6R,AC_123,G1,2,AC_123-G1-001-6R-2,12,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
13,1,7L,AC_030,G1,1,AC_030-G1-001-7L-1,13,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
14,1,7R,AC_151,G2,1,AC_151-G2-001-7R-1,14,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
15,1,8L,AC_147,G2,1,AC_147-G2-001-8L-1,15,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
16,1,8R,AC_147,G1,2,AC_147-G1-001-8R-2,16,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
17,1,9L,AC_086,G1,3,AC_086-G1-001-9L-3,17,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
18,1,9R,AC_089,G1,3,AC_089-G1-001-9R-3,18,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
19,1,10L,AC_212,G2,4,AC_212-G2-001-10L-4,19,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
20,1,11L,AC_179,G1,3,AC_179-G1-001-11L-3,20,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
21,1,11R,AC_192,G2,1,AC_192-G2-001-11R-1,21,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
22,1,12L,AC_107,G2,2,AC_107-G2-001-12L-2,22,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
23,1,12R,AC_188,G2,2,AC_188-G2-001-12R-2,23,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
24,1,13L,AC_068,G1,3,AC_068-G1-001-13L-3,24,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
25,1,13R,AC_195,G2,5,AC_195-G2-001-13R-5,25,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
26,1,14R,AC_034,G1,1,AC_034-G1-001-14R-1,26,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
27,1,15L,AC_094,G2,2,AC_094-G2-001-15L-2,27,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
28,1,15R,AC_107,G2,4,AC_107-G2-001-15R-4,28,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
29,1,16L,AC_199,G2,3,AC_199-G2-001-16L-3,29,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
30,1,17R,AC_066,G2,2,AC_066-G2-001-17R-2,30,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
31,1,18L,AC_081,G1,3,AC_081-G1-001-18L-3,31,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
32,1,18R,AC_153,G1,1,AC_153-G1-001-18R-1,32,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
33,1,19R,AC_119,G1,3,AC_119-G1-001-19R-3,33,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
34,1,20R,AC_178,G1,3,AC_178-G1-001-20R-3,34,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
35,1,21L,AC_188,G1,4,AC_188-G1-001-21L-4,35,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
36,1,21R,AC_011,G2,4,AC_011-G2-001-21R-4,36,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
37,1,22R,AC_062,G2,1,AC_062-G2-001-22R-1,37,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
38,1,23R,AC_005,G2,3,AC_005-G2-001-23R-3,38,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
39,1,24L,AC_218,G1,3,AC_218-G1-001-24L-3,39,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
40,1,24R,AC_178,G1,5,AC_178-G1-001-24R-5,40,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
41,1,25L,AC_107,G1,5,AC_107-G1-001-25L-5,41,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
42,1,25R,AC_154,G1,3,AC_154-G1-001-25R-3,42,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
43,1,26R,AC_118,G2,5,AC_118-G2-001-26R-5,43,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
44,1,27R,AC_201,G2,1,AC_201-G2-001-27R-1,44,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
45,1,28L,AC_189,G1,2,AC_189-G1-001-28L-2,45,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
46,1,29L,AC_123,G1,5,AC_123-G1-001-29L-5,46,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
47,1,29R,AC_208,G1,4,AC_208-G1-001-29R-4,47,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
48,1,32R,AC_113,G2,4,AC_113-G2-001-32R-4,48,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
49,1,33L,AC_083,G2,5,AC_083-G2-001-33L-5,49,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
50,1,33R,AC_148,G1,3,AC_148-G1-001-33R-3,50,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
51,1,34R,AC_181,G2,2,AC_181-G2-001-34R-2,51,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
52,1,35L,AC_136,G2,5,AC_136-G2-001-35L-5,52,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
53,1,36L,AC_115,G2,4,AC_115-G2-001-36L-4,53,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
54,2,1L,AC_005,G2,4,AC_005-G2-002-1L-4,54,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
55,2,1R,AC_054,G1,3,AC_054-G1-002-1R-3,55,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
56,2,2L,AC_206,G2,5,AC_206-G2-002-2L-5,56,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
57,2,3L,AC_111,G2,5,AC_111-G2-002-3L-5,57,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
58,2,3R,AC_203,G1,5,AC_203-G1-002-3R-5,58,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
59,2,4L,AC_119,G2,4,AC_119-G2-002-4L-4,59,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
60,2,4R,AC_082,G2,1,AC_082-G2-002-4R-1,60,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
61,2,5L,AC_118,G2,3,AC_118-G2-002-5L-3,61,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
62,2,5R,AC_216,G1,3,AC_216-G1-002-5R-3,62,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
63,2,6L,AC_131,G1,1,AC_131-G1-002-6L-1,63,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
64,2,6R,AC_086,G2,3,AC_086-G2-002-6R-3,64,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
65,2,7L,AC_205,G1,1,AC_205-G1-002-7L-1,65,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
66,2,7R,AC_062,G2,4,AC_062-G2-002-7R-4,66,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
67,2,8R,AC_118,G1,4,AC_118-G1-002-8R-4,67,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
68,2,9L,AC_144,G1,1,AC_144-G1-002-9L-1,68,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
69,2,9R,AC_088,G1,5,AC_088-G1-002-9R-5,69,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
70,2,10L,AC_030,G1,2,AC_030-G1-002-10L-2,70,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
71,2,10R,AC_040,G2,4,AC_040-G2-002-10R-4,71,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
72,2,11L,AC_051,G1,5,AC_051-G1-002-11L-5,72,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
73,2,11R,AC_090,G1,2,AC_090-G1-002-11R-2,73,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
74,2,12R,AC_193,G2,5,AC_193-G2-002-12R-5,74,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
75,2,13L,AC_168,G2,1,AC_168-G2-002-13L-1,75,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
76,2,13R,AC_089,G1,1,AC_089-G1-002-13R-1,76,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
77,2,14L,AC_190,G2,4,AC_190-G2-002-14L-4,77,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
78,2,14R,AC_016,G2,5,AC_016-G2-002-14R-5,78,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
79,2,15R,AC_054,G1,1,AC_054-G1-002-15R-1,79,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
80,2,16R,AC_144,G2,2,AC_144-G2-002-16R-2,80,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
81,2,17L,AC_075,G2,5,AC_075-G2-002-17L-5,81,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
82,2,17R,AC_120,G1,2,AC_120-G1-002-17R-2,82,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
83,2,18L,AC_066,G2,2,AC_066-G2-002-18L-2,83,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
84,2,18R,AC_075,G1,4,AC_075-G1-002-18R-4,84,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
85,2,19L,AC_056,G1,3,AC_056-G1-002-19L-3,85,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
86,2,19R,AC_217,G2,4,AC_217-G2-002-19R-4,86,,Nemo_2023_AC_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
