rowN,Location,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
1,1,3R,BB_139,G1,3,BB_139-G1-001-3R-3,1,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
2,2,4R,BB_181,G1,5,BB_181-G1-002-4R-5,2,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
3,2,5L,BB_132,G2,3,BB_132-G2-002-5L-3,3,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
4,2,5R,BB_044,G1,2,BB_044-G1-002-5R-2,4,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
5,2,6L,BB_150,G1,5,BB_150-G1-002-6L-5,5,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
6,2,6R,BB_002,G2,3,BB_002-G2-002-6R-3,6,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
7,3,7R,BB_052,G2,4,BB_052-G2-003-7R-4,7,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
8,3,8L,BB_206,G1,3,BB_206-G1-003-8L-3,8,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
9,3,8R,BB_068,G1,4,BB_068-G1-003-8R-4,9,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
10,3,9L,BB_147,G2,5,BB_147-G2-003-9L-5,10,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
11,3,9R,BB_053,G1,5,BB_053-G1-003-9R-5,11,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
12,4,10L,BB_069,G2,5,BB_069-G2-004-10L-5,12,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
13,4,10R,BB_086,G1,1,BB_086-G1-004-10R-1,13,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
14,4,11R,BB_215,G1,5,BB_215-G1-004-11R-5,14,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
15,4,12L,BB_051,G1,5,BB_051-G1-004-12L-5,15,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
16,4,12R,BB_134,G2,1,BB_134-G2-004-12R-1,16,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
17,5,13L,BB_148,G1,3,BB_148-G1-005-13L-3,17,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
18,5,13R,BB_004,G1,1,BB_004-G1-005-13R-1,18,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
19,5,14L,BB_143,G2,1,BB_143-G2-005-14L-1,19,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
20,5,14R,BB_159,G2,5,BB_159-G2-005-14R-5,20,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
21,5,15L,BB_017,G1,1,BB_017-G1-005-15L-1,21,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
22,5,15R,BB_088,G1,3,BB_088-G1-005-15R-3,22,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
23,6,16L,BB_013,G1,4,BB_013-G1-006-16L-4,23,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
24,6,16R,BB_179,G1,1,BB_179-G1-006-16R-1,24,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
25,6,17L,BB_166,G1,2,BB_166-G1-006-17L-2,25,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
26,6,18L,BB_076,G1,1,BB_076-G1-006-18L-1,26,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
27,6,18R,BB_205A,G2,4,BB_205A-G2-006-18R-4,27,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
28,7,19L,BB_025,G1,1,BB_025-G1-007-19L-1,28,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
29,7,20L,BB_086,G1,2,BB_086-G1-007-20L-2,29,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
30,7,20R,BB_092,G1,4,BB_092-G1-007-20R-4,30,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
31,8,22R,BB_152,G1,5,BB_152-G1-008-22R-5,31,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
32,8,23L,BB_020,G1,4,BB_020-G1-008-23L-4,32,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
33,8,23R,BB_116,G2,1,BB_116-G2-008-23R-1,33,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
