rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
1,1,14L,BO_087,G1,4,BO_087-G1-001-14L-4,1,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
2,1,17L,BO_189,G1,4,BO_189-G1-001-17L-4,2,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
3,1,18R,BO_142,G1,3,BO_142-G1-001-18R-3,3,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
4,1,19R,BO_055,G1,4,BO_055-G1-001-19R-4,4,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
5,1,20R,BO_124,G2,2,BO_124-G2-001-20R-2,5,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
6,1,22R,BO_190,G1,5,BO_190-G1-001-22R-5,6,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
7,1,24L,BO_099,G1,1,BO_099-G1-001-24L-1,7,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
8,1,25L,BO_055,G1,5,BO_055-G1-001-25L-5,8,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
9,1,26R,BO_037,G1,2,BO_037-G1-001-26R-2,9,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
10,1,27R,BO_139,G1,4,BO_139-G1-001-27R-4,10,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
11,1,28R,BO_124,G2,5,BO_124-G2-001-28R-5,11,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
12,1,30L,BO_089,G1,1,BO_089-G1-001-30L-1,12,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
13,1,33L,BO_151,G1,3,BO_151-G1-001-33L-3,13,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
14,1,37L,BO_125,G1,5,BO_125-G1-001-37L-5,14,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
15,2,1L,BO_175,G1,1,BO_175-G1-002-1L-1,15,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
16,2,7L,BO_095,G2,5,BO_095-G2-002-7L-5,16,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
17,2,8L,BO_094,G2,2,BO_094-G2-002-8L-2,17,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
18,2,9L,BO_067,G1,1,BO_067-G1-002-9L-1,18,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
19,2,10R,BO_201,G2,4,BO_201-G2-002-10R-4,19,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
20,2,11R,BO_143,G1,2,BO_143-G1-002-11R-2,20,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
21,2,14L,BO_096,G1,5,BO_096-G1-002-14L-5,21,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
22,2,15L,BO_104,G1,2,BO_104-G1-002-15L-2,22,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
23,2,15R,BO_081,G1,5,BO_081-G1-002-15R-5,23,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
24,2,16R,BO_174,G1,4,BO_174-G1-002-16R-4,24,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
25,2,18R,BO_144,G1,4,BO_144-G1-002-18R-4,25,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
26,2,20L,BO_043,G1,1,BO_043-G1-002-20L-1,26,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
27,2,20R,BO_060,G2,5,BO_060-G2-002-20R-5,27,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
28,2,21L,BO_137,G1,5,BO_137-G1-002-21L-5,28,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
29,2,22L,BO_015,G2,1,BO_015-G2-002-22L-1,29,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
30,2,24R,BO_063,G1,5,BO_063-G1-002-24R-5,30,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
31,2,26L,BO_044,G1,1,BO_044-G1-002-26L-1,31,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
32,2,31L,BO_031,G1,2,BO_031-G1-002-31L-2,32,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
33,2,31R,BO_169,G2,1,BO_169-G2-002-31R-1,33,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
34,3,2R,BO_015,G1,4,BO_015-G1-003-2R-4,34,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
35,3,4R,BO_174,G1,2,BO_174-G1-003-4R-2,35,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
36,3,5L,BO_177,G1,5,BO_177-G1-003-5L-5,36,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
37,3,5R,BO_086,G1,5,BO_086-G1-003-5R-5,37,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
38,3,6R,BO_111,G1,4,BO_111-G1-003-6R-4,38,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
39,3,12L,BO_072,G2,3,BO_072-G2-003-12L-3,39,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
40,3,14L,BO_180,G1,4,BO_180-G1-003-14L-4,40,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
41,3,14R,BO_045,G1,4,BO_045-G1-003-14R-4,41,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
42,3,15L,BO_154,G2,3,BO_154-G2-003-15L-3,42,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
43,3,16L,BO_201,G2,4,BO_201-G2-003-16L-4,43,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
44,4,9L,BO_095,G1,5,BO_095-G1-004-9L-5,44,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
45,4,10L,BO_180,G1,5,BO_180-G1-004-10L-5,45,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
46,4,19L,BO_125,G1,3,BO_125-G1-004-19L-3,46,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
47,4,27L,BO_199,G1,1,BO_199-G1-004-27L-1,47,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
48,5,2L,BO_126,G1,5,BO_126-G1-005-2L-5,48,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
49,5,3L,BO_050,G2,1,BO_050-G2-005-3L-1,49,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
50,5,4R,BO_159,G1,3,BO_159-G1-005-4R-3,50,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
51,5,5R,BO_052,G2,5,BO_052-G2-005-5R-5,51,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
52,5,6L,BO_069,G2,4,BO_069-G2-005-6L-4,52,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
53,5,7R,BO_025,G2,3,BO_025-G2-005-7R-3,53,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
54,5,8L,BO_004,G1,3,BO_004-G1-005-8L-3,54,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
55,5,8R,BO_013,G1,1,BO_013-G1-005-8R-1,55,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
56,5,9L,BO_124,G1,1,BO_124-G1-005-9L-1,56,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
57,5,9R,BO_037,G2,1,BO_037-G2-005-9R-1,57,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
58,5,12L,BO_184,G1,5,BO_184-G1-005-12L-5,58,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
59,5,13L,BO_094,G2,3,BO_094-G2-005-13L-3,59,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
60,5,16R,BO_078,G1,5,BO_078-G1-005-16R-5,60,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
61,5,18L,BO_152,G1,2,BO_152-G1-005-18L-2,61,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
62,5,18R,BO_086,G2,5,BO_086-G2-005-18R-5,62,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
63,5,20L,BO_124,G1,2,BO_124-G1-005-20L-2,63,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
