rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
1,1,1L,HR_027,G2,4,HR_027-G2-001-1L-4,1,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
2,1,1R,HR_010,G1,4,HR_010-G1-001-1R-4,2,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
3,1,2L,HR_051,G1,5,HR_051-G1-001-2L-5,3,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
4,1,2R,HR_044,G2,2,HR_044-G2-001-2R-2,4,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
5,1,3L,HR_178,G2,4,HR_178-G2-001-3L-4,5,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
6,1,3R,HR_108,G2,1,HR_108-G2-001-3R-1,6,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
7,1,4L,HR_036,G1,4,HR_036-G1-001-4L-4,7,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
8,1,4R,HR_121,G2,3,HR_121-G2-001-4R-3,8,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
9,1,5R,HR_134,G1,4,HR_134-G1-001-5R-4,9,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
10,1,6L,HR_041,G2,1,HR_041-G2-001-6L-1,10,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
11,1,6R,HR_124,G2,3,HR_124-G2-001-6R-3,11,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
12,1,7R,HR_179,G1,3,HR_179-G1-001-7R-3,12,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
13,1,8L,HR_196,G1,3,HR_196-G1-001-8L-3,13,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
14,1,8R,HR_005,G1,1,HR_005-G1-001-8R-1,14,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
15,1,9L,HR_095,G1,4,HR_095-G1-001-9L-4,15,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
16,1,9R,HR_196,G2,1,HR_196-G2-001-9R-1,16,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
17,1,10L,HR_019,G1,5,HR_019-G1-001-10L-5,17,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
18,1,10R,HR_111,G2,4,HR_111-G2-001-10R-4,18,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
19,1,11L,HR_047,G1,4,HR_047-G1-001-11L-4,19,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
20,1,11R,HR_095,G1,1,HR_095-G1-001-11R-1,20,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
21,1,12L,HR_111,G1,4,HR_111-G1-001-12L-4,21,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
22,1,12R,HR_042,G1,2,HR_042-G1-001-12R-2,22,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
23,1,13L,HR_086,G2,4,HR_086-G2-001-13L-4,23,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
24,1,13R,HR_111,G2,1,HR_111-G2-001-13R-1,24,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
25,1,14L,HR_174,G2,1,HR_174-G2-001-14L-1,25,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
26,1,14R,HR_105,G1,1,HR_105-G1-001-14R-1,26,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
27,1,15L,HR_044,G2,3,HR_044-G2-001-15L-3,27,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
28,1,15R,HR_107,G2,5,HR_107-G2-001-15R-5,28,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
29,1,16L,HR_104,G1,1,HR_104-G1-001-16L-1,29,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
30,1,16R,HR_012,G2,4,HR_012-G2-001-16R-4,30,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
31,1,17L,HR_156,G2,3,HR_156-G2-001-17L-3,31,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
32,1,17R,HR_050,G2,2,HR_050-G2-001-17R-2,32,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
33,1,18L,HR_071,G1,5,HR_071-G1-001-18L-5,33,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
34,1,18R,HR_137,G1,4,HR_137-G1-001-18R-4,34,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
35,1,19L,HR_110,G2,5,HR_110-G2-001-19L-5,35,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
36,1,19R,HR_087,G1,1,HR_087-G1-001-19R-1,36,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
37,1,20L,HR_047,G1,1,HR_047-G1-001-20L-1,37,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
38,1,20R,HR_070,G2,3,HR_070-G2-001-20R-3,38,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
39,1,21R,HR_061,G2,3,HR_061-G2-001-21R-3,39,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
40,1,22L,HR_047,G1,3,HR_047-G1-001-22L-3,40,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
41,1,22R,HR_058,G1,4,HR_058-G1-001-22R-4,41,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
42,1,23L,HR_169,G2,5,HR_169-G2-001-23L-5,42,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
43,1,23R,HR_032,G2,5,HR_032-G2-001-23R-5,43,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
44,1,24R,HR_121,G2,1,HR_121-G2-001-24R-1,44,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
45,1,25L,HR_118,G2,5,HR_118-G2-001-25L-5,45,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
46,1,25R,HR_020,G2,5,HR_020-G2-001-25R-5,46,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
47,1,26L,HR_135,G1,4,HR_135-G1-001-26L-4,47,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
48,1,26R,HR_062,G2,2,HR_062-G2-001-26R-2,48,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
49,1,27L,HR_111,G1,5,HR_111-G1-001-27L-5,49,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
50,1,27R,HR_070,G1,2,HR_070-G1-001-27R-2,50,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
51,1,28R,HR_028,G2,4,HR_028-G2-001-28R-4,51,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
52,1,29L,HR_136,G1,1,HR_136-G1-001-29L-1,52,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
53,1,29R,HR_131,G1,1,HR_131-G1-001-29R-1,53,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
54,1,30L,HR_119,G1,3,HR_119-G1-001-30L-3,54,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
55,1,30R,HR_072,G2,1,HR_072-G2-001-30R-1,55,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
56,1,31R,HR_166,G2,1,HR_166-G2-001-31R-1,56,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
57,1,32L,HR_158,G1,1,HR_158-G1-001-32L-1,57,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
58,1,32R,HR_111,G1,5,HR_111-G1-001-32R-5,58,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
59,1,33L,HR_179,G2,3,HR_179-G2-001-33L-3,59,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
60,1,33R,HR_178,G1,1,HR_178-G1-001-33R-1,60,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
61,1,34L,HR_137,G2,4,HR_137-G2-001-34L-4,61,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
62,1,34R,HR_068,G1,5,HR_068-G1-001-34R-5,62,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
63,1,35L,HR_005,G2,5,HR_005-G2-001-35L-5,63,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
64,1,35R,HR_127,G2,3,HR_127-G2-001-35R-3,64,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
65,1,36L,HR_038,G2,5,HR_038-G2-001-36L-5,65,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
66,1,36R,HR_005,G2,3,HR_005-G2-001-36R-3,66,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
67,1,37R,HR_147,G1,4,HR_147-G1-001-37R-4,67,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
68,1,38L,HR_197,G1,3,HR_197-G1-001-38L-3,68,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
