Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
1,1,L,G1,AC_057,2,y,7.72,c,y
1,1,R,G2,AC_130,2,y,20.93,c,y
1,2,L,G2,AC_215,5,y,12.06,c,y
1,2,R,G2,AC_191,2,n,3.41,c,y
1,3,L,G2,AC_189,5,y,7.84,c,y
1,3,R,G1,AC_032,2,y,59.42,c,y
1,4,L,G1,AC_072,4,y,9.11,c,y
1,4,R,G2,AC_032,2,y,4.4,c,y
1,5,L,G1,AC_204,5,y,30.95,c,y
1,5,R,G1,AC_119,3,y,38.66,c,y
1,6,L,G2,AC_094,3,y,,i,y
1,6,R,G1,AC_123,2,y,60.99,c,y
1,7,L,G1,AC_030,1,y,,i,y
1,7,R,G2,AC_151,1,y,50.18,c,y
1,8,L,G2,AC_147,1,y,,i,y
1,8,R,G1,AC_147,2,y,,i,y
1,9,L,G1,AC_086,3,y,10.31,c,y
1,9,R,G1,AC_089,3,y,8.44,c,y
1,10,L,G2,AC_212,4,y,16.29,c,y
1,11,L,G1,AC_179,3,y,9.12,c,y
1,11,R,G2,AC_192,1,y,4.26,c,y
1,12,L,G2,AC_107,2,y,7.37,c,y
1,12,R,G2,AC_188,2,y,33.68,c,y
1,13,L,G1,AC_068,3,y,19.84,c,y
1,13,R,G2,AC_195,5,y,60.42,c,y
1,14,R,G1,AC_034,1,y,5.29,c,y
1,15,L,G2,AC_094,2,y,24.18,c,y
1,15,R,G2,AC_107,4,y,56.29,c,y
1,16,L,G2,AC_199,3,y,8.85,c,y
1,17,R,G2,AC_066,2,y,2.48,c,y
1,18,L,G1,AC_081,3,y,5.22,c,y
1,18,R,G1,AC_153,1,y,5.77,c,y
1,19,L,G2,AC_155,1,missing,,,
1,19,R,G1,AC_119,3,y,5.07,c,y
1,20,L,G2,AC_213,3,missing,,,
1,20,R,G1,AC_178,3,y,2.77,c,y
1,21,L,G1,AC_188,4,y,,i,y
1,21,R,G2,AC_011,4,y,3.91,c,y
1,22,L,G1,AC_133,1,missing,,,
1,22,R,G2,AC_062,1,y,,i,y
1,23,L,G2,AC_130,5,missing,,,
1,23,R,G2,AC_005,3,y,53.28,c,y
1,24,L,G1,AC_218,3,y,29.66,c,y
1,24,R,G1,AC_178,5,y,39.96,c,y
1,25,L,G1,AC_107,5,y,51.7,c,y
1,25,R,G1,AC_154,3,y,2.16,c,y
1,26,L,G1,AC_086,2,missing,,,
1,26,R,G2,AC_118,5,y,10.43,c,y
1,27,L,G2,AC_015,2,y,,i,n
1,27,R,G2,AC_201,1,y,3.4,c,y
1,28,L,G1,AC_189,2,y,23.38,c,y
1,29,L,G1,AC_123,5,y,,i,y
1,29,R,G1,AC_208,4,y,2.42,c,y
1,30,L,G1,AC_119,5,missing,,,
1,31,L,G2,AC_040,5,missing,,,
1,32,R,G2,AC_113,4,y,7.22,c,y
1,33,L,G2,AC_083,5,y,34.02,c,y
1,33,R,G1,AC_148,3,y,12.42,c,y
1,34,R,G2,AC_181,2,y,52.91,c,y
1,35,L,G2,AC_136,5,y,7.36,c,y
