Location,Sequence (1-meter Segment),side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
1,3,R,G1,BB_139,3,y,1129.00,c,y
2,4,R,G1,BB_181,5,y,83.40,c,y
2,5,L,G2,BB_132,3,y,73.86,c,y
2,5,R,G1,BB_044,2,y,16.84,c,y
2,6,L,G1,BB_150,5,y,,i,y
2,6,R,G2,BB_002,3,y,80.17,c,y
3,7,R,G2,BB_052,4,y,,i,y
3,8,L,G1,BB_206,3,y,33.31,c,y
3,8,R,G1,BB_068,4,y,67.46,c,y
3,9,L,G2,BB_147,5,y,35.92,c,y
3,9,R,G1,BB_053,5,y,75.96,c,y
4,10,L,G2,BB_069,5,y,30.34,c,y
4,10,R,G1,BB_086,1,y,33.40,c,y
4,11,R,G1,BB_215,5,y,65.31,c,y
4,12,L,G1,BB_051,5,y,30.19,c,y
4,12,R,G2,BB_134,1,y,30.83,c,y
5,13,L,G1,BB_148,3,y,65.51,c,y
5,13,R,G1,BB_004,1,n,,i,y
5,14,L,G2,BB_143,1,y,39.69,c,y
5,14,R,G2,BB_159,5,y,51.75,c,y
5,15,L,G1,BB_017,1,y,143.62,c,y
5,15,R,G1,BB_088,3,y,395.27,c,y
6,16,L,G1,BB_013,4,y,43.08,c,y
6,16,R,G1,BB_179,1,y,143.67,c,y
6,17,L,G1,BB_166,2,y,259.60,c,y
6,18,L,G1,BB_076,1,y,90.33,c,y
6,18,R,G2,BB_205A,4,y,,i,y
7,19,L,G1,BB_025,1,y,31.66,c,y
7,20,L,G1,BB_086,2,y,62.41,c,y
7,20,R,G1,BB_092,4,y,29.03,i,y
8,22,R,G1,BB_152,5,y,19.36,c,y
8,23,L,G1,BB_020,4,y,355.36,c,y
8,23,R,G2,BB_116,1,y,292.05,c,y
8,24,L,G2,BB_019,2,y,,i,y
8,24,R,G1,BB_195,2,y,443.54,c,y
9,25,L,G1,BB_190,3,y,9.11,i,y
9,25,R,G1,BB_029,4,y,124.67,i,y
9,26,L,G1,BB_010,1,y,27.02,i,y
9,26,R,G1,BB_181,1,y,10.99,c,y
9,27,L,G2,BB_132,2,y,407.71,i,y
9,27,R,G1,BB_020,1,y,343.14,c,y
10,28,L,G2,BB_149,2,y,429.81,c,y
10,28,R,G2,BB_029,1,y,67.20,c,y
10,29,L,G1,BB_029,5,y,153.37,c,y
10,29,R,G1,BB_135,1,y,115.73,c,y
10,30,L,G2,BB_039,4,y,63.76,c,y
10,30,R,G1,BB_094,4,missing?,,,
11,31,L,G1,BB_159,3,y,391.84,c,y
11,31,R,G1,BB_063,3,y,379.75,c,y
11,32,L,G1,BB_192,5,missing?,,,
11,32,R,G1,BB_004,5,y,118.06,c,y
11,33,L,G1,BB_088,2,y,726.72,c,y
11,33,R,G1,BB_045,1,missing?,,,
12,34,L,G2,BB_058,2,y,1187.69,c,y
12,34,R,G1,BB_172,5,y,,i,y
12,35,L,G1,BB_103,3,y,274.36,c,y
