Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
1,14,L,G1,BO_087,4,y,22.55,c,y
1,15,R,G1,BO_177,2,y,,i,n
1,17,L,G1,BO_189,4,y,,i,y
1,18,R,G1,BO_142,3,y,,i,y
1,19,R,G1,BO_055,4,y,29.05,c,y
1,20,R,G2,BO_124,2,y,,i,y
1,21,L,G2,BO_091,1,y,,i,n
1,22,R,G1,BO_190,5,y,33.18,c,y
1,24,L,G1,BO_099,1,y,6.78,c,y
1,25,L,G1,BO_055,5,y,4.56,c,y
1,26,R,G1,BO_037,2,y,,i,y
1,27,R,G1,BO_139,4,y,,i,y
1,28,L,G1,BO_144,1,y,,i,n
1,28,R,G2,BO_124,5,y,,i,y
1,30,L,G1,BO_089,1,y,55.84,c,y
1,33,L,G1,BO_151,3,y,33.43,c,y
1,35,L,G1,BO_060,1,y,,i,n
1,37,L,G1,BO_125,5,y,20.6,c,y
1,39,R,G1,BO_140,5,missing?,,,
2,1,L,G1,BO_175,1,y,53.9,c,y
2,7,L,G2,BO_095,5,y,,i,y
2,8,L,G2,BO_094,2,y,,i,y
2,8,R,G1,BO_067,1,missing?,,,
2,9,L,G1,BO_067,1,y,19.02,c,y
2,10,R,G2,BO_201,4,y,2.04,c,y
2,11,R,G1,BO_143,2,y,3.31,c,y
2,12,R,G1,BO_081,3,missing?,,,
2,14,L,G1,BO_096,5,y,3.39,c,y
2,15,L,G1,BO_104,2,y,,i,y
2,15,R,G1,BO_081,5,y,12.87,c,y
2,16,R,G1,BO_174,4,y,,i,y
2,18,R,G1,BO_144,4,y,,i,y
2,20,L,G1,BO_043,1,y,7.38,c,y
2,20,R,G2,BO_060,5,y,40.32,c,y
2,21,L,G1,BO_137,5,y,,i,y
2,22,L,G2,BO_015,1,y,11.43,c,y
2,24,R,G1,BO_063,5,y,,i,y
2,26,L,G1,BO_044,1,y,173.75,c,y
2,29,L,G1,BO_031,1,missing?,,,
2,31,L,G1,BO_031,2,y,,i,y
2,31,R,G2,BO_169,1,y,12.2,c,y
3,2,R,G1,BO_015,4,y,22.34,c,y
3,4,R,G1,BO_174,2,y,10.4,c,y 
3,5,L,G1,BO_177,5,y,7.7,c,y
3,5,R,G1,BO_086,5,y,25.15,c,y
3,6,R,G1,BO_111,4,y,71.88,c,y
3,12,L,G2,BO_072,3,y,10.49,c,y
3,14,L,G1,BO_180,4,y,22.16,c,y
3,14,R,G1,BO_045,4,y,23.6,c,y
3,15,L,G2,BO_154,3,y,6.74,c,y
3,16,L,G2,BO_201,4,y,,i,y
4,9,L,G1,BO_095,5,y,,i,y
4,10,L,G1,BO_180,5,y,,i,y
4,19,L,G1,BO_125,3,y,,i,y
4,27,L,G1,BO_199,1,y,35.57,c,y
5,2,L,G1,BO_126,5,y,,i,y
5,3,L,G2,BO_050,1,y,,i,y
5,4,R,G1,BO_159,3,y,4.25,i,y
5,5,R,G2,BO_052,5,y,74.5,c,y
5,6,L,G2,BO_069,4,y,13.23,c,y
5,6,R,G2,BO_008,5,y,1.07,c,n
5,7,R,G2,BO_025,3,y,8.4,c,y
5,8,L,G1,BO_004,3,y,12.15,c,y
5,8,R,G1,BO_013,1,y,7.15,c,y
5,9,L,G1,BO_124,1,y,5.06,c,y
5,9,R,G2,BO_037,1,y,4.32,i,y
5,12,L,G1,BO_184,5,y,3.1,c,y
5,13,L,G2,BO_094,3,y,32,c,y
5,14,L,G1,BO_094,3,missing?,,,
5,16,L,G1,BO_169,3,missing?,,,
5,16,R,G1,BO_078,5,y,4.95,i,y
5,18,L,G1,BO_152,2,y,51.84,c,y
5,18,R,G2,BO_086,5,y,,i,y
5,20,L,G1,BO_124,2,y,87.89,c,y
5,22,L,G1,BO_019,3,y,,i,y
5,23,L,G1,BO_177,5,missing?,,,
5,25,L,G1,BO_031,5,missing?,,,
5,29,L,G1,BO_001,5,missing?,,,
5,32,R,G2,BO_108,5,y,2.09,c,y
5,34,L,G2,BO_125,2,missing?,,,
5,34,R,G2,BO_146,3,missing?,,,
6,1,R,G1,BO_185,3,y,86.68,c,y
6,2,L,G1,BO_056,5,y,5.37,c,y
6,2,R,G2,BO_067,1,y,21.3,c,y
6,3,L,G1,BO_022,1,y,15.87,c,y
6,3,R,G1,BO_089,5,y,12.11,c,y
6,4,L,G1,BO_158,1,y,17.61,c,y
6,4,R,G1,BO_182,5,y,9.98,c,y
6,5,L,G1,BO_131,3,y,,i,y
6,7,L,G2,BO_191,1,y,1.59,i,y
6,8,L,G2,BO_072,1,y,4.24,c,y
6,8,R,G1,BO_121,2,y,140.1,c,y
6,9,L,G1,BO_166,1,y,6.33,c,y
6,9,R,G1,BO_087,4,y,7.41,c,y
6,11,L,G2,BO_015,2,missing?,,,
6,11,R,G2,BO_001,3,y,,i,y
6,12,L,G1,BO_145,2,y,16.26,c,y
6,12,R,G1,BO_158,4,y,5.65,c,y
6,13,L,G1,BO_199,1,y,75.38,c,y
6,13,R,G2,BO_060,3,y,4.87,c,y
6,14,R,G2,BO_130,4,missing?,,,
6,16,L,G1,BO_027,3,y,54.23,c,y
6,17,L,G1,BO_201,1,missing?,,,
6,18,R,G1,BO_048,3,y,,i,y
6,19,L,G1,BO_069,1,missing?,,,
6,19,R,G2,BO_048,3,y,0.89,i,n
6,20,L,G1,BO_117,4,y,5.78,c,y
6,20,R,G1,BO_071,4,y,6.41,c,y
6,21,L,G2,BO_034,5,y,2.23,i,y
6,22,L,G2,BO_052,5,y,23.19,c,y
6,22,R,G2,BO_031,3,y,,i,y
6,23,R,G1,BO_140,3,y,8.59,c,y
6,25,L,G2,BO_018,2,y,8.99,c,y
6,25,R,G2,BO_021,5,y,32.97,c,y
6,26,L,G2,BO_190,1,y,,i,n
6,27,L,G1,BO_120,4,y,3,c,y
6,27,R,G1,BO_029,5,missing?,,,
6,29,R,G2,BO_086,2,y,5.88,c,y
6,30,L,G1,BO_019,5,y,4.21,i,y
6,31,L,G1,BO_161,5,y,39.06,c,y
6,31,R,G2,BO_099,1,y,8.89,i,y
7,1,L,G2,BO_115,5,y,39.59,c,y
7,1,R,G2,BO_176,4,y,33.58,c,y
7,2,R,G2,BO_089,5,y,28.12,c,y
7,3,L,G1,BO_085,5,y,,i,y
7,5,L,G1,BO_050,3,y,6.3,c,y
7,5,R,G1,BO_116,1,y,28.4,c,y
7,6,L,G1,BO_155,5,y,36.36,c,y
7,7,L,G1,BO_099,1,missing?,,,
7,8,L,G2,BO_034,1,y,,i,y
7,8,R,G1,BO_043,2,y,24.57,c,y
7,9,L,G1,BO_048,5,y,20.73,c,y
7,10,L,G1,BO_012,1,y,7.96,c,y
7,12,L,G2,BO_164,1,y,16.9,c,y
7,12,R,G1,BO_150,4,y,49.39,c,y
7,13,L,G2,BO_126,3,y,12.81,c,y
7,15,L,G1,BO_050,4,y,6.34,c,y
7,15,R,G1,BO_198,2,y,17.05,c,y
7,16,L,G1,BO_094,3,y,2.33,i,y
7,19,R,G1,BO_024,5,y,11.48,c,y
7,20,L,G1,BO_053,5,y,4.61,c,y
7,20,R,G2,BO_071,5,y,16.86,c,y
7,21,L,G2,BO_021,4,y,20.34,c,y
7,24,R,G2,BO_164,2,y,,i,n
7,25,R,G1,BO_118,1,missing?,,,
7,26,R,G1,BO_146,5,y,15.82,c,y
8,1,R,G1,BO_157,4,y,,i,y
8,2,R,G2,BO_080,3,y,,i,y
8,3,L,G2,BO_027,5,y,,i,y
8,4,L,G2,BO_008,1,y,23.8,c,y
8,4,R,G1,BO_087,1,y,33.65,c,y
8,5,L,G1,BO_027,3,y,10.61,c,y
8,5,R,G2,BO_169,1,y,,i,y
8,6,L,G1,BO_122,1,y,11.6,c,y
8,6,R,G1,BO_115,2,y,17.36,c,y
8,7,L,G2,BO_169,3,missing?,,,
8,7,R,G1,BO_122,2,y,20.3,i,y
8,8,L,G2,BO_056,2,y,10.45,c,y
8,9,L,G1,BO_082,2,y,13.8,i,y
8,9,R,G1,BO_028,2,y,14.77,c,y
8,10,L,G1,BO_140,1,y,,i,n
8,11,L,G2,BO_090,1,y,1.32,i,y
