Block,Transect,Recipient,Plant_ID,leaf_area_mm2,area_notes,leaf_dry_weight_mg,weight_notes
1,1,AC_015,,,,,
1,1,AC_046,,,,,
1,1,AC_048,,,,,
1,1,AC_055,,,,,
1,1,AC_056,,,,,
1,1,AC_057,,,,,
1,1,AC_058,,,,,
1,1,AC_062,,,,,
1,1,AC_066,,,,,
1,1,AC_070,,,,,
1,1,AC_074,,,,,
1,1,AC_086,,,,,
1,1,AC_088,,,,,
1,1,AC_089,,,,,
1,1,AC_096,,,,,
1,1,AC_097,,,,,
1,1,AC_107,,,,,
1,1,AC_109,,,,,
1,1,AC_110,,,,,
1,1,AC_120,,,,,
1,1,AC_128,,,,,
1,1,AC_130,,,,,
1,1,AC_131,,,,,
1,1,AC_136,,,,,
1,1,AC_151,,,,,
1,1,AC_168,,,,,
1,1,AC_181,,,,,
1,1,AC_185,,,,,
1,1,AC_189,,,,,
1,1,AC_190,,,,,
1,1,AC_191,,,,,
1,1,AC_193,,,,,
1,1,AC_200,,,,,
1,1,AC_203,,,,,
1,1,AC_205,,,,,
1,1,AC_218,,,,,
1,2,AC_011,,,,,
1,2,AC_014,,,,,
1,2,AC_030,,,,,
1,2,AC_034,,,,,
1,2,AC_038,,,,,
1,2,AC_052,,,,,
1,2,AC_054,,,,,
1,2,AC_068,,,,,
1,2,AC_072,,,,,
1,2,AC_082,,,,,
1,2,AC_083,,,,,
1,2,AC_094,,,,,
1,2,AC_104,,,,,
1,2,AC_114,,,,,
1,2,AC_118,,,,,
1,2,AC_123,,,,,
1,2,AC_142,,,,,
1,2,AC_143,,,,,
1,2,AC_144,,,,,
1,2,AC_148,,,,,
1,2,AC_152,,,,,
1,2,AC_153,,,,,
1,2,AC_158,,,,,
1,2,AC_159,,,,,
1,2,AC_171,,,,,
1,2,AC_172,,,,,
1,2,AC_178,,,,,
1,2,AC_182,,,,,
1,2,AC_186,,,,,
1,2,AC_195,,,,,
1,2,AC_199,,,,,
1,2,AC_204,,,,,
1,2,AC_206,,,,,
1,2,AC_211,,,,,
1,2,AC_213,,,,,
1,2,AC_215,,,,,
1,3,AC_005,,,,,
1,3,AC_010,,,,,
1,3,AC_016,,,,,
1,3,AC_017,,,,,
1,3,AC_032,,,,,
1,3,AC_040,,,,,
1,3,AC_051,,,,,
1,3,AC_064,,,,,
1,3,AC_075,,,,,
1,3,AC_081,,,,,
1,3,AC_090,,,,,
1,3,AC_092,,,,,
1,3,AC_095,,,,,
1,3,AC_099,,,,,
1,3,AC_100,,,,,
1,3,AC_111,,,,,
1,3,AC_113,,,,,
1,3,AC_115,,,,,
1,3,AC_119,,,,,
1,3,AC_122,,,,,
1,3,AC_133,,,,,
1,3,AC_147,,,,,
1,3,AC_154,,,,,
1,3,AC_155,,,,,
1,3,AC_160,,,,,
1,3,AC_179,,,,,
1,3,AC_187,,,,,
1,3,AC_188,,,,,
1,3,AC_192,,,,,
1,3,AC_197,,,,,
1,3,AC_201,,,,,
1,3,AC_208,,,,,
1,3,AC_212,,,,,
1,3,AC_216,,,,,
1,3,AC_217,,,,,
2,4,AC_010,,,,,
2,4,AC_014,,,,,
2,4,AC_016,,,,,
2,4,AC_032,,,,,
2,4,AC_034,,,,,
2,4,AC_040,,,,,
2,4,AC_046,,,,,
2,4,AC_055,,,,,
2,4,AC_058,,,,,
2,4,AC_070,,,,,
2,4,AC_072,,,,,
2,4,AC_083,,,,,
2,4,AC_088,,,,,
2,4,AC_092,,,,,
2,4,AC_109,,,,,
2,4,AC_113,,,,,
2,4,AC_115,,,,,
2,4,AC_118,,,,,
2,4,AC_119,,,,,
2,4,AC_130,,,,,
2,4,AC_144,,,,,
2,4,AC_148,,,,,
2,4,AC_151,,,,,
2,4,AC_152,,,,,
2,4,AC_154,,,,,
2,4,AC_158,,,,,
2,4,AC_171,,,,,
2,4,AC_178,,,,,
2,4,AC_179,,,,,
2,4,AC_182,,,,,
2,4,AC_185,,,,,
2,4,AC_197,,,,,
2,4,AC_203,,,,,
2,4,AC_204,,,,,
2,4,AC_206,,,,,
2,4,AC_215,,,,,
2,5,AC_005,,,,,
2,5,AC_017,,,,,
2,5,AC_048,,,,,
2,5,AC_054,,,,,
2,5,AC_056,,,,,
2,5,AC_062,,,,,
2,5,AC_064,,,,,
2,5,AC_082,,,,,
2,5,AC_086,,,,,
2,5,AC_089,,,,,
2,5,AC_090,,,,,
2,5,AC_096,,,,,
2,5,AC_097,,,,,
2,5,AC_100,,,,,
2,5,AC_110,,,,,
2,5,AC_111,,,,,
2,5,AC_122,,,,,
2,5,AC_123,,,,,
2,5,AC_128,,,,,
2,5,AC_131,,,,,
2,5,AC_136,,,,,
2,5,AC_143,,,,,
2,5,AC_147,,,,,
2,5,AC_155,,,,,
2,5,AC_159,,,,,
2,5,AC_172,,,,,
2,5,AC_186,,,,,
2,5,AC_192,,,,,
2,5,AC_200,,,,,
2,5,AC_201,,,,,
2,5,AC_211,,,,,
2,5,AC_212,,,,,
2,5,AC_213,,,,,
2,5,AC_216,,,,,
2,5,AC_217,,,,,
2,5,AC_218,,,,,
2,6,AC_011,,,,,
2,6,AC_015,,,,,
2,6,AC_030,,,,,
2,6,AC_038,,,,,
2,6,AC_051,,,,,
2,6,AC_052,,,,,
2,6,AC_057,,,,,
2,6,AC_066,,,,,
2,6,AC_068,,,,,
2,6,AC_074,,,,,
2,6,AC_075,,,,,
2,6,AC_081,,,,,
2,6,AC_094,,,,,
2,6,AC_095,,,,,
2,6,AC_099,,,,,
2,6,AC_104,,,,,
2,6,AC_107,,,,,
2,6,AC_114,,,,,
2,6,AC_120,,,,,
2,6,AC_133,,,,,
2,6,AC_142,,,,,
2,6,AC_153,,,,,
2,6,AC_160,,,,,
2,6,AC_168,,,,,
2,6,AC_181,,,,,
2,6,AC_187,,,,,
2,6,AC_188,,,,,
2,6,AC_189,,,,,
2,6,AC_190,,,,,
2,6,AC_191,,,,,
2,6,AC_193,,,,,
2,6,AC_195,,,,,
2,6,AC_199,,,,,
2,6,AC_205,,,,,
2,6,AC_208,,,,,
3,7,AC_017,,,,,
3,7,AC_032,,,,,
3,7,AC_038,,,,,
3,7,AC_040,,,,,
3,7,AC_046,,,,,
3,7,AC_048,,,,,
3,7,AC_054,,,,,
3,7,AC_058,,,,,
3,7,AC_062,,,,,
3,7,AC_068,,,,,
3,7,AC_072,,,,,
3,7,AC_074,,,,,
3,7,AC_081,,,,,
3,7,AC_094,,,,,
3,7,AC_097,,,,,
3,7,AC_100,,,,,
3,7,AC_104,,,,,
3,7,AC_107,,,,,
3,7,AC_111,,,,,
3,7,AC_113,,,,,
3,7,AC_120,,,,,
3,7,AC_122,,,,,
3,7,AC_128,,,,,
3,7,AC_130,,,,,
3,7,AC_143,,,,,
3,7,AC_160,,,,,
3,7,AC_171,,,,,
3,7,AC_172,,,,,
3,7,AC_178,,,,,
3,7,AC_186,,,,,
3,7,AC_190,,,,,
3,7,AC_193,,,,,
3,7,AC_201,,,,,
3,7,AC_203,,,,,
3,7,AC_215,,,,,
3,7,AC_217,,,,,
3,8,AC_005,,,,,
3,8,AC_010,,,,,
3,8,AC_014,,,,,
3,8,AC_015,,,,,
3,8,AC_016,,,,,
3,8,AC_051,,,,,
3,8,AC_052,,,,,
3,8,AC_056,,,,,
3,8,AC_066,,,,,
3,8,AC_070,,,,,
3,8,AC_082,,,,,
3,8,AC_086,,,,,
3,8,AC_088,,,,,
3,8,AC_092,,,,,
3,8,AC_114,,,,,
