Block,Location,Recipient,Plant_ID,leaf_area_mm2,area_notes,leaf_dry_weight_mg,weight_notes
1,1,BB_170,,,,,
1,1,BB_206,,,,,
1,2,BB_085,,,,,
1,2,BB_179,,,,,
1,3,BB_003,,,,,
1,3,BB_010,,,,,
1,3,BB_109,,,,,
1,4,BB_143,,,,,
1,4,BB_161,,,,,
1,4,BB_214,,,,,
1,5,BB_013,,,,,
1,5,BB_020,,,,,
1,5,BB_069,,,,,
1,5,BB_114,,,,,
1,6,BB_104,,,,,
1,6,BB_193,,,,,
1,6,BB_195,,,,,
1,7,BB_027,,,,,
1,7,BB_186,,,,,
1,7,BB_201,,,,,
1,8,BB_137,,,,,
1,8,BB_207,,,,,
1,8,BB_218,,,,,
1,9,BB_009,,,,,
1,9,BB_017,,,,,
1,9,BB_189,,,,,
1,10,BB_021,,,,,
1,10,BB_032,,,,,
1,10,BB_058,,,,,
1,10,BB_187,,,,,
1,11,BB_060,,,,,
1,11,BB_093,,,,,
1,12,BB_018,,,,,
1,12,BB_068,,,,,
1,13,BB_029,,,,,
1,13,BB_045,,,,,
1,13,BB_131,,,,,
1,14,BB_083,,,,,
1,14,BB_116,,,,,
1,14,BB_172,,,,,
1,15,BB_019,,,,,
1,15,BB_061,,,,,
1,16,BB_166,,,,,
1,16,BB_210,,,,,
1,17,BB_034,,,,,
1,17,BB_098,,,,,
1,17,BB_146,,,,,
1,18,BB_052,,,,,
1,18,BB_101,,,,,
1,19,BB_117,,,,,
1,19,BB_134,,,,,
1,19,BB_209,,,,,
1,20,BB_048,,,,,
1,20,BB_150,,,,,
1,20,BB_164,,,,,
1,21,BB_004,,,,,
1,21,BB_110,,,,,
1,21,BB_160,,,,,
1,22,BB_084,,,,,
1,22,BB_149,,,,,
1,22,BB_215,,,,,
1,23,BB_007,,,,,
1,23,BB_044,,,,,
1,23,BB_103,,,,,
1,24,BB_199,,,,,
1,24,BB_200,,,,,
1,24,BB_211,,,,,
1,25,BB_094,,,,,
1,25,BB_113,,,,,
1,25,BB_171,,,,,
1,26,BB_025,,,,,
1,26,BB_059,,,,,
1,26,BB_185,,,,,
1,27,BB_070,,,,,
1,27,BB_092,,,,,
1,27,BB_097,,,,,
1,28,BB_076,,,,,
1,28,BB_123,,,,,
1,28,BB_163,,,,,
1,29,BB_081,,,,,
1,29,BB_135,,,,,
1,31,BB_095,,,,,
1,31,BB_133,,,,,
1,31,BB_154,,,,,
1,32,BB_008,,,,,
1,32,BB_064,,,,,
1,33,BB_147,,,,,
1,33,BB_159,,,,,
1,33,BB_205_A,,,,,
1,34,BB_046,,,,,
1,34,BB_053,,,,,
1,34,BB_102,,,,,
1,35,BB_002,,,,,
1,36,BB_072,,,,,
1,36,BB_151,,,,,
1,36,BB_204,,,,,
1,37,BB_050,,,,,
1,37,BB_121,,,,,
1,37,BB_132,,,,,
1,38,BB_089,,,,,
1,38,BB_126,,,,,
1,38,BB_139,,,,,
1,39,BB_039,,,,,
1,39,BB_105,,,,,
1,39,BB_145,,,,,
1,41,BB_037,,,,,
1,41,BB_190,,,,,
1,42,BB_111,,,,,
1,42,BB_138,,,,,
1,43,BB_035,,,,,
1,43,BB_054,,,,,
1,43,BB_087,,,,,
1,44,BB_040,,,,,
1,44,BB_152,,,,,
1,44,BB_208,,,,,
1,45,BB_074,,,,,
1,45,BB_192,,,,,
1,46,BB_024,,,,,
1,46,BB_153,,,,,
1,47,BB_030,,,,,
1,47,BB_031,,,,,
1,47,BB_049,,,,,
1,48,BB_157,,,,,
1,49,BB_088,,,,,
1,49,BB_119,,,,,
1,51,BB_080,,,,,
1,51,BB_140,,,,,
1,51,BB_158,,,,,
1,52,BB_016,,,,,
1,52,BB_051,,,,,
1,52,BB_216,,,,,
1,53,BB_056,,,,,
1,53,BB_078,,,,,
1,53,BB_118,,,,,
1,54,BB_042,,,,,
1,54,BB_120,,,,,
1,55,BB_086,,,,,
2,56,BB_016,,,,,
2,57,BB_092,,,,,
2,57,BB_111,,,,,
2,57,BB_120,,,,,
2,58,BB_050,,,,,
2,58,BB_127,,,,,
2,58,BB_153,,,,,
2,59,BB_056,,,,,
2,59,BB_133,,,,,
2,59,BB_143,,,,,
2,61,BB_078,,,,,
2,61,BB_147,,,,,
2,62,BB_061,,,,,
2,62,BB_214,,,,,
2,63,BB_083,,,,,
2,63,BB_114,,,,,
2,63,BB_171,,,,,
2,64,BB_051,,,,,
2,65,BB_052,,,,,
2,65,BB_150,,,,,
2,67,BB_164,,,,,
2,68,BB_218,,,,,
2,69,BB_081,,,,,
2,69,BB_199,,,,,
2,71,BB_008,,,,,
2,71,BB_146,,,,,
2,71,BB_210,,,,,
2,72,BB_068,,,,,
2,72,BB_119,,,,,
2,72,BB_195,,,,,
2,73,BB_024,,,,,
2,73,BB_045,,,,,
2,73,BB_216,,,,,
2,74,BB_064,,,,,
2,74,BB_157,,,,,
2,75,BB_031,,,,,
2,75,BB_095,,,,,
2,76,BB_053,,,,,
2,76,BB_161,,,,,
2,77,BB_032,,,,,
2,77,BB_104,,,,,
2,77,BB_151,,,,,
2,78,BB_009,,,,,
2,78,BB_209,,,,,
2,79,BB_072,,,,,
2,79,BB_076,,,,,
2,79,BB_105,,,,,
2,80,BB_019,,,,,
2,80,BB_145,,,,,
2,80,BB_207,,,,,
2,81,BB_113,,,,,
2,81,BB_159,,,,,
2,82,BB_025,,,,,
2,82,BB_131,,,,,
2,83,BB_039,,,,,
2,83,BB_093,,,,,
2,83,BB_102,,,,,
2,83,BB_109,,,,,
2,84,BB_186,,,,,
2,84,BB_187,,,,,
2,85,BB_002,,,,,
2,85,BB_029,,,,,
2,85,BB_079,,,,,
2,85,BB_193,,,,,
2,86,BB_077,,,,,
2,86,BB_103,,,,,
2,86,BB_179,,,,,
2,86,BB_189,,,,,
2,87,BB_087,,,,,
2,87,BB_126,,,,,
2,87,BB_137,,,,,
2,87,BB_206,,,,,
2,88,BB_017,,,,,
2,88,BB_116,,,,,
2,88,BB_149,,,,,
2,91,BB_007,,,,,
2,91,BB_049,,,,,
2,92,BB_010,,,,,
2,92,BB_080,,,,,
2,92,BB_160,,,,,
2,93,BB_138,,,,,
2,94,BB_013,,,,,
2,94,BB_094,,,,,
2,95,BB_063,,,,,
2,96,BB_044,,,,,
2,96,BB_200,,,,,
2,97,BB_060,,,,,
2,97,BB_071,,,,,
2,98,BB_086,,,,,
2,98,BB_110,,,,,
2,99,BB_035,,,,,
2,99,BB_059,,,,,
2,99,BB_192,,,,,
2,99,BB_205_A,,,,,
2,101,BB_021,,,,,
2,102,BB_183,,,,,
2,103,BB_030,,,,,
2,103,BB_054,,,,,
2,103,BB_181,,,,,
2,103,BB_215,,,,,
2,104,BB_046,,,,,
2,104,BB_048,,,,,
2,104,BB_170,,,,,
2,105,BB_123,,,,,
3,106,BB_071,,,,,
3,106,BB_103,,,,,
3,107,BB_020,,,,,
3,108,BB_186,,,,,
3,108,BB_204,,,,,
3,109,BB_024,,,,,
3,109,BB_087,,,,,
3,109,BB_097,,,,,
3,111,BB_027,,,,,
3,111,BB_069,,,,,
3,111,BB_127,,,,,
3,112,BB_151,,,,,
3,112,BB_161,,,,,
3,112,BB_218,,,,,
3,113,BB_030,,,,,
3,113,BB_118,,,,,
3,113,BB_201,,,,,
3,114,BB_032,,,,,
3,114,BB_035,,,,,
3,115,BB_077,,,,,
3,115,BB_214,,,,,
3,116,BB_064,,,,,
3,116,BB_078,,,,,
3,116,BB_149,,,,,
3,117,BB_092,,,,,
3,117,BB_098,,,,,
3,117,BB_190,,,,,
3,118,BB_002,,,,,
3,118,BB_034,,,,,
3,118,BB_207,,,,,
3,119,BB_086,,,,,
3,119,BB_143,,,,,
3,119,BB_189,,,,,
3,121,BB_088,,,,,
3,121,BB_109,,,,,
3,121,BB_123,,,,,
3,121,BB_134,,,,,
3,122,BB_021,,,,,
3,122,BB_120,,,,,
3,122,BB_152,,,,,
3,123,BB_003,,,,,
3,123,BB_010,,,,,
3,123,BB_018,,,,,
3,124,BB_042,,,,,
3,124,BB_074,,,,,
3,124,BB_193,,,,,
3,124,BB_195,,,,,
3,125,BB_044,,,,,
3,125,BB_049,,,,,
3,125,BB_131,,,,,
3,126,BB_013,,,,,
3,126,BB_117,,,,,
3,126,BB_172,,,,,
3,127,BB_060,,,,,
3,127,BB_080,,,,,
3,127,BB_206,,,,,
3,128,BB_016,,,,,
3,128,BB_153,,,,,
3,128,BB_183,,,,,
3,129,BB_058,,,,,
3,129,BB_089,,,,,
3,129,BB_137,,,,,
3,131,BB_019,,,,,
3,131,BB_084,,,,,
3,131,BB_170,,,,,
3,131,BB_199,,,,,
3,132,BB_063,,,,,
3,132,BB_079,,,,,
3,133,BB_053,,,,,
