Block,Transect,Recipient,Plant_ID,leaf_area_mm2,area_notes,leaf_dry_weight_mg,weight_notes
1,1,BO_004,,,,,
1,1,BO_008,,,,,
1,1,BO_012,,,,,
1,1,BO_019,,,,,
1,1,BO_021,,,,,
1,1,BO_024,,,,,
1,1,BO_029,,,,,
1,1,BO_045,,,,,
1,1,BO_047,,,,,
1,1,BO_048,,,,,
1,1,BO_060,,,,,
1,1,BO_066,,,,,
1,1,BO_080,,,,,
1,1,BO_082,,,,,
1,1,BO_094,,,,,
1,1,BO_098,,,,,
1,1,BO_099,,,,,
1,1,BO_104,,,,,
1,1,BO_115,,,,,
1,1,BO_117,,,,,
1,1,BO_118,,,,,
1,1,BO_120,,,,,
1,1,BO_121,,,,,
1,1,BO_127,,,,,
1,1,BO_130,,,,,
1,1,BO_137,,,,,
1,1,BO_139,,,,,
1,1,BO_141,,,,,
1,1,BO_149,,,,,
1,1,BO_155,,,,,
1,1,BO_166,,,,,
1,1,BO_175,,,,,
1,1,BO_176,,,,,
1,1,BO_178,,,,,
1,1,BO_182,,,,,
1,1,BO_185,,,,,
1,1,BO_191,,,,,
1,2,BO_017,,,,,
1,2,BO_050,,,,,
1,2,BO_051,,,,,
1,2,BO_052,,,,,
1,2,BO_055,,,,,
1,2,BO_056,,,,,
1,2,BO_061,,,,,
1,2,BO_063,,,,,
1,2,BO_071,,,,,
1,2,BO_072,,,,,
1,2,BO_078,,,,,
1,2,BO_086,,,,,
1,2,BO_089,,,,,
1,2,BO_095,,,,,
1,2,BO_106,,,,,
1,2,BO_111,,,,,
1,2,BO_125,,,,,
1,2,BO_132,,,,,
1,2,BO_152,,,,,
1,2,BO_154,,,,,
1,2,BO_159,,,,,
1,2,BO_164,,,,,
1,2,BO_174,,,,,
1,2,BO_189,,,,,
1,2,BO_198,,,,,
1,2,BO_199,,,,,
1,2,BO_200,,,,,
1,3,BO_001,,,,,
1,3,BO_025,,,,,
1,3,BO_028,,,,,
1,3,BO_054,,,,,
1,3,BO_069,,,,,
1,3,BO_088,,,,,
1,3,BO_100,,,,,
1,3,BO_116,,,,,
1,3,BO_123,,,,,
1,3,BO_126,,,,,
1,3,BO_134,,,,,
1,3,BO_140,,,,,
1,3,BO_142,,,,,
1,3,BO_145,,,,,
1,3,BO_146,,,,,
1,3,BO_150,,,,,
1,3,BO_151,,,,,
1,3,BO_158,,,,,
1,3,BO_169,,,,,
1,3,BO_171,,,,,
1,3,BO_201,,,,,
1,4,BO_014,,,,,
1,4,BO_015,,,,,
