Transect,Donor,Recipient,Stage,Plant_ID,date_1,date_2,date_3,date_4,date_5,Transect,Recipient,Plant_ID,date_1,date_2,date_3,date_4,date_5,flr_P
1,AC_150,AC_200,Flow Date,1,,,,,,1,AC_200,6,,,,,,
1,AC_150,AC_200,Flow Date,2,,,,,,1,AC_200,7,,,,,,
1,AC_150,AC_200,Flow Date,3,,,,,,1,AC_200,8,,,,,,
1,AC_150,AC_200,Flow Date,4,,,,,,1,AC_200,9,,,,,,
1,AC_150,AC_200,Flow Date,5,,,,,,1,AC_200,10,,,,,,
1,AC_102,AC_191,Flow Date,1,,,,,,1,AC_191,6,,,,,,
1,AC_102,AC_191,Flow Date,2,,,,,,1,AC_191,7,,,,,,
1,AC_102,AC_191,Flow Date,3,,,,,,1,AC_191,8,,,,,,
1,AC_102,AC_191,Flow Date,4,,,,,,1,AC_191,9,,,,,,
1,AC_102,AC_191,Flow Date,5,,,,,,1,AC_191,10,,,,,,
1,AC_177,AC_107,Flow Date,1,,,,,,1,AC_107,6,,,,,,
1,AC_177,AC_107,Flow Date,2,,,,,,1,AC_107,7,,,,,,
1,AC_177,AC_107,Flow Date,3,,,,,,1,AC_107,8,,,,,,
1,AC_177,AC_107,Flow Date,4,,,,,,1,AC_107,9,,,,,,
1,AC_177,AC_107,Flow Date,5,,,,,,1,AC_107,10,,,,,,
1,AC_94,AC_109,Flow Date,1,,,,,,1,AC_109,6,,,,,,
1,AC_94,AC_109,Flow Date,2,,,,,,1,AC_109,7,,,,,,
1,AC_94,AC_109,Flow Date,3,,,,,,1,AC_109,8,,,,,,
1,AC_94,AC_109,Flow Date,4,,,,,,1,AC_109,9,,,,,,
1,AC_94,AC_109,Flow Date,5,,,,,,1,AC_109,10,,,,,,
1,AC_150,AC_110,Flow Date,1,,,,,,1,AC_110,6,,,,,,
1,AC_150,AC_110,Flow Date,2,,,,,,1,AC_110,7,,,,,,
1,AC_150,AC_110,Flow Date,3,,,,,,1,AC_110,8,,,,,,
1,AC_150,AC_110,Flow Date,4,,,,,,1,AC_110,9,,,,,,
1,AC_150,AC_110,Flow Date,5,,,,,,1,AC_110,10,,,,,,
1,AC_186,AC_48,Flow Date,1,,,,,,1,AC_48,6,,,,,,
1,AC_186,AC_48,Flow Date,2,,,,,,1,AC_48,7,,,,,,
1,AC_186,AC_48,Flow Date,3,,,,,,1,AC_48,8,,,,,,
1,AC_186,AC_48,Flow Date,4,,,,,,1,AC_48,9,,,,,,
1,AC_186,AC_48,Flow Date,5,,,,,,1,AC_48,10,,,,,,
1,AC_15,AC_190,Flow Date,1,,,,,,1,AC_190,6,,,,,,
1,AC_15,AC_190,Flow Date,2,,,,,,1,AC_190,7,,,,,,
1,AC_15,AC_190,Flow Date,3,,,,,,1,AC_190,8,,,,,,
1,AC_15,AC_190,Flow Date,4,,,,,,1,AC_190,9,,,,,,
1,AC_15,AC_190,Flow Date,5,,,,,,1,AC_190,10,,,,,,
1,AC_96,AC_74,Flow Date,1,,,,,,1,AC_74,6,,,,,,
1,AC_96,AC_74,Flow Date,2,,,,,,1,AC_74,7,,,,,,
1,AC_96,AC_74,Flow Date,3,,,,,,1,AC_74,8,,,,,,
1,AC_96,AC_74,Flow Date,4,,,,,,1,AC_74,9,,,,,,
1,AC_96,AC_74,Flow Date,5,,,,,,1,AC_74,10,,,,,,
1,AC_107,AC_130,Flow Date,1,,,,,,1,AC_130,6,,,,,,
1,AC_107,AC_130,Flow Date,2,,,,,,1,AC_130,7,,,,,,
1,AC_107,AC_130,Flow Date,3,,,,,,1,AC_130,8,,,,,,
1,AC_107,AC_130,Flow Date,4,,,,,,1,AC_130,9,,,,,,
1,AC_107,AC_130,Flow Date,5,,,,,,1,AC_130,10,,,,,,
1,AC_207,AC_70,Flow Date,1,,,,,,1,AC_70,6,,,,,,
1,AC_207,AC_70,Flow Date,2,,,,,,1,AC_70,7,,,,,,
1,AC_207,AC_70,Flow Date,3,,,,,,1,AC_70,8,,,,,,
1,AC_207,AC_70,Flow Date,4,,,,,,1,AC_70,9,,,,,,
1,AC_207,AC_70,Flow Date,5,,,,,,1,AC_70,10,,,,,,
1,AC_96,AC_181,Flow Date,1,,,,,,1,AC_181,6,,,,,,
1,AC_96,AC_181,Flow Date,2,,,,,,1,AC_181,7,,,,,,
1,AC_96,AC_181,Flow Date,3,,,,,,1,AC_181,8,,,,,,
1,AC_96,AC_181,Flow Date,4,,,,,,1,AC_181,9,,,,,,
1,AC_96,AC_181,Flow Date,5,,,,,,1,AC_181,10,,,,,,
1,AC_54,AC_46,Flow Date,1,,,,,,1,AC_46,6,,,,,,
1,AC_54,AC_46,Flow Date,2,,,,,,1,AC_46,7,,,,,,
1,AC_54,AC_46,Flow Date,3,,,,,,1,AC_46,8,,,,,,
1,AC_54,AC_46,Flow Date,4,,,,,,1,AC_46,9,,,,,,
1,AC_54,AC_46,Flow Date,5,,,,,,1,AC_46,10,,,,,,
1,AC_52,AC_131,Flow Date,1,,,,,,1,AC_131,6,,,,,,
1,AC_52,AC_131,Flow Date,2,,,,,,1,AC_131,7,,,,,,
1,AC_52,AC_131,Flow Date,3,,,,,,1,AC_131,8,,,,,,
1,AC_52,AC_131,Flow Date,4,,,,,,1,AC_131,9,,,,,,
1,AC_52,AC_131,Flow Date,5,,,,,,1,AC_131,10,,,,,,
1,AC_64,AC_86,Flow Date,1,,,,,,1,AC_86,6,,,,,,
1,AC_64,AC_86,Flow Date,2,,,,,,1,AC_86,7,,,,,,
1,AC_64,AC_86,Flow Date,3,,,,,,1,AC_86,8,,,,,,
