Block,Location,Seq,Co.,Donor_ID,Recipient_ID,Stage,Plant_ID,date_1,date_2,date_3,date_4,date_5,Location,Recipient_ID,Plant_ID,date_1,date_2,date_3,date_4,date_5,flr_P
1,1,1,5,BB_173,BB_170,Flow Date,1,,,,,,1,BB_170,5,,,,,,
1,1,1,5,BB_173,BB_170,Flow Date,2,,,,,,1,BB_170,6,,,,,,
1,1,1,5,BB_173,BB_170,Flow Date,3,,,,,,1,BB_170,7,,,,,,
1,1,1,5,BB_173,BB_170,Flow Date,4,,,,,,1,BB_170,8,,,,,,
1,1,2,1,BB_023,BB_206,Flow Date,1,,,,,,1,BB_206,5,,,,,,
1,1,2,1,BB_023,BB_206,Flow Date,2,,,,,,1,BB_206,6,,,,,,
1,1,2,1,BB_023,BB_206,Flow Date,3,,,,,,1,BB_206,7,,,,,,
1,1,2,1,BB_023,BB_206,Flow Date,4,,,,,,1,BB_206,8,,,,,,
1,2,3,1,BB_075,BB_85,Flow Date,1,,,,,,2,BB_85,5,,,,,,
1,2,3,1,BB_075,BB_85,Flow Date,2,,,,,,2,BB_85,6,,,,,,
1,2,3,1,BB_075,BB_85,Flow Date,3,,,,,,2,BB_85,7,,,,,,
1,2,3,1,BB_075,BB_85,Flow Date,4,,,,,,2,BB_85,8,,,,,,
1,2,4,2,BB_107,BB_179,Flow Date,1,,,,,,2,BB_179,5,,,,,,
1,2,4,2,BB_107,BB_179,Flow Date,2,,,,,,2,BB_179,6,,,,,,
1,2,4,2,BB_107,BB_179,Flow Date,3,,,,,,2,BB_179,7,,,,,,
1,2,4,2,BB_107,BB_179,Flow Date,4,,,,,,2,BB_179,8,,,,,,
1,2,5,1,BB_075,BB_79,Flow Date,1,,,,,,2,BB_79,5,,,,,,
1,2,5,1,BB_075,BB_79,Flow Date,2,,,,,,2,BB_79,6,,,,,,
1,2,5,1,BB_075,BB_79,Flow Date,3,,,,,,2,BB_79,7,,,,,,
1,2,5,1,BB_075,BB_79,Flow Date,4,,,,,,2,BB_79,8,,,,,,
1,3,6,1,BB_028,BB_109,Flow Date,1,,,,,,3,BB_109,5,3-Mar,,,,,
1,3,6,1,BB_028,BB_109,Flow Date,2,,,,,,3,BB_109,6,,,,,,
1,3,6,1,BB_028,BB_109,Flow Date,3,,,,,,3,BB_109,7,,,,,,
1,3,6,1,BB_028,BB_109,Flow Date,4,,,,,,3,BB_109,8,,,,,,
1,3,7,5,BB_141,BB_3,Flow Date,1,,,,,,3,BB_3,5,,,,,,
1,3,7,5,BB_141,BB_3,Flow Date,2,,,,,,3,BB_3,6,,,,,,
1,3,7,5,BB_141,BB_3,Flow Date,3,,,,,,3,BB_3,7,,,,,,
1,3,7,5,BB_141,BB_3,Flow Date,4,,,,,,3,BB_3,8,,,,,,
1,3,8,3,BB_174,BB_10,Flow Date,1,,,,,,3,BB_10,5,,,,,,
1,3,8,3,BB_174,BB_10,Flow Date,2,,,,,,3,BB_10,6,,,,,,
1,3,8,3,BB_174,BB_10,Flow Date,3,,,,,,3,BB_10,7,,,,,,
1,3,8,3,BB_174,BB_10,Flow Date,4,,,,,,3,BB_10,8,,,,,,
1,4,9,4,BB_99,BB_161,Flow Date,1,,,,,,4,BB_161,5,,,,,,
1,4,9,4,BB_99,BB_161,Flow Date,2,,,,,,4,BB_161,6,,,,,,
1,4,9,4,BB_99,BB_161,Flow Date,3,,,,,,4,BB_161,7,,,,,,
1,4,9,4,BB_99,BB_161,Flow Date,4,,,,,,4,BB_161,8,,,,,,
1,4,10,1,BB_194,BB_214,Flow Date,1,,,,,,4,BB_214,5,,,,,,
1,4,10,1,BB_194,BB_214,Flow Date,2,,,,,,4,BB_214,6,,,,,,
1,4,10,1,BB_194,BB_214,Flow Date,3,,,,,,4,BB_214,7,,,,,,
1,4,10,1,BB_194,BB_214,Flow Date,4,,,,,,4,BB_214,8,,,,,,
1,4,11,5,BB_51,BB_143,Flow Date,1,,,,,,4,BB_143,5,,,,,,
1,4,11,5,BB_51,BB_143,Flow Date,2,,,,,,4,BB_143,6,,,,,,
1,4,11,5,BB_51,BB_143,Flow Date,3,,,,,,4,BB_143,7,,,,,,
1,4,11,5,BB_51,BB_143,Flow Date,4,,,,,,4,BB_143,8,,,,,,
1,5,12,3,BB_115,BB_20,Flow Date,1,,,,,,5,BB_20,5,,,,,,
1,5,12,3,BB_115,BB_20,Flow Date,2,,,,,,5,BB_20,6,,,,,,
1,5,12,3,BB_115,BB_20,Flow Date,3,,,,,,5,BB_20,7,,,,,,
1,5,12,3,BB_115,BB_20,Flow Date,4,,,,,,5,BB_20,8,,,,,,
1,5,13,3,BB_167,BB_114,Flow Date,1,,,,,,5,BB_114,5,,,,,,
1,5,13,3,BB_167,BB_114,Flow Date,2,,,,,,5,BB_114,6,,,,,,
1,5,13,3,BB_167,BB_114,Flow Date,3,,,,,,5,BB_114,7,,,,,,
1,5,13,3,BB_167,BB_114,Flow Date,4,,,,,,5,BB_114,8,,,,,,
1,5,14,5,BB_108,BB_69,Flow Date,1,,,,,,5,BB_69,5,,,,,,
1,5,14,5,BB_108,BB_69,Flow Date,2,,,,,,5,BB_69,6,,,,,,
1,5,14,5,BB_108,BB_69,Flow Date,3,,,,,,5,BB_69,7,,,,,,
1,5,14,5,BB_108,BB_69,Flow Date,4,,,,,,5,BB_69,8,,,,,,
1,5,15,3,BB_65,BB_13,Flow Date,1,,,,,,5,BB_13,5,,,,,,
1,5,15,3,BB_65,BB_13,Flow Date,2,,,,,,5,BB_13,6,,,,,,
1,5,15,3,BB_65,BB_13,Flow Date,3,,,,,,5,BB_13,7,,,,,,
1,5,15,3,BB_65,BB_13,Flow Date,4,,,,,,5,BB_13,8,,,,,,
1,6,16,4,BB_175,BB_104,Flow Date,1,,,,,,6,BB_104,5,3-Mar,,,,,
1,6,16,4,BB_175,BB_104,Flow Date,2,,,,,,6,BB_104,6,,,,,,
1,6,16,4,BB_175,BB_104,Flow Date,3,,,,,,6,BB_104,7,3-Mar,,,,,
1,6,16,4,BB_175,BB_104,Flow Date,4,,,,,,6,BB_104,8,25-Feb,,,,,
1,6,17,4,BB_5,BB_195,Flow Date,1,,,,,,6,BB_195,5,3-Mar,,,,,
1,6,17,4,BB_5,BB_195,Flow Date,2,,,,,,6,BB_195,6,3-Mar,,,,,
1,6,17,4,BB_5,BB_195,Flow Date,3,,,,,,6,BB_195,7,,,,,,
1,6,17,4,BB_5,BB_195,Flow Date,4,3-Mar,,,,,6,BB_195,8,,,,,,
1,6,18,4,BB_47,BB_193,Flow Date,1,,,,,,6,BB_193,5,,,,,,
1,6,18,4,BB_47,BB_193,Flow Date,2,,,,,,6,BB_193,6,,,,,,
1,6,18,4,BB_47,BB_193,Flow Date,3,,,,,,6,BB_193,7,,,,,,
1,6,18,4,BB_47,BB_193,Flow Date,4,,,,,,6,BB_193,8,,,,,,
1,7,19,2,BB_196,BB_186,Flow Date,1,,,,,,7,BB_186,5,,,,,,
1,7,19,2,BB_196,BB_186,Flow Date,2,,,,,,7,BB_186,6,,,,,,
1,7,19,2,BB_196,BB_186,Flow Date,3,,,,,,7,BB_186,7,,,,,,
1,7,19,2,BB_196,BB_186,Flow Date,4,,,,,,7,BB_186,8,,,,,,
1,7,20,2,BB_182,BB_201,Flow Date,1,,,,,,7,BB_201,5,,,,,,
1,7,20,2,BB_182,BB_201,Flow Date,2,,,,,,7,BB_201,6,,,,,,
1,7,20,2,BB_182,BB_201,Flow Date,3,3-Mar,,,,,7,BB_201,7,3-Mar,,,,,
1,7,20,2,BB_182,BB_201,Flow Date,4,,,,,,7,BB_201,8,3-Mar,,,,,
1,7,21,1,BB_122,BB_27,Flow Date,1,,,,,,7,BB_27,5,,,,,,
1,7,21,1,BB_122,BB_27,Flow Date,2,,,,,,7,BB_27,6,,,,,,
1,7,21,1,BB_122,BB_27,Flow Date,3,,,,,,7,BB_27,7,,,,,,
1,7,21,1,BB_122,BB_27,Flow Date,4,,,,,,7,BB_27,8,,,,,,
1,8,22,4,BB_125,BB_137,Flow Date,1,,,,,,8,BB_137,5,,,,,,
1,8,22,4,BB_125,BB_137,Flow Date,2,,,,,,8,BB_137,6,,,,,,
1,8,22,4,BB_125,BB_137,Flow Date,3,,,,,,8,BB_137,7,,,,,,
1,8,22,4,BB_125,BB_137,Flow Date,4,,,,,,8,BB_137,8,,,,,,
1,8,23,2,BB_015,BB_218,Flow Date,1,,,,,,8,BB_218,5,,,,,,
1,8,23,2,BB_015,BB_218,Flow Date,2,,,,,,8,BB_218,6,,,,,,
1,8,23,2,BB_015,BB_218,Flow Date,3,,,,,,8,BB_218,7,,,,,,
1,8,23,2,BB_015,BB_218,Flow Date,4,,,,,,8,BB_218,8,,,,,,
1,8,24,3,BB_144,BB_207,Flow Date,1,,,,,,8,BB_207,5,,,,,,
1,8,24,3,BB_144,BB_207,Flow Date,2,,,,,,8,BB_207,6,,,,,,
1,8,24,3,BB_144,BB_207,Flow Date,3,,,,,,8,BB_207,7,,,,,,
1,8,24,3,BB_144,BB_207,Flow Date,4,,,,,,8,BB_207,8,,,,,,
1,9,25,5,BB_108,BB_189,Flow Date,1,,,,,,9,BB_189,5,,,,,,
1,9,25,5,BB_108,BB_189,Flow Date,2,,,,,,9,BB_189,6,,,,,,
1,9,25,5,BB_108,BB_189,Flow Date,3,,,,,,9,BB_189,7,,,,,,
1,9,25,5,BB_108,BB_189,Flow Date,4,,,,,,9,BB_189,8,,,,,,
1,9,26,6,BB_188,BB_9,Flow Date,1,,,,,,9,BB_9,5,,,,,,
1,9,26,6,BB_188,BB_9,Flow Date,2,,,,,,9,BB_9,6,,,,,,
1,9,26,6,BB_188,BB_9,Flow Date,3,,,,,,9,BB_9,7,,,,,,
1,9,26,6,BB_188,BB_9,Flow Date,4,,,,,,9,BB_9,8,,,,,,
1,9,27,5,BB_176,BB_17,Flow Date,1,,,,,,9,BB_17,5,,,,,,
1,9,27,5,BB_176,BB_17,Flow Date,2,,,,,,9,BB_17,6,,,,,,
1,9,27,5,BB_176,BB_17,Flow Date,3,,,,,,9,BB_17,7,,,,,,
1,9,27,5,BB_176,BB_17,Flow Date,4,,,,,,9,BB_17,8,,,,,,
1,10,28,3,BB_115,BB_187,Flow Date,1,,,,,,10,BB_187,5,,,,,,
1,10,28,3,BB_115,BB_187,Flow Date,2,,,,,,10,BB_187,6,,,,,,
1,10,28,3,BB_115,BB_187,Flow Date,3,,,,,,10,BB_187,7,,,,,,
1,10,28,3,BB_115,BB_187,Flow Date,4,,,,,,10,BB_187,8,,,,,,
1,10,29,4,BB_99,BB_32,Flow Date,1,,,,,,10,BB_32,5,,,,,,
1,10,29,4,BB_99,BB_32,Flow Date,2,,,,,,10,BB_32,6,,,,,,
1,10,29,4,BB_99,BB_32,Flow Date,3,,,,,,10,BB_32,7,,,,,,
1,10,29,4,BB_99,BB_32,Flow Date,4,,,,,,10,BB_32,8,,,,,,
1,10,30,3,BB_168,BB_58,Flow Date,1,,,,,,10,BB_58,5,,,,,,
1,10,30,3,BB_168,BB_58,Flow Date,2,,,,,,10,BB_58,6,,,,,,
1,10,30,3,BB_168,BB_58,Flow Date,3,,,,,,10,BB_58,7,,,,,,
1,10,30,3,BB_168,BB_58,Flow Date,4,,,,,,10,BB_58,8,,,,,,
1,10,31,2,BB_182,BB_21,Flow Date,1,,,,,,10,BB_21,5,,,,,,
1,10,31,2,BB_182,BB_21,Flow Date,2,,,,,,10,BB_21,6,,,,,,
1,10,31,2,BB_182,BB_21,Flow Date,3,,,,,,10,BB_21,7,,,,,,
1,10,31,2,BB_182,BB_21,Flow Date,4,,,,,,10,BB_21,8,,,,,,
1,11,32,2,BB_197,BB_60,Flow Date,1,,,,,,11,BB_60,5,,,,,,
1,11,32,2,BB_197,BB_60,Flow Date,2,,,,,,11,BB_60,6,,,,,,
1,11,32,2,BB_197,BB_60,Flow Date,3,,,,,,11,BB_60,7,,,,,,
1,11,32,2,BB_197,BB_60,Flow Date,4,,,,,,11,BB_60,8,,,,,,
1,11,33,2,BB_142,BB_93,Flow Date,1,,,,,,11,BB_93,5,,,,,,
1,11,33,2,BB_142,BB_93,Flow Date,2,,,,,,11,BB_93,6,,,,,,
1,11,33,2,BB_142,BB_93,Flow Date,3,,,,,,11,BB_93,7,,,,,,
1,11,33,2,BB_142,BB_93,Flow Date,4,,,,,,11,BB_93,8,,,,,,
1,11,34,4,BB_47,BB_71,Flow Date,1,,,,,,11,BB_71,5,,,,,,
1,11,34,4,BB_47,BB_71,Flow Date,2,,,,,,11,BB_71,6,,,,,,
1,11,34,4,BB_47,BB_71,Flow Date,3,,,,,,11,BB_71,7,,,,,,
1,11,34,4,BB_47,BB_71,Flow Date,4,,,,,,11,BB_71,8,,,,,,
1,12,35,3,BB_174,BB_68,Flow Date,1,,,,,,12,BB_68,5,,,,,,
1,12,35,3,BB_174,BB_68,Flow Date,2,,,,,,12,BB_68,6,,,,,,
1,12,35,3,BB_174,BB_68,Flow Date,3,,,,,,12,BB_68,7,,,,,,
1,12,35,3,BB_174,BB_68,Flow Date,4,,,,,,12,BB_68,8,,,,,,
1,12,36,1,BB_202,BB_18,Flow Date,1,,,,,,12,BB_18,5,,,,,,
1,12,36,1,BB_202,BB_18,Flow Date,2,,,,,,12,BB_18,6,,,,,,
1,12,36,1,BB_202,BB_18,Flow Date,3,,,,,,12,BB_18,7,,,,,,
1,12,36,1,BB_202,BB_18,Flow Date,4,,,,,,12,BB_18,8,,,,,,
1,13,37,4,BB_47,BB_131,Flow Date,1,,,,,,13,BB_131,5,,,,,,
1,13,37,4,BB_47,BB_131,Flow Date,2,,,,,,13,BB_131,6,,,,,,
1,13,37,4,BB_47,BB_131,Flow Date,3,,,,,,13,BB_131,7,,,,,,
1,13,37,4,BB_47,BB_131,Flow Date,4,,,,,,13,BB_131,8,,,,,,
1,13,38,5,BB_141,BB_29,Flow Date,1,,,,,,13,BB_29,5,,,,,,
1,13,38,5,BB_141,BB_29,Flow Date,2,,,,,,13,BB_29,6,,,,,,
1,13,38,5,BB_141,BB_29,Flow Date,3,,,,,,13,BB_29,7,,,,,,
1,13,38,5,BB_141,BB_29,Flow Date,4,,,,,,13,BB_29,8,,,,,,
1,13,39,3,BB_198,BB_45,Flow Date,1,,,,,,13,BB_45,5,,,,,,
1,13,39,3,BB_198,BB_45,Flow Date,2,,,,,,13,BB_45,6,,,,,,
1,13,39,3,BB_198,BB_45,Flow Date,3,,,,,,13,BB_45,7,,,,,,
1,13,39,3,BB_198,BB_45,Flow Date,4,,,,,,13,BB_45,8,,,,,,
1,14,40,4,BB_175,BB_172,Flow Date,1,,,,,,14,BB_172,5,,,,,,
1,14,40,4,BB_175,BB_172,Flow Date,2,,,,,,14,BB_172,6,,,,,,
1,14,40,4,BB_175,BB_172,Flow Date,3,,,,,,14,BB_172,7,,,,,,
1,14,40,4,BB_175,BB_172,Flow Date,4,,,,,,14,BB_172,8,,,,,,
1,14,41,1,BB_028,BB_83,Flow Date,1,,,,,,14,BB_83,5,,,,,,
1,14,41,1,BB_028,BB_83,Flow Date,2,,,,,,14,BB_83,6,,,,,,
1,14,41,1,BB_028,BB_83,Flow Date,3,,,,,,14,BB_83,7,,,,,,
1,14,41,1,BB_028,BB_83,Flow Date,4,,,,,,14,BB_83,8,,,,,,
1,14,42,3,BB_11,BB_116,Flow Date,1,,,,,,14,BB_116,5,,,,,,
1,14,42,3,BB_11,BB_116,Flow Date,2,,,,,,14,BB_116,6,,,,,,
1,14,42,3,BB_11,BB_116,Flow Date,3,,,,,,14,BB_116,7,,,,,,
1,14,42,3,BB_11,BB_116,Flow Date,4,,,,,,14,BB_116,8,,,,,,
1,15,43,2,BB_066,BB_19,Flow Date,1,,,,,,15,BB_19,5,,,,,,
1,15,43,2,BB_066,BB_19,Flow Date,2,,,,,,15,BB_19,6,,,,,,
1,15,43,2,BB_066,BB_19,Flow Date,3,,,,,,15,BB_19,7,,,,,,
1,15,43,2,BB_066,BB_19,Flow Date,4,,,,,,15,BB_19,8,,,,,,
1,15,44,4,BB_99,BB_61,Flow Date,1,,,,,,15,BB_61,5,,,,,,
1,15,44,4,BB_99,BB_61,Flow Date,2,,,,,,15,BB_61,6,,,,,,
1,15,44,4,BB_99,BB_61,Flow Date,3,,,,,,15,BB_61,7,,,,,,
1,15,44,4,BB_99,BB_61,Flow Date,4,,,,,,15,BB_61,8,,,,,,
1,16,45,5,BB_215,BB_210,Flow Date,1,,,,,,16,BB_210,5,,,,,,
1,16,45,5,BB_215,BB_210,Flow Date,2,,,,,,16,BB_210,6,,,,,,
