Transect,Donor,Recipient,Stage,Plant_ID,date_1,date_2,date_3,date_4,date_5,Transect,Recipient,Plant_ID,date_1,date_2,date_3,date_4,date_5,flr_P
1,BO_201,BO_130,Flow Date,1,,,,,,1,BO_130,5,,,,,,
1,BO_201,BO_130,Flow Date,2,,,,,,1,BO_130,6,,,,,,
1,BO_201,BO_130,Flow Date,3,,,,,,1,BO_130,7,,,,,,
1,BO_201,BO_130,Flow Date,4,,,,,,1,BO_130,8,,,,,,
1,BO_192,BO_166,Flow Date,1,,,,,,1,BO_166,5,,,,,,
1,BO_192,BO_166,Flow Date,2,,,,,,1,BO_166,6,,,,,,
1,BO_192,BO_166,Flow Date,3,,,,,,1,BO_166,7,,,,,,
1,BO_192,BO_166,Flow Date,4,,,,,,1,BO_166,8,,,,,,
1,BO_5,BO_19,Flow Date,1,,,,,,1,BO_19,5,,,,,,
1,BO_5,BO_19,Flow Date,2,,,,,,1,BO_19,6,,,,,,
1,BO_5,BO_19,Flow Date,3,,,,,,1,BO_19,7,,,,,,
1,BO_5,BO_19,Flow Date,4,,,,,,1,BO_19,8,,,,,,
1,BO_70,BO_66,Flow Date,1,,,,,,1,BO_66,5,,,,,,
1,BO_70,BO_66,Flow Date,2,,,,,,1,BO_66,6,,,,,,
1,BO_70,BO_66,Flow Date,3,,,,,,1,BO_66,7,,,,,,
1,BO_70,BO_66,Flow Date,4,,,,,,1,BO_66,8,,,,,,
1,BO_038,BO_137,Flow Date,1,,,,,,1,BO_137,5,,,,,,
1,BO_038,BO_137,Flow Date,2,,,,,,1,BO_137,6,,,,,,
1,BO_038,BO_137,Flow Date,3,,,,,,1,BO_137,7,,,,,,
1,BO_038,BO_137,Flow Date,4,,,,,,1,BO_137,8,,,,,,
1,BO_170,BO_45,Flow Date,1,,,,,,1,BO_45,5,,,,,,
1,BO_170,BO_45,Flow Date,2,,,,,,1,BO_45,6,,,,,,
1,BO_170,BO_45,Flow Date,3,,,,,,1,BO_45,7,,,,,,
1,BO_170,BO_45,Flow Date,4,,,,,,1,BO_45,8,,,,,,
1,BO_1,BO_48,Flow Date,1,,,,,,1,BO_48,5,,,,,,
1,BO_1,BO_48,Flow Date,2,,,,,,1,BO_48,6,,,,,,
1,BO_1,BO_48,Flow Date,3,,,,,,1,BO_48,7,,,,,,
1,BO_1,BO_48,Flow Date,4,,,,,,1,BO_48,8,,,,,,
1,BO_69,BO_43,Flow Date,1,,,,,,1,BO_43,5,,,,,,
1,BO_69,BO_43,Flow Date,2,,,,,,1,BO_43,6,,,,,,
1,BO_69,BO_43,Flow Date,3,,,,,,1,BO_43,7,,,,,,
1,BO_69,BO_43,Flow Date,4,,,,,,1,BO_43,8,,,,,,
1,BO_33,BO_99,Flow Date,1,,,,,,1,BO_99,5,,,,,,
1,BO_33,BO_99,Flow Date,2,,,,,,1,BO_99,6,,,,,,
1,BO_33,BO_99,Flow Date,3,,,,,,1,BO_99,7,,,,,,
1,BO_33,BO_99,Flow Date,4,,,,,,1,BO_99,8,,,,,,
1,BO_65,BO_115,Flow Date,1,,,,,,1,BO_115,5,,,,,,
1,BO_65,BO_115,Flow Date,2,,,,,,1,BO_115,6,,,,,,
1,BO_65,BO_115,Flow Date,3,,,,,,1,BO_115,7,,,,,,
1,BO_65,BO_115,Flow Date,4,,,,,,1,BO_115,8,,,,,,
1,BO_106,BO_104,Flow Date,1,,,,,,1,BO_104,5,,,,,,
1,BO_106,BO_104,Flow Date,2,,,,,,1,BO_104,6,,,,,,
1,BO_106,BO_104,Flow Date,3,,,,,,1,BO_104,7,,,,,,
1,BO_106,BO_104,Flow Date,4,,,,,,1,BO_104,8,,,,,,
1,BO_40,BO_29,Flow Date,1,,,,,,1,BO_29,5,,,,,,
1,BO_40,BO_29,Flow Date,2,,,,,,1,BO_29,6,,,,,,
1,BO_40,BO_29,Flow Date,3,,,,,,1,BO_29,7,,,,,,
1,BO_40,BO_29,Flow Date,4,,,,,,1,BO_29,8,,,,,,
1,BO_096,BO_12,Flow Date,1,,,,,,1,BO_12,5,,,,,,
1,BO_096,BO_12,Flow Date,2,,,,,,1,BO_12,6,,,,,,
1,BO_096,BO_12,Flow Date,3,,,,,,1,BO_12,7,,,,,,
1,BO_096,BO_12,Flow Date,4,,,,,,1,BO_12,8,,,,,,
1,BO_13,BO_114,Flow Date,1,,,,,,1,BO_114,5,,,,,,
1,BO_13,BO_114,Flow Date,2,,,,,,1,BO_114,6,,,,,,
1,BO_13,BO_114,Flow Date,3,,,,,,1,BO_114,7,,,,,,
1,BO_13,BO_114,Flow Date,4,,,,,,1,BO_114,8,,,,,,
1,BO_163,BO_34,Flow Date,1,,,,,,1,BO_34,5,,,,,,
1,BO_163,BO_34,Flow Date,2,,,,,,1,BO_34,6,,,,,,
1,BO_163,BO_34,Flow Date,3,,,,,,1,BO_34,7,,,,,,
1,BO_163,BO_34,Flow Date,4,,,,,,1,BO_34,8,,,,,,
1,BO_74,BO_47,Flow Date,1,,,,,,1,BO_47,5,,,,,,
1,BO_74,BO_47,Flow Date,2,,,,,,1,BO_47,6,,,,,,
1,BO_74,BO_47,Flow Date,3,,,,,,1,BO_47,7,,,,,,
1,BO_74,BO_47,Flow Date,4,,,,,,1,BO_47,8,,,,,,
1,BO_188,BO_8,Flow Date,1,,,,,,1,BO_8,5,,,,,,
1,BO_188,BO_8,Flow Date,2,,,,,,1,BO_8,6,,,,,,
1,BO_188,BO_8,Flow Date,3,,,,,,1,BO_8,7,,,,,,
1,BO_188,BO_8,Flow Date,4,,,,,,1,BO_8,8,,,,,,
1,BO_106,BO_191,Flow Date,1,,,,,,1,BO_191,5,,,,,,
1,BO_106,BO_191,Flow Date,2,,,,,,1,BO_191,6,,,,,,
1,BO_106,BO_191,Flow Date,3,,,,,,1,BO_191,7,,,,,,
1,BO_106,BO_191,Flow Date,4,,,,,,1,BO_191,8,,,,,,
1,BO_73,BO_117,Flow Date,1,,,,,,1,BO_117,5,,,,,,
1,BO_73,BO_117,Flow Date,2,,,,,,1,BO_117,6,,,,,,
1,BO_73,BO_117,Flow Date,3,,,,,,1,BO_117,7,,,,,,
1,BO_73,BO_117,Flow Date,4,,,,,,1,BO_117,8,,,,,,
1,BO_130,BO_120,Flow Date,1,,,,,,1,BO_120,5,,,,,,
1,BO_130,BO_120,Flow Date,2,,,,,,1,BO_120,6,,,,,,
1,BO_130,BO_120,Flow Date,3,,,,,,1,BO_120,7,,,,,,
1,BO_130,BO_120,Flow Date,4,,,,,,1,BO_120,8,,,,,,
1,BO_192,BO_21,Flow Date,1,,,,,,1,BO_21,5,,,,,,
1,BO_192,BO_21,Flow Date,2,,,,,,1,BO_21,6,,,,,,
1,BO_192,BO_21,Flow Date,3,,,,,,1,BO_21,7,,,,,,
1,BO_192,BO_21,Flow Date,4,,,,,,1,BO_21,8,,,,,,
1,BO_101,BO_24,Flow Date,1,,,,,,1,BO_24,5,,,,,,
1,BO_101,BO_24,Flow Date,2,,,,,,1,BO_24,6,,,,,,
1,BO_101,BO_24,Flow Date,3,,,,,,1,BO_24,7,,,,,,
1,BO_101,BO_24,Flow Date,4,,,,,,1,BO_24,8,,,,,,
1,BO_143,BO_4,Flow Date,1,,,,,,1,BO_4,5,,,,,,
1,BO_143,BO_4,Flow Date,2,,,,,,1,BO_4,6,,,,,,
1,BO_143,BO_4,Flow Date,3,,,,,,1,BO_4,7,,,,,,
1,BO_143,BO_4,Flow Date,4,,,,,,1,BO_4,8,,,,,,
1,BO_128,BO_60,Flow Date,1,,,,,,1,BO_60,5,,,,,,
1,BO_128,BO_60,Flow Date,2,,,,,,1,BO_60,6,,,,,,
1,BO_128,BO_60,Flow Date,3,,,,,,1,BO_60,7,,,,,,
1,BO_128,BO_60,Flow Date,4,,,,,,1,BO_60,8,,,,,,
1,BO_5,BO_176,Flow Date,1,,,,,,1,BO_176,5,,,,,,
1,BO_5,BO_176,Flow Date,2,,,,,,1,BO_176,6,,,,,,
1,BO_5,BO_176,Flow Date,3,,,,,,1,BO_176,7,,,,,,
1,BO_5,BO_176,Flow Date,4,,,,,,1,BO_176,8,,,,,,
1,BO_149,BO_185,Flow Date,1,,,,,,1,BO_185,5,,,,,,
1,BO_149,BO_185,Flow Date,2,,,,,,1,BO_185,6,,,,,,
1,BO_149,BO_185,Flow Date,3,,,,,,1,BO_185,7,,,,,,
1,BO_149,BO_185,Flow Date,4,,,,,,1,BO_185,8,,,,,,
1,BO_096,BO_178,Flow Date,1,,,,,,1,BO_178,5,,,,,,
1,BO_096,BO_178,Flow Date,2,,,,,,1,BO_178,6,,,,,,
1,BO_096,BO_178,Flow Date,3,,,,,,1,BO_178,7,,,,,,
1,BO_096,BO_178,Flow Date,4,,,,,,1,BO_178,8,,,,,,
1,BO_194,BO_98,Flow Date,1,,,,,,1,BO_98,5,,,,,,
1,BO_194,BO_98,Flow Date,2,,,,,,1,BO_98,6,,,,,,
1,BO_194,BO_98,Flow Date,3,,,,,,1,BO_98,7,,,,,,
1,BO_194,BO_98,Flow Date,4,,,,,,1,BO_98,8,,,,,,
1,BO_177,BO_139,Flow Date,1,,,,,,1,BO_139,5,,,,,,
1,BO_177,BO_139,Flow Date,2,,,,,,1,BO_139,6,,,,,,
1,BO_177,BO_139,Flow Date,3,,,,,,1,BO_139,7,,,,,,
1,BO_177,BO_139,Flow Date,4,,,,,,1,BO_139,8,,,,,,
1,BO_101,BO_182,Flow Date,1,,,,,,1,BO_182,5,,,,,,
1,BO_101,BO_182,Flow Date,2,,,,,,1,BO_182,6,,,,,,
1,BO_101,BO_182,Flow Date,3,,,,,,1,BO_182,7,,,,,,
1,BO_101,BO_182,Flow Date,4,,,,,,1,BO_182,8,,,,,,
1,BO_168,BO_175,Flow Date,1,,,,,,1,BO_175,5,,,,,,
1,BO_168,BO_175,Flow Date,2,,,,,,1,BO_175,6,,,,,,
1,BO_168,BO_175,Flow Date,3,,,,,,1,BO_175,7,,,,,,
1,BO_168,BO_175,Flow Date,4,,,,,,1,BO_175,8,,,,,,
1,BO_74,BO_118,Flow Date,1,,,,,,1,BO_118,5,,,,,,
1,BO_74,BO_118,Flow Date,2,,,,,,1,BO_118,6,,,,,,
1,BO_74,BO_118,Flow Date,3,,,,,,1,BO_118,7,,,,,,
1,BO_74,BO_118,Flow Date,4,,,,,,1,BO_118,8,,,,,,
1,BO_038,BO_149,Flow Date,1,,,,,,1,BO_149,5,,,,,,
1,BO_038,BO_149,Flow Date,2,,,,,,1,BO_149,6,,,,,,
1,BO_038,BO_149,Flow Date,3,,,,,,1,BO_149,7,,,,,,
1,BO_038,BO_149,Flow Date,4,,,,,,1,BO_149,8,,,,,,
1,BO_177,BO_121,Flow Date,1,,,,,,1,BO_121,5,,,,,,
1,BO_177,BO_121,Flow Date,2,,,,,,1,BO_121,6,,,,,,
1,BO_177,BO_121,Flow Date,3,,,,,,1,BO_121,7,,,,,,
1,BO_177,BO_121,Flow Date,4,,,,,,1,BO_121,8,,,,,,
1,BO_13,BO_141,Flow Date,1,,,,,,1,BO_141,5,,,,,,
1,BO_13,BO_141,Flow Date,2,,,,,,1,BO_141,6,,,,,,
1,BO_13,BO_141,Flow Date,3,,,,,,1,BO_141,7,,,,,,
1,BO_13,BO_141,Flow Date,4,,,,,,1,BO_141,8,,,,,,
1,BO_153,BO_22,Flow Date,1,,,,,,1,BO_22,5,,,,,,
1,BO_153,BO_22,Flow Date,2,,,,,,1,BO_22,6,,,,,,
1,BO_153,BO_22,Flow Date,3,,,,,,1,BO_22,7,,,,,,
1,BO_153,BO_22,Flow Date,4,,,,,,1,BO_22,8,,,,,,
1,BO_192,BO_127,Flow Date,1,,,,,,1,BO_127,5,,,,,,
1,BO_192,BO_127,Flow Date,2,,,,,,1,BO_127,6,,,,,,
1,BO_192,BO_127,Flow Date,3,,,,,,1,BO_127,7,,,,,,
1,BO_192,BO_127,Flow Date,4,,,,,,1,BO_127,8,,,,,,
1,BO_101,BO_80,Flow Date,1,,,,,,1,BO_80,5,,,,,,
1,BO_101,BO_80,Flow Date,2,,,,,,1,BO_80,6,,,,,,
1,BO_101,BO_80,Flow Date,3,,,,,,1,BO_80,7,,,,,,
1,BO_101,BO_80,Flow Date,4,,,,,,1,BO_80,8,,,,,,
1,BO_173,BO_79,Flow Date,1,,,,,,1,BO_79,5,,,,,,
1,BO_173,BO_79,Flow Date,2,,,,,,1,BO_79,6,,,,,,
1,BO_173,BO_79,Flow Date,3,,,,,,1,BO_79,7,,,,,,
1,BO_173,BO_79,Flow Date,4,,,,,,1,BO_79,8,,,,,,
1,BO_038,BO_82,Flow Date,1,,,,,,1,BO_82,5,,,,,,
1,BO_038,BO_82,Flow Date,2,,,,,,1,BO_82,6,,,,,,
1,BO_038,BO_82,Flow Date,3,,,,,,1,BO_82,7,,,,,,
1,BO_038,BO_82,Flow Date,4,,,,,,1,BO_82,8,,,,,,
1,BO_128,BO_105,Flow Date,1,,,,,,1,BO_105,5,,,,,,
1,BO_128,BO_105,Flow Date,2,,,,,,1,BO_105,6,,,,,,
1,BO_128,BO_105,Flow Date,3,,,,,,1,BO_105,7,,,,,,
1,BO_128,BO_105,Flow Date,4,,,,,,1,BO_105,8,,,,,,
1,BO_58,BO_94,Flow Date,1,,,,,,1,BO_94,5,,,,,,
1,BO_58,BO_94,Flow Date,2,,,,,,1,BO_94,6,,,,,,
1,BO_58,BO_94,Flow Date,3,,,,,,1,BO_94,7,,,,,,
1,BO_58,BO_94,Flow Date,4,,,,,,1,BO_94,8,,,,,,
1,BO_185,BO_153,Flow Date,1,,,,,,1,BO_153,5,,,,,,
1,BO_185,BO_153,Flow Date,2,,,,,,1,BO_153,6,,,,,,
1,BO_185,BO_153,Flow Date,3,,,,,,1,BO_153,7,,,,,,
1,BO_185,BO_153,Flow Date,4,,,,,,1,BO_153,8,,,,,,
1,BO_168,BO_155,Flow Date,1,,,,,,1,BO_155,5,,,,,,
1,BO_168,BO_155,Flow Date,2,,,,,,1,BO_155,6,,,,,,
1,BO_168,BO_155,Flow Date,3,,,,,,1,BO_155,7,,,,,,
1,BO_168,BO_155,Flow Date,4,,,,,,1,BO_155,8,,,,,,
10,BO_74,BO_27,Flow Date,1,,,,,,10,BO_27,5,,,,,,
10,BO_74,BO_27,Flow Date,2,,,,,,10,BO_27,6,,,,,,
10,BO_74,BO_27,Flow Date,3,,,,,,10,BO_27,7,,,,,,
10,BO_74,BO_27,Flow Date,4,,,,,,10,BO_27,8,,,,,,
10,BO_69,BO_43,Flow Date,1,,,,,,10,BO_43,5,,,,,,
10,BO_69,BO_43,Flow Date,2,,,,,,10,BO_43,6,,,,,,
10,BO_69,BO_43,Flow Date,3,,,,,,10,BO_43,7,,,,,,
10,BO_69,BO_43,Flow Date,4,,,,,,10,BO_43,8,,,,,,
10,BO_038,BO_149,Flow Date,1,,,,,,10,BO_149,5,,,,,,
