Transect,Donor,Recipient,Stage,Plant_ID,date_1,date_2,date_3,date_4,date_5,Transect,Recipient,Plant_ID,date_1,date_2,date_3,date_4,date_5,flr_P
1,HR_8,HR_58,Flow Date,1,,,,,,1,HR_58,5,,,,,,
1,HR_8,HR_58,Flow Date,2,,,,,,1,HR_58,6,,,,,,
1,HR_8,HR_58,Flow Date,3,,,,,,1,HR_58,7,,,,,,
1,HR_8,HR_58,Flow Date,4,,,,,,1,HR_58,8,,,,,,
1,HR_196,HR_183,Flow Date,1,,,,,,1,HR_183,5,,,,,,
1,HR_196,HR_183,Flow Date,2,,,,,,1,HR_183,6,,,,,,
1,HR_196,HR_183,Flow Date,3,,,,,,1,HR_183,7,,,,,,
1,HR_196,HR_183,Flow Date,4,,,,,,1,HR_183,8,,,,,,
1,HR_085,HR_176,Flow Date,1,,,,,,1,HR_176,5,,,,,,
1,HR_085,HR_176,Flow Date,2,,,,,,1,HR_176,6,,,,,,
1,HR_085,HR_176,Flow Date,3,,,,,,1,HR_176,7,,,,,,
1,HR_085,HR_176,Flow Date,4,,,,,,1,HR_176,8,,,,,,
1,HR_6,HR_146,Flow Date,1,,,,,,1,HR_146,5,,,,,,
1,HR_6,HR_146,Flow Date,2,,,,,,1,HR_146,6,,,,,,
1,HR_6,HR_146,Flow Date,3,,,,,,1,HR_146,7,,,,,,
1,HR_6,HR_146,Flow Date,4,,,,,,1,HR_146,8,,,,,,
1,HR_108,HR_177,Flow Date,1,,,,,,1,HR_177,5,,,,,,
1,HR_108,HR_177,Flow Date,2,,,,,,1,HR_177,6,,,,,,
1,HR_108,HR_177,Flow Date,3,,,,,,1,HR_177,7,,,,,,
1,HR_108,HR_177,Flow Date,4,,,,,,1,HR_177,8,,,,,,
1,HR_74,HR_115,Flow Date,1,,,,,,1,HR_115,5,,,,,,
1,HR_74,HR_115,Flow Date,2,,,,,,1,HR_115,6,,,,,,
1,HR_74,HR_115,Flow Date,3,,,,,,1,HR_115,7,,,,,,
1,HR_74,HR_115,Flow Date,4,,,,,,1,HR_115,8,,,,,,
1,HR_180,HR_36,Flow Date,1,,,,,,1,HR_36,5,,,,,,
1,HR_180,HR_36,Flow Date,2,,,,,,1,HR_36,6,,,,,,
1,HR_180,HR_36,Flow Date,3,,,,,,1,HR_36,7,,,,,,
1,HR_180,HR_36,Flow Date,4,,,,,,1,HR_36,8,,,,,,
1,HR_160,HR_33,Flow Date,1,,,,,,1,HR_33,5,,,,,,
1,HR_160,HR_33,Flow Date,2,,,,,,1,HR_33,6,,,,,,
1,HR_160,HR_33,Flow Date,3,,,,,,1,HR_33,7,,,,,,
1,HR_160,HR_33,Flow Date,4,,,,,,1,HR_33,8,,,,,,
1,HR_70,HR_61,Flow Date,1,,,,,,1,HR_61,5,,,,,,
1,HR_70,HR_61,Flow Date,2,,,,,,1,HR_61,6,,,,,,
1,HR_70,HR_61,Flow Date,3,,,,,,1,HR_61,7,,,,,,
1,HR_70,HR_61,Flow Date,4,,,,,,1,HR_61,8,,,,,,
1,HR_133,HR_158,Flow Date,1,,,,,,1,HR_158,5,,,,,,
1,HR_133,HR_158,Flow Date,2,,,,,,1,HR_158,6,,,,,,
1,HR_133,HR_158,Flow Date,3,,,,,,1,HR_158,7,,,,,,
1,HR_133,HR_158,Flow Date,4,,,,,,1,HR_158,8,,,,,,
1,HR_108,HR_175,Flow Date,1,,,,,,1,HR_175,5,,,,,,
1,HR_108,HR_175,Flow Date,2,,,,,,1,HR_175,6,,,,,,
1,HR_108,HR_175,Flow Date,3,,,,,,1,HR_175,7,,,,,,
1,HR_108,HR_175,Flow Date,4,,,,,,1,HR_175,8,,,,,,
1,HR_164,HR_5,Flow Date,1,,,,,,1,HR_5,5,,,,,,
1,HR_164,HR_5,Flow Date,2,,,,,,1,HR_5,6,,,,,,
1,HR_164,HR_5,Flow Date,3,,,,,,1,HR_5,7,,,,,,
1,HR_164,HR_5,Flow Date,4,,,,,,1,HR_5,8,,,,,,
1,HR_171,HR_57,Flow Date,1,,,,,,1,HR_57,5,,,,,,
1,HR_171,HR_57,Flow Date,2,,,,,,1,HR_57,6,,,,,,
1,HR_171,HR_57,Flow Date,3,,,,,,1,HR_57,7,,,,,,
1,HR_171,HR_57,Flow Date,4,,,,,,1,HR_57,8,,,,,,
1,HR_196,HR_170,Flow Date,1,,,,,,1,HR_170,5,,,,,,
1,HR_196,HR_170,Flow Date,2,,,,,,1,HR_170,6,,,,,,
1,HR_196,HR_170,Flow Date,3,,,,,,1,HR_170,7,,,,,,
1,HR_196,HR_170,Flow Date,4,,,,,,1,HR_170,8,,,,,,
1,HR_148,HR_114,Flow Date,1,,,,,,1,HR_114,5,,,,,,
1,HR_148,HR_114,Flow Date,2,,,,,,1,HR_114,6,,,,,,
1,HR_148,HR_114,Flow Date,3,,,,,,1,HR_114,7,,,,,,
1,HR_148,HR_114,Flow Date,4,,,,,,1,HR_114,8,,,,,,
