Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,1,AC_150,AC_200,1,2021-12-05,2021-10-27,2021-11-04
1,1,1,AC_150,AC_200,2,2021-12-05,2021-10-27,2021-11-04
1,1,1,AC_150,AC_200,3,2021-12-05,2021-10-27,2021-11-04
1,1,1,AC_150,AC_200,4,2021-12-05,2021-10-27,2021-11-04
1,1,1,AC_150,AC_200,5,2021-12-05,2021-10-27,2021-11-04
1,1,1,AC_150,AC_200,6,2021-12-05,2021-10-27,2021-11-04
1,1,1,AC_150,AC_200,7,2021-12-05,2021-10-27,2021-11-04
1,1,1,AC_150,AC_200,8,2021-12-05,2021-10-27,2021-11-04
1,1,1,AC_150,AC_200,9,2021-12-05,2021-10-27,2021-11-04
1,1,1,AC_150,AC_200,10,2021-12-05,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,1,2021-11-03,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,2,2021-11-03,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,3,2021-12-05,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,4,2021-12-05,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,5,2021-11-03,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,6,2021-11-03,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,7,NA,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,8,NA,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,9,2021-12-05,2021-10-27,2021-11-04
1,1,2,AC_102,AC_191,10,2021-12-05,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,1,2021-12-05,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,2,2021-11-03,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,3,2021-12-05,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,4,2021-11-03,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,5,2021-11-03,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,6,2021-12-05,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,7,2021-12-05,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,8,2021-12-05,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,9,2021-12-05,2021-10-27,2021-11-04
1,1,3,AC_177,AC_107,10,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,1,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,2,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,3,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,4,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,5,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,6,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,7,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,8,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,9,2021-11-03,2021-10-27,2021-11-04
1,1,4,AC_094,AC_109,10,2021-11-03,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,1,2021-11-03,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,2,2021-11-03,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,3,2021-12-05,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,4,2021-11-03,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,5,2021-11-03,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,6,2021-12-05,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,7,2021-11-03,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,8,2021-11-03,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,9,2021-12-05,2021-10-27,2021-11-04
1,1,5,AC_150,AC_110,10,2021-12-05,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,1,2021-12-05,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,2,2021-12-05,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,3,2021-11-03,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,4,2021-11-03,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,5,2021-12-05,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,6,2021-12-05,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,7,2021-12-05,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,8,2021-12-05,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,9,2021-12-05,2021-10-27,2021-11-04
1,1,6,AC_186,AC_048,10,2021-12-05,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,1,2021-11-03,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,2,2021-11-03,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,3,2021-11-03,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,4,2021-11-03,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,5,2021-11-03,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,6,2021-12-05,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,7,2021-12-05,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,8,2021-11-03,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,9,2021-12-05,2021-10-27,2021-11-04
1,1,7,AC_015,AC_190,10,2021-12-05,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,1,2021-12-05,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,2,2021-11-03,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,3,2021-12-05,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,4,NA,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,5,2021-12-05,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,6,2021-12-05,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,7,2021-12-05,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,8,2021-12-05,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,9,2021-12-05,2021-10-27,2021-11-04
1,1,8,AC_096,AC_074,10,2021-12-05,2021-10-27,2021-11-04
