Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_4.9,Fl_4.21,Fl_5.3,Fl_5.13,Fl_5.25,Fl_6.8,Fl_6.22,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_diam_mm,corolla_area_mm2,notes_corolla,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,AC_150,AC_200,n,10,TRUE,FALSE,TRUE,10,10,NA,2021-12-05,2021-10-27,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,3,2,0,5,28,18,NA,NA,NA,NA,18,17.95,NA,NA,NA,NA,NA,NA,0.9972222222222222,NA,NA,0.9972222222222222,NA,6,30,19.74,2022-05-03,26.379,436.972,NA,2022-05-03,149,188,180,2022-05-13,10,1,1,1,1
1,1,2,AC_102,AC_191,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-11-03,2021-10-27,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-13,1,3,0,4,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6.23,2022-05-13,20.875,247.868,NA,2022-05-03,181,188,180,2022-05-13,10,1,1,1,0
1,1,3,AC_177,AC_107,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-10-27,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,8,6,0,14,34,26,NA,NA,15,22.46,11,21.53,NA,NA,NA,NA,NA,1.4973333333333334,1.9572727272727273,NA,NA,1.7273030303030303,0.32522626438937624,3.25,45.5,50.33,2022-05-03,22.24,305.431,NA,2022-05-03,181,188,180,2022-05-13,10,1,1,1,1
1,1,4,AC_094,AC_109,R,1,FALSE,TRUE,TRUE,4,"1,3,4",NA,2021-11-03,2021-10-27,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,8,22,0,30,0,39,NA,NA,26,43.25,13,24.78,NA,NA,NA,NA,NA,1.6634615384615385,1.9061538461538463,NA,NA,1.7848076923076923,0.17160937651104294,4.875,146.25,NA,2022-05-03,22.373,299.692,NA,2022-05-03,181,188,180,2022-05-13,10,1,1,1,1
1,1,4,AC_094,AC_109,R,3,FALSE,TRUE,TRUE,4,"1,3,4",NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,11,14,0,25,0,59,NA,NA,29,44.96,30,50.38,NA,NA,NA,NA,NA,1.5503448275862068,1.6793333333333333,NA,NA,1.61483908045977,0.0912086471089131,5.363636363636363,134.0909090909091,NA,2022-04-21,23.335,298.597,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,4,AC_094,AC_109,R,4,TRUE,TRUE,TRUE,4,"1,3,4",NA,2021-11-03,2021-10-27,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,6,1,0,7,45,30,NA,NA,18,30.28,12,28.99,NA,NA,NA,NA,NA,1.6822222222222223,2.415833333333333,NA,NA,2.049027777777778,0.5187413914204643,5,35,21.48,2022-05-03,23.555,311.127,NA,2022-05-03,181,188,180,2022-05-13,10,1,1,1,1
1,1,5,AC_150,AC_110,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-10-27,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,10,9,0,19,42,56,NA,NA,37,49.08,19,33.11,NA,NA,NA,NA,NA,1.3264864864864865,1.7426315789473683,NA,NA,1.5345590327169274,0.29425901683659234,5.6,106.39999999999999,105.22,2022-05-03,27.268,NA,furled petals,2022-05-03,181,188,180,2022-05-13,10,1,1,1,1
1,1,6,AC_186,AC_048,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,21,9,0,30,29,73,NA,NA,21,31.33,33,56.84,19,24.78,NA,NA,NA,1.4919047619047618,1.7224242424242426,1.3042105263157895,NA,1.5061798435482647,0.2094719827381623,3.4761904761904763,104.28571428571429,105.9,2022-04-21,14.48,135.878,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,7,AC_015,AC_190,R,2,FALSE,TRUE,TRUE,3,"2,3,4",NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,10,16,0,26,0,66,NA,NA,37,50.22,29,32.71,NA,NA,NA,NA,NA,1.3572972972972972,1.1279310344827587,NA,NA,1.242614165890028,0.16218643981157604,6.6,171.6,NA,2022-05-03,23.394,347.924,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,7,AC_015,AC_190,R,3,TRUE,TRUE,TRUE,3,"2,3,4",NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,7,10,0,17,0,35,NA,NA,12,19.72,23,36.97,NA,NA,NA,NA,NA,1.6433333333333333,1.607391304347826,NA,NA,1.6253623188405797,0.02541485242525562,5,85,43.89,2022-04-21,24.025,336.459,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,7,AC_015,AC_190,R,4,FALSE,TRUE,TRUE,3,"2,3,4",NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,10,5,0,15,13,62,NA,NA,30,49.57,32,56.46,NA,NA,NA,NA,NA,1.6523333333333334,1.764375,NA,NA,1.7083541666666666,0.07922542227544271,6.2,93,50.33,2022-04-21,21.69,286.634,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,8,AC_096,AC_074,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,7,1,0,8,45,18,NA,NA,13,18.8,5,8.28,NA,NA,NA,NA,NA,1.4461538461538461,1.656,NA,NA,1.551076923076923,0.14838363839053087,2.5714285714285716,20.571428571428573,15.85,2022-04-21,15.81,173.247,NA,2022-04-21,137,176,168,2022-05-13,22,1,1,1,1
