Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_4.9,Fl_4.21,Fl_5.3,Fl_5.13,Fl_5.25,Fl_6.8,Fl_6.22,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,AC_150,AC_200,n,10,TRUE,FALSE,TRUE,10,10,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,3,2,0,5,28,18,6,30,2022-05-03,149,180,2022-05-13,10,1,1,1,1
1,1,2,AC_102,AC_191,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-13,1,3,0,4,23,0,0,0,2022-05-03,181,180,2022-05-13,10,1,1,1,0
1,1,3,AC_177,AC_107,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,8,6,0,14,34,26,3.25,45.5,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,1,4,AC_094,AC_109,R,4,TRUE,TRUE,TRUE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,6,1,0,7,45,30,5,35,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,1,5,AC_150,AC_110,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,10,9,0,19,42,56,5.6,106.39999999999999,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,1,6,AC_186,AC_048,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,21,9,0,30,29,73,3.4761904761904763,104.28571428571429,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,7,AC_015,AC_190,R,3,TRUE,TRUE,TRUE,3,"2,3,4",NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,7,10,0,17,0,35,5,85,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,8,AC_096,AC_074,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,7,1,0,8,45,18,2.5714285714285716,20.571428571428573,2022-04-21,137,168,2022-05-13,22,1,1,1,1
1,1,9,AC_107,AC_130,n,10,TRUE,FALSE,TRUE,10,10,NA,NA,2021-11-04,NA,NA,NA,2022-05-13,NA,NA,NA,NA,2022-05-13,2,1,0,3,13,7,3.5,10.5,2022-05-13,NA,190,2022-05-13,0,0,1,1,1
1,1,10,AC_207,AC_070,R,9,TRUE,TRUE,TRUE,9,"7,8,9",NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,9,2,0,11,0,27,3,33,2022-04-21,137,168,2022-05-13,22,1,1,1,1
1,1,11,AC_096,AC_181,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,7,0,0,7,17,15,2.142857142857143,15,2022-04-09,157,156,2022-05-13,34,1,1,1,1
1,1,12,AC_054,AC_046,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,8,4,0,12,11,28,3.5,42,2022-04-09,125,156,2022-05-13,34,1,1,1,1
1,1,13,AC_052,AC_131,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,28,3,0,31,18,43,1.5357142857142858,47.60714285714286,2022-04-21,137,168,2022-05-13,22,1,1,1,1
1,1,14,AC_064,AC_086,n,4,TRUE,FALSE,TRUE,4,4,NA,NA,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,11,4,0,15,11,22,2,30,2022-04-21,NA,168,2022-05-13,22,0,1,1,1
1,1,15,AC_068,AC_056,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,11,0,0,11,24,20,1.8181818181818181,20,2022-04-09,125,156,2022-05-13,34,1,1,1,1
1,1,16,AC_170,AC_203,n,2,TRUE,FALSE,TRUE,2,2,NA,NA,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,16,0,0,16,14,58,3.625,58,2022-04-21,NA,168,2022-05-13,22,0,1,1,1
1,1,17,AC_165,AC_062,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,NA,NA,NA,NA,NA,2022-04-09,1,0,0,1,23,1,1,1,2022-04-09,157,156,2022-05-03,24,1,1,1,1
