Block,Location,Sequence,Donor,Recipient,Plant_ID,Co.,Germ_Date,Sow_Date
1,1,1,BB_173,BB_170,1,5,2021-12-19,2021-12-02
1,1,1,BB_173,BB_170,2,5,2021-12-19,2021-12-02
1,1,1,BB_173,BB_170,3,5,2021-12-19,2021-12-02
1,1,1,BB_173,BB_170,4,5,2021-12-19,2021-12-02
1,1,1,BB_173,BB_170,5,5,2021-12-19,2021-12-02
1,1,1,BB_173,BB_170,6,5,2021-12-12,2021-12-02
1,1,1,BB_173,BB_170,7,5,2021-12-12,2021-12-02
1,1,1,BB_173,BB_170,8,5,2021-12-12,2021-12-02
1,1,2,BB_023,BB_206,1,1,NA,2021-12-02
1,1,2,BB_023,BB_206,2,1,2021-12-30,2021-12-02
1,1,2,BB_023,BB_206,3,1,2021-12-30,2021-12-02
1,1,2,BB_023,BB_206,4,1,2021-12-12,2021-12-02
1,1,2,BB_023,BB_206,5,1,2021-12-19,2021-12-02
1,1,2,BB_023,BB_206,6,1,NA,2021-12-02
1,1,2,BB_023,BB_206,7,1,2021-12-12,2021-12-02
1,1,2,BB_023,BB_206,8,1,2021-12-12,2021-12-02
1,2,3,BB_075,BB_085,1,1,2021-12-12,2021-12-02
1,2,3,BB_075,BB_085,2,1,2021-12-12,2021-12-02
1,2,3,BB_075,BB_085,3,1,2021-12-12,2021-12-02
1,2,3,BB_075,BB_085,4,1,2021-12-12,2021-12-02
1,2,3,BB_075,BB_085,5,1,2021-12-12,2021-12-02
1,2,3,BB_075,BB_085,6,1,2021-12-12,2021-12-02
1,2,3,BB_075,BB_085,7,1,2021-12-12,2021-12-02
1,2,3,BB_075,BB_085,8,1,2021-12-12,2021-12-02
1,2,4,BB_107,BB_179,1,2,2021-12-12,2021-12-02
1,2,4,BB_107,BB_179,2,2,2021-12-12,2021-12-02
1,2,4,BB_107,BB_179,3,2,2021-12-19,2021-12-02
1,2,4,BB_107,BB_179,4,2,2021-12-19,2021-12-02
1,2,4,BB_107,BB_179,5,2,2021-12-12,2021-12-02
1,2,4,BB_107,BB_179,6,2,2021-12-19,2021-12-02
1,2,4,BB_107,BB_179,7,2,2021-12-12,2021-12-02
1,2,4,BB_107,BB_179,8,2,2021-12-12,2021-12-02
1,2,5,BB_075,BB_079,1,1,2021-12-19,2021-12-02
1,2,5,BB_075,BB_079,2,1,2021-12-19,2021-12-02
1,2,5,BB_075,BB_079,3,1,2021-12-19,2021-12-02
1,2,5,BB_075,BB_079,4,1,2021-12-12,2021-12-02
1,2,5,BB_075,BB_079,5,1,NA,2021-12-02
1,2,5,BB_075,BB_079,6,1,NA,2021-12-02
1,2,5,BB_075,BB_079,7,1,NA,2021-12-02
1,2,5,BB_075,BB_079,8,1,2021-12-19,2021-12-02
1,3,6,BB_028,BB_109,1,1,2021-12-12,2021-12-02
1,3,6,BB_028,BB_109,2,1,2021-12-12,2021-12-02
1,3,6,BB_028,BB_109,3,1,2021-12-12,2021-12-02
1,3,6,BB_028,BB_109,4,1,NA,2021-12-02
1,3,6,BB_028,BB_109,5,1,2021-12-12,2021-12-02
1,3,6,BB_028,BB_109,6,1,2021-12-12,2021-12-02
1,3,6,BB_028,BB_109,7,1,2021-12-12,2021-12-02
1,3,6,BB_028,BB_109,8,1,2021-12-19,2021-12-02
1,3,7,BB_141,BB_003,1,5,2021-12-12,2021-12-02
1,3,7,BB_141,BB_003,2,5,2021-12-12,2021-12-02
1,3,7,BB_141,BB_003,3,5,2021-12-12,2021-12-02
1,3,7,BB_141,BB_003,4,5,2021-12-12,2021-12-02
1,3,7,BB_141,BB_003,5,5,2021-12-12,2021-12-02
1,3,7,BB_141,BB_003,6,5,2021-12-12,2021-12-02
1,3,7,BB_141,BB_003,7,5,2021-12-12,2021-12-02
1,3,7,BB_141,BB_003,8,5,2021-12-12,2021-12-02
1,3,8,BB_174,BB_010,1,3,2021-12-12,2021-12-02
