Year,Gen,Block,Location,Sequence,Co.,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_area_mm2,corolla_diam_mm,notes_corolla,leaf_area_mm2,leafarea_notes,leaf_dryweight_mg,leafweight_notes,SLA,LMA,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod,d13C,sample_weight_mg
2022,G1,1,1,1,5,BB_173,BB_170,n,1,FALSE,FALSE,FALSE,7,7,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.928,brightmax: 186 (alt method used),5.85,NA,28.363760683760685,0.03525625572537486,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA
2022,G1,1,1,1,5,BB_173,BB_170,n,2,FALSE,FALSE,FALSE,7,7,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.928,brightmax: 186 (alt method used),5.85,NA,28.363760683760685,0.03525625572537486,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA
2022,G1,1,1,1,5,BB_173,BB_170,n,3,FALSE,FALSE,FALSE,7,7,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.928,brightmax: 186 (alt method used),5.85,NA,28.363760683760685,0.03525625572537486,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA
2022,G1,1,1,1,5,BB_173,BB_170,n,4,FALSE,FALSE,FALSE,7,7,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,NA,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.928,brightmax: 186 (alt method used),5.85,NA,28.363760683760685,0.03525625572537486,2022-03-25,96,116,113,2022-03-25,0,1,1,0,0,NA,NA
2022,G1,1,1,1,5,BB_173,BB_170,n,5,FALSE,FALSE,FALSE,7,7,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,NA,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-25,521.756,29.21,NA,165.928,brightmax: 186 (alt method used),5.85,NA,28.363760683760685,0.03525625572537486,2022-03-25,96,116,113,2022-03-25,0,1,1,0,0,NA,NA
2022,G1,1,1,1,5,BB_173,BB_170,n,6,FALSE,FALSE,FALSE,7,7,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.928,brightmax: 186 (alt method used),5.85,NA,28.363760683760685,0.03525625572537486,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA
2022,G1,1,1,1,5,BB_173,BB_170,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-08,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,165.928,brightmax: 186 (alt method used),5.85,NA,28.363760683760685,0.03525625572537486,2022-04-01,110,123,120,2022-04-08,7,1,1,0,0,NA,NA
2022,G1,1,1,1,5,BB_173,BB_170,n,8,FALSE,FALSE,FALSE,7,7,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,2022-04-28,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.928,brightmax: 186 (alt method used),5.85,NA,28.363760683760685,0.03525625572537486,2022-04-01,110,123,120,2022-04-08,7,1,1,0,0,NA,NA
2022,G1,1,1,2,1,BB_023,BB_206,n,1,FALSE,FALSE,FALSE,5,5,NA,NA,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.884,brightmax:177,1.19,NA,30.994957983193277,0.03226331200520551,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
2022,G1,1,1,2,1,BB_023,BB_206,n,2,FALSE,FALSE,FALSE,5,5,NA,2021-12-30,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.884,brightmax:177,1.19,NA,30.994957983193277,0.03226331200520551,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA
