Block,Location,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Co.,Germ_Date,Sow_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,BB_173,BB_170,n,1,FALSE,FALSE,FALSE,7,7,NA,5,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,1,1,BB_173,BB_170,n,2,FALSE,FALSE,FALSE,7,7,NA,5,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,1,1,BB_173,BB_170,n,3,FALSE,FALSE,FALSE,7,7,NA,5,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,1,1,BB_173,BB_170,n,4,FALSE,FALSE,FALSE,7,7,NA,5,2021-12-19,2021-12-02,NA,NA,NA,NA,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-25,96,113,2022-03-25,0,1,1,0,0
1,1,1,BB_173,BB_170,n,5,FALSE,FALSE,FALSE,7,7,NA,5,2021-12-19,2021-12-02,NA,NA,NA,NA,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,NA,NA,0,NA,NA,NA,NA,2022-03-25,96,113,2022-03-25,0,1,1,0,0
1,1,1,BB_173,BB_170,n,6,FALSE,FALSE,FALSE,7,7,NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,1,1,BB_173,BB_170,n,7,TRUE,FALSE,TRUE,7,7,NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-08,0,0,0,0,2,0,0,0,2022-04-01,110,120,2022-04-08,7,1,1,0,0
1,1,1,BB_173,BB_170,n,8,FALSE,FALSE,FALSE,7,7,NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,2022-04-28,NA,0,NA,NA,0,NA,NA,NA,NA,2022-04-01,110,120,2022-04-08,7,1,1,0,0
1,1,2,BB_023,BB_206,n,1,FALSE,FALSE,FALSE,5,5,NA,1,NA,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,1,2,BB_023,BB_206,n,2,FALSE,FALSE,FALSE,5,5,NA,1,2021-12-30,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
