Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,1,BO_201,BO_130,1,NA,2021-11-11,2021-11-17
1,1,1,BO_201,BO_130,2,NA,2021-11-11,2021-11-17
1,1,1,BO_201,BO_130,3,2021-12-28,2021-11-11,2021-11-17
1,1,1,BO_201,BO_130,4,2021-12-28,2021-11-11,2021-11-17
1,1,1,BO_201,BO_130,5,NA,2021-11-11,2021-11-17
1,1,1,BO_201,BO_130,6,2021-12-28,2021-11-11,2021-11-17
1,1,1,BO_201,BO_130,7,2021-12-06,2021-11-11,2021-11-17
1,1,1,BO_201,BO_130,8,2021-12-06,2021-11-11,2021-11-17
1,1,2,BO_192,BO_166,1,NA,2021-11-11,2021-11-17
1,1,2,BO_192,BO_166,2,2021-12-06,2021-11-11,2021-11-17
1,1,2,BO_192,BO_166,3,NA,2021-11-11,2021-11-17
1,1,2,BO_192,BO_166,4,NA,2021-11-11,2021-11-17
1,1,2,BO_192,BO_166,5,NA,2021-11-11,2021-11-17
1,1,2,BO_192,BO_166,6,2021-12-06,2021-11-11,2021-11-17
1,1,2,BO_192,BO_166,7,NA,2021-11-11,2021-11-17
1,1,2,BO_192,BO_166,8,NA,2021-11-11,2021-11-17
1,1,3,BO_005,BO_019,1,NA,2021-11-11,2021-11-17
1,1,3,BO_005,BO_019,2,NA,2021-11-11,2021-11-17
1,1,3,BO_005,BO_019,3,NA,2021-11-11,2021-11-17
1,1,3,BO_005,BO_019,4,NA,2021-11-11,2021-11-17
1,1,3,BO_005,BO_019,5,2021-12-06,2021-11-11,2021-11-17
1,1,3,BO_005,BO_019,6,NA,2021-11-11,2021-11-17
1,1,3,BO_005,BO_019,7,NA,2021-11-11,2021-11-17
1,1,3,BO_005,BO_019,8,NA,2021-11-11,2021-11-17
1,1,4,BO_070,BO_066,1,2021-12-21,2021-11-11,2021-11-17
1,1,4,BO_070,BO_066,2,NA,2021-11-11,2021-11-17
1,1,4,BO_070,BO_066,3,2021-12-28,2021-11-11,2021-11-17
1,1,4,BO_070,BO_066,4,NA,2021-11-11,2021-11-17
